index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
5852;Principado de Asturias;countryHouse;Vacio;20000.0;60.0;0;0.0;43.3727897;-5.0645302
8770;Principado de Asturias;countryHouse;Vacio;6200.0;77.0;0;0.0;43.1786324;-5.3399526
17190;Principado de Asturias;countryHouse;Vacio;20000.0;150.0;0;0.0;43.1786324;-5.3399526
22828;Principado de Asturias;countryHouse;Vacio;88600.0;240.0;0;0.0;43.2590987;-7.0199777
60834;Principado de Asturias;countryHouse;Vacio;48000.0;25.0;1;0.0;43.4796621;-5.660243
60849;Principado de Asturias;countryHouse;Vacio;29000.0;25.0;1;0.0;43.1187291;-6.2800864
61587;Principado de Asturias;countryHouse;Vacio;55000.0;35.0;1;0.0;43.3830732;-5.7272447
62945;Principado de Asturias;countryHouse;Vacio;50000.0;40.0;1;0.0;43.3830859;-5.1905981
73366;Principado de Asturias;countryHouse;Vacio;79900.0;57.0;1;0.0;43.3695615;-5.3139659
79006;Principado de Asturias;countryHouse;Vacio;30000.0;70.0;1;0.0;43.3277101;-4.7035775
79922;Principado de Asturias;countryHouse;Vacio;105250.0;75.0;1;0.0;43.3451749;-5.9375243
82505;Principado de Asturias;countryHouse;Vacio;89000.0;130.0;1;0.0;43.3824806;-4.849914
88759;Principado de Asturias;countryHouse;Vacio;28000.0;55.0;2;0.0;43.5013672;-5.7905115
103474;Principado de Asturias;countryHouse;Vacio;79000.0;65.0;2;0.0;43.4179192;-5.6230819
111647;Principado de Asturias;countryHouse;Vacio;48500.0;70.0;2;0.0;43.3594597;-5.6501296
128757;Principado de Asturias;countryHouse;Vacio;69000.0;80.0;2;0.0;43.1786324;-5.3399526
138805;Principado de Asturias;countryHouse;Vacio;45000.0;85.0;2;0.0;43.3615145;-5.9148474
144461;Principado de Asturias;countryHouse;Vacio;89000.0;90.0;2;0.0;43.3591891;-5.4461844
161573;Principado de Asturias;countryHouse;Vacio;27000.0;130.0;2;0.0;43.1746686;-6.5518582
164383;Principado de Asturias;countryHouse;Vacio;157000.0;170.0;2;0.0;43.3559728;-5.5028931
166457;Principado de Asturias;countryHouse;Vacio;85000.0;50.0;3;0.0;43.5224423;-7.0254144
189190;Principado de Asturias;countryHouse;Vacio;100000.0;80.0;3;0.0;43.4049766;-5.9052173
232571;Principado de Asturias;countryHouse;Vacio;69000.0;100.0;3;0.0;43.560252;-6.1448245
238184;Principado de Asturias;countryHouse;Vacio;50000.0;101.0;3;2.0;43.3268147;-4.5846428
251433;Principado de Asturias;countryHouse;Vacio;35000.0;110.0;3;2.0;43.3757385;-4.540334
262813;Principado de Asturias;countryHouse;Vacio;270000.0;120.0;3;0.0;43.4367505;-5.8493287
273400;Principado de Asturias;countryHouse;Vacio;48000.0;130.0;3;0.0;43.2482082;-5.8704502
276461;Principado de Asturias;countryHouse;Vacio;350000.0;136.0;3;0.0;43.3636839;-4.5772425
276864;Principado de Asturias;countryHouse;Vacio;199000.0;137.0;3;0.0;43.338067;-5.877167
278318;Principado de Asturias;countryHouse;Vacio;360000.0;140.0;3;0.0;43.5252515;-5.5894544
282403;Principado de Asturias;countryHouse;Vacio;300000.0;150.0;3;0.0;43.1512038;-5.291303
283060;Principado de Asturias;countryHouse;Vacio;89999.0;150.0;3;0.0;43.3810188;-5.7798081
293573;Principado de Asturias;countryHouse;Vacio;150000.0;190.0;3;0.0;43.4864388;-6.1113106
306813;Principado de Asturias;countryHouse;Vacio;39000.0;77.0;4;0.0;43.4328425;-5.7277964
323498;Principado de Asturias;countryHouse;Vacio;60000.0;120.0;4;0.0;43.400484;-5.6446016
344100;Principado de Asturias;countryHouse;Vacio;48000.0;170.0;4;0.0;43.325189;-5.7868899
349643;Principado de Asturias;countryHouse;Vacio;69000.0;192.0;4;0.0;43.2540387;-5.8730045
351579;Principado de Asturias;countryHouse;Vacio;190000.0;200.0;4;0.0;43.5403428;-5.6002546
351768;Principado de Asturias;countryHouse;Vacio;80000.0;200.0;4;2.0;43.3650427;-4.5710822
352292;Principado de Asturias;countryHouse;Vacio;250000.0;200.0;4;0.0;43.4588063;-5.0587592
355107;Principado de Asturias;countryHouse;Vacio;300000.0;220.0;4;0.0;43.4205501;-4.7526095
363872;Principado de Asturias;countryHouse;Vacio;250000.0;280.0;4;0.0;43.5606865;-5.972512
371861;Principado de Asturias;countryHouse;Vacio;240000.0;500.0;4;0.0;43.345569;-5.1269406
372018;Principado de Asturias;countryHouse;Vacio;750000.0;511.0;4;0.0;43.5480516;-6.825014
375358;Principado de Asturias;countryHouse;Vacio;180000.0;150.0;5;0.0;43.537557;-6.5427434
378923;Principado de Asturias;countryHouse;Vacio;150000.0;195.0;5;0.0;43.3044496;-5.9532081
381017;Principado de Asturias;countryHouse;Vacio;115422.0;219.0;5;0.0;43.345269;-5.1249406
385264;Principado de Asturias;countryHouse;Vacio;85000.0;279.0;5;0.0;43.2786491;-4.8312798
407002;Principado de Asturias;countryHouse;Vacio;500000.0;540.0;8;0.0;43.3952525;-5.5887607
408579;Principado de Asturias;countryHouse;Vacio;720000.0;700.0;10;0.0;43.3633444;-5.1504992
408840;Principado de Asturias;countryHouse;Vacio;2500000.0;1200.0;12;0.0;43.3906896;-5.1908623
408924;Principado de Asturias;countryHouse;Vacio;3500000.0;600.0;15;5.0;43.3557636;-5.1356743
