index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
66890;Principado de Asturias;flat;duplex;113000.0;48.0;1;4.0;43.5390356;-5.6859259
72124;Principado de Asturias;flat;duplex;47000.0;55.0;1;5.0;43.5508151;-5.9189201
80754;Principado de Asturias;flat;duplex;235000.0;80.0;1;Vacio;43.5456494;-5.6648374
85984;Principado de Asturias;flat;duplex;82000.0;50.0;2;2.0;43.5423323;-5.6862558
89883;Principado de Asturias;flat;duplex;129000.0;56.0;2;4.0;43.537557;-6.5433434
98879;Principado de Asturias;flat;duplex;95000.0;63.0;2;4.0;43.5720238;-6.9428403
104863;Principado de Asturias;flat;duplex;180000.0;66.0;2;2.0;43.4205501;-4.7526095
110440;Principado de Asturias;flat;duplex;83000.0;70.0;2;4.0;43.3732183;-4.5377049
113536;Principado de Asturias;flat;duplex;70000.0;70.0;2;4.0;43.3579173;-5.9078673
119387;Principado de Asturias;flat;duplex;140000.0;74.0;2;5.0;43.3659345;-5.8681164
120579;Principado de Asturias;flat;duplex;172000.0;75.0;2;5.0;43.5251536;-5.6631664
122825;Principado de Asturias;flat;duplex;118000.0;75.0;2;4.0;43.3829283;-5.8233228
123518;Principado de Asturias;flat;duplex;130000.0;75.0;2;7.0;43.3633305;-5.8661562
124285;Principado de Asturias;flat;duplex;90400.0;76.0;2;3.0;43.5153809;-5.6797664
126564;Principado de Asturias;flat;duplex;93900.0;78.0;2;4.0;43.5153809;-5.6797664
126565;Principado de Asturias;flat;duplex;91800.0;78.0;2;3.0;43.5153809;-5.6797664
126637;Principado de Asturias;flat;duplex;165000.0;78.0;2;5.0;43.5383958;-6.7219313
127153;Principado de Asturias;flat;duplex;117500.0;78.0;2;4.0;43.3841558;-5.8261225
129408;Principado de Asturias;flat;duplex;116000.0;80.0;2;4.0;43.2879634;-5.6408831
132165;Principado de Asturias;flat;duplex;99000.0;80.0;2;7.0;43.36751;-5.8645
134448;Principado de Asturias;flat;duplex;123000.0;82.0;2;4.0;43.5305806;-6.0675565
