index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
5534;Principado de Asturias;house;Vacio;95000.0;57.0;0;0.0;43.4850726;-5.4283
16258;Principado de Asturias;house;Vacio;115000.0;139.0;0;0.0;43.2541283;-5.7858471
65590;Principado de Asturias;house;Vacio;39500.0;45.0;1;0.0;43.30716;-5.82191
80671;Principado de Asturias;house;Vacio;85000.0;80.0;1;0.0;43.4771228;-5.3945548
81907;Principado de Asturias;house;Vacio;90000.0;100.0;1;0.0;43.30116;-5.97378
83165;Principado de Asturias;house;Vacio;16100.0;32.0;2;0.0;43.320135;-5.218463
92766;Principado de Asturias;house;Vacio;18000.0;60.0;2;0.0;43.2536366;-5.7813716
92769;Principado de Asturias;house;Vacio;9000.0;60.0;2;0.0;43.2636231;-5.9112754
100963;Principado de Asturias;house;Vacio;86000.0;65.0;2;0.0;43.4819264;-5.4363633
103157;Principado de Asturias;house;Vacio;99500.0;65.0;2;0.0;43.3463268;-5.6309886
103204;Principado de Asturias;house;Vacio;150000.0;65.0;2;0.0;43.54859;-5.70274
110015;Principado de Asturias;house;Vacio;105000.0;70.0;2;0.0;43.4824537;-5.4380273
110016;Principado de Asturias;house;Vacio;80000.0;70.0;2;0.0;43.4825883;-5.4373406
111664;Principado de Asturias;house;Vacio;86000.0;70.0;2;0.0;43.4802843;-5.4361282
129527;Principado de Asturias;house;Vacio;265000.0;80.0;2;0.0;43.50382;-5.44957
135326;Principado de Asturias;house;Vacio;47900.0;82.0;2;0.0;43.3452;-5.9667889
138120;Principado de Asturias;house;Vacio;85000.0;85.0;2;0.0;43.4801866;-5.4379415
144336;Principado de Asturias;house;Vacio;100000.0;90.0;2;0.0;43.4820214;-5.4335748
144337;Principado de Asturias;house;Vacio;110000.0;90.0;2;0.0;43.50442;-5.44957
156699;Principado de Asturias;house;Vacio;120000.0;110.0;2;0.0;43.4795122;-5.4406157
161427;Principado de Asturias;house;Vacio;189000.0;130.0;2;0.0;43.3468387;-5.3610233
161624;Principado de Asturias;house;Vacio;235000.0;131.0;2;0.0;43.4929452;-5.4545016
168170;Principado de Asturias;house;Vacio;149000.0;60.0;3;0.0;43.4646116;-5.4635385
180236;Principado de Asturias;house;Vacio;55700.0;74.0;3;0.0;43.266626;-5.752281
181705;Principado de Asturias;house;Vacio;170000.0;75.0;3;0.0;43.5294085;-5.6454144
185289;Principado de Asturias;house;Vacio;29000.0;77.0;3;2.0;43.4957444;-5.9744388
189158;Principado de Asturias;house;Vacio;100000.0;80.0;3;0.0;43.4761677;-5.4373318
209491;Principado de Asturias;house;Vacio;150000.0;90.0;3;0.0;43.50122;-5.45357
209492;Principado de Asturias;house;Vacio;104000.0;90.0;3;0.0;43.4862247;-5.2702366
209493;Principado de Asturias;house;Vacio;85000.0;90.0;3;0.0;43.4888391;-5.4369188
220002;Principado de Asturias;house;Vacio;24000.0;94.0;3;0.0;43.553439;-5.885571
226970;Principado de Asturias;house;Vacio;234000.0;97.0;3;0.0;43.4805214;-5.4335748
228171;Principado de Asturias;house;Vacio;18000.0;98.0;3;0.0;43.2258175;-6.0448429
231723;Principado de Asturias;house;Vacio;258000.0;100.0;3;0.0;43.5375315;-5.4533368
232955;Principado de Asturias;house;Vacio;108000.0;100.0;3;0.0;43.16869;-5.74041
235377;Principado de Asturias;house;Vacio;135000.0;100.0;3;0.0;43.53663;-5.48504
245903;Principado de Asturias;house;Vacio;259000.0;106.0;3;2.0;43.4903819;-5.7262709
249348;Principado de Asturias;house;Vacio;70663.0;110.0;3;0.0;43.28253;-6.2189
250953;Principado de Asturias;house;Vacio;220000.0;110.0;3;0.0;43.5156147;-5.6075963
254762;Principado de Asturias;house;Vacio;156995.0;112.0;3;2.0;43.49053;-5.26832
259541;Principado de Asturias;house;Vacio;234000.0;116.0;3;0.0;43.40367;-5.40895
266406;Principado de Asturias;house;Vacio;96328.0;121.0;3;0.0;43.3900074;-5.1855891
266407;Principado de Asturias;house;Vacio;102150.0;121.0;3;0.0;43.3900074;-5.1855891
266408;Principado de Asturias;house;Vacio;98593.0;121.0;3;0.0;43.3900074;-5.1855891
266409;Principado de Asturias;house;Vacio;102050.0;121.0;3;0.0;43.3900074;-5.1855891
268093;Principado de Asturias;house;Vacio;275000.0;124.0;3;0.0;43.51732;-5.36799
272594;Principado de Asturias;house;Vacio;98000.0;130.0;3;0.0;43.3233941;-4.5925643
275519;Principado de Asturias;house;Vacio;350000.0;135.0;3;0.0;43.50502;-5.45327
278523;Principado de Asturias;house;Vacio;60000.0;140.0;3;0.0;43.2893882;-5.8278307
283757;Principado de Asturias;house;Vacio;175200.0;150.0;3;0.0;43.438116;-4.941405
287580;Principado de Asturias;house;Vacio;80500.0;162.0;3;0.0;43.2709212;-5.592466
294219;Principado de Asturias;house;Vacio;312000.0;193.0;3;0.0;43.3561022;-5.8731693
294767;Principado de Asturias;house;Vacio;62200.0;198.0;3;0.0;43.51332;-5.37099
295365;Principado de Asturias;house;Vacio;250000.0;200.0;3;0.0;43.50502;-5.45167
295366;Principado de Asturias;house;Vacio;208000.0;200.0;3;0.0;43.4925495;-6.1121425
