index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
64547;Principado de Asturias;house;semi-detached;105000.0;44.0;1;0.0;43.3375662;-5.8124916
81645;Principado de Asturias;house;semi-detached;79900.0;93.0;1;0.0;43.3515913;-5.3627556
82076;Principado de Asturias;house;semi-detached;128000.0;105.0;1;0.0;43.5606016;-6.146421
94020;Principado de Asturias;house;semi-detached;54000.0;60.0;2;0.0;43.345969;-5.1249406
94685;Principado de Asturias;house;semi-detached;190000.0;60.0;2;0.0;43.4816733;-5.4320497
108504;Principado de Asturias;house;semi-detached;198000.0;69.0;2;0.0;43.4591063;-5.0547592
121398;Principado de Asturias;house;semi-detached;69000.0;75.0;2;0.0;43.1801514;-5.1066631
145479;Principado de Asturias;house;semi-detached;48000.0;90.0;2;0.0;43.3460062;-5.9298745
149597;Principado de Asturias;house;semi-detached;69000.0;95.0;2;0.0;43.245314;-5.7782973
153228;Principado de Asturias;house;semi-detached;109000.0;100.0;2;0.0;43.2277495;-5.8813887
165424;Principado de Asturias;house;semi-detached;154800.0;221.0;2;0.0;43.4619609;-7.0501002
171621;Principado de Asturias;house;semi-detached;165000.0;65.0;3;0.0;43.3567644;-5.5099279
177503;Principado de Asturias;house;semi-detached;32252.0;71.0;3;2.0;43.1517019;-5.6884736
197794;Principado de Asturias;house;semi-detached;150000.0;84.0;3;0.0;43.5678871;-6.9432841
209705;Principado de Asturias;house;semi-detached;70000.0;90.0;3;0.0;43.3449574;-5.3644256
211902;Principado de Asturias;house;semi-detached;116000.0;90.0;3;0.0;43.3852418;-5.7091355
226131;Principado de Asturias;house;semi-detached;124000.0;96.0;3;2.0;43.5124786;-5.6753929
243887;Principado de Asturias;house;semi-detached;185000.0;105.0;3;0.0;43.5241063;-5.6807352
246593;Principado de Asturias;house;semi-detached;63000.0;107.0;3;0.0;43.343569;-5.1264406
250398;Principado de Asturias;house;semi-detached;135000.0;110.0;3;0.0;43.54266;-6.098882
253371;Principado de Asturias;house;semi-detached;85000.0;110.0;3;0.0;43.5406612;-5.4714392
262635;Principado de Asturias;house;semi-detached;359000.0;120.0;3;0.0;43.4652448;-5.0655932
263795;Principado de Asturias;house;semi-detached;161210.0;120.0;3;0.0;43.4848415;-5.2712328
268977;Principado de Asturias;house;semi-detached;210000.0;125.0;3;0.0;43.4206501;-4.7546095
270987;Principado de Asturias;house;semi-detached;110000.0;128.0;3;0.0;43.346769;-5.1289406
274172;Principado de Asturias;house;semi-detached;145000.0;131.0;3;0.0;43.499785;-5.7376583
275880;Principado de Asturias;house;semi-detached;120000.0;135.0;3;0.0;43.5301879;-5.6259837
276339;Principado de Asturias;house;semi-detached;160000.0;136.0;3;0.0;43.3895583;-5.1805028
281029;Principado de Asturias;house;semi-detached;178000.0;145.0;3;0.0;43.5124321;-5.2684878
286560;Principado de Asturias;house;semi-detached;170000.0;160.0;3;0.0;43.4329973;-4.8191998
289284;Principado de Asturias;house;semi-detached;425000.0;170.0;3;0.0;43.4205638;-4.7525533
289345;Principado de Asturias;house;semi-detached;300000.0;170.0;3;0.0;43.5717985;-5.72363
289523;Principado de Asturias;house;semi-detached;260000.0;170.0;3;0.0;43.5711985;-5.72313
290438;Principado de Asturias;house;semi-detached;390000.0;175.0;3;0.0;43.5881852;-5.7624949
293404;Principado de Asturias;house;semi-detached;222800.0;189.0;3;0.0;43.3848714;-5.7016638
293670;Principado de Asturias;house;semi-detached;195000.0;190.0;3;0.0;43.4005368;-4.7671998
294229;Principado de Asturias;house;semi-detached;312000.0;193.0;3;0.0;43.3608058;-5.8742118
297402;Principado de Asturias;house;semi-detached;226900.0;214.0;3;0.0;43.1665434;-5.6832102
298200;Principado de Asturias;house;semi-detached;300000.0;220.0;3;0.0;43.3795492;-5.7873453
318593;Principado de Asturias;house;semi-detached;200000.0;110.0;4;0.0;43.3664165;-5.8481121
320440;Principado de Asturias;house;semi-detached;80000.0;115.0;4;0.0;43.5388992;-5.9071078
320607;Principado de Asturias;house;semi-detached;125000.0;115.0;4;0.0;43.173003;-5.1752317
328884;Principado de Asturias;house;semi-detached;79000.0;130.0;4;0.0;43.3480852;-5.3647329
331196;Principado de Asturias;house;semi-detached;250000.0;135.0;4;0.0;43.5383614;-5.9450231
342078;Principado de Asturias;house;semi-detached;435000.0;161.0;4;4.0;43.5755929;-5.9558881
346299;Principado de Asturias;house;semi-detached;280000.0;180.0;4;0.0;43.539557;-6.5441434
347061;Principado de Asturias;house;semi-detached;265000.0;180.0;4;0.0;43.5353797;-5.8944442
348521;Principado de Asturias;house;semi-detached;320000.0;187.0;4;0.0;43.6119048;-5.7928802
349537;Principado de Asturias;house;semi-detached;320000.0;191.0;4;0.0;43.6119048;-5.7928802
349926;Principado de Asturias;house;semi-detached;320000.0;195.0;4;0.0;43.6119048;-5.7928802
350931;Principado de Asturias;house;semi-detached;93000.0;200.0;4;0.0;43.2686233;-5.6056092
351921;Principado de Asturias;house;semi-detached;199000.0;200.0;4;0.0;43.5579917;-5.9780123
352291;Principado de Asturias;house;semi-detached;395000.0;200.0;4;0.0;43.5491503;-5.6205086
352525;Principado de Asturias;house;semi-detached;255000.0;200.0;4;0.0;43.4861858;-5.6515477
353022;Principado de Asturias;house;semi-detached;225000.0;204.0;4;0.0;43.4914167;-5.6475622
353746;Principado de Asturias;house;semi-detached;290000.0;210.0;4;0.0;43.3615151;-5.8764179
358389;Principado de Asturias;house;semi-detached;420000.0;240.0;4;0.0;43.5452353;-5.6240184
358589;Principado de Asturias;house;semi-detached;420000.0;240.0;4;0.0;43.533107;-5.6218404
363727;Principado de Asturias;house;semi-detached;350000.0;280.0;4;0.0;43.3639646;-5.8762234
380413;Principado de Asturias;house;semi-detached;390000.0;210.0;5;0.0;43.543129;-5.6361624
382155;Principado de Asturias;house;semi-detached;269000.0;233.0;5;0.0;43.4614063;-5.0562592
382517;Principado de Asturias;house;semi-detached;197000.0;240.0;5;0.0;43.5447897;-5.9072912
387668;Principado de Asturias;house;semi-detached;395000.0;315.0;5;0.0;43.5397316;-5.6073015
387881;Principado de Asturias;house;semi-detached;375000.0;320.0;5;0.0;43.5457403;-5.9050701
395722;Principado de Asturias;house;semi-detached;43000.0;120.0;6;0.0;43.3589095;-5.9688179
396691;Principado de Asturias;house;semi-detached;250000.0;200.0;6;0.0;43.4907549;-6.1131441
397625;Principado de Asturias;house;semi-detached;120000.0;251.0;6;0.0;43.5393609;-6.723353
