index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
68116;Región de Murcia;countryHouse;Vacio;120000.0;50.0;1;0.0;37.8142746;-0.8257781
78703;Región de Murcia;countryHouse;Vacio;63000.0;70.0;1;0.0;37.8036945;-0.8360491
106287;Región de Murcia;countryHouse;Vacio;70000.0;67.0;2;0.0;38.2358902;-1.426375
111156;Región de Murcia;countryHouse;Vacio;70000.0;70.0;2;0.0;37.6420063;-1.131479
146627;Región de Murcia;countryHouse;Vacio;105000.0;90.0;2;0.0;37.6869863;-1.0250861
153482;Región de Murcia;countryHouse;Vacio;75000.0;100.0;2;0.0;37.6190717;-0.9983438
162439;Región de Murcia;countryHouse;Vacio;120000.0;140.0;2;0.0;38.1786558;-1.1262092
164813;Región de Murcia;countryHouse;Vacio;150000.0;185.0;2;0.0;37.6203842;-0.9514117
258871;Región de Murcia;countryHouse;Vacio;56000.0;115.0;3;0.0;37.6851986;-1.0237311
265964;Región de Murcia;countryHouse;Vacio;140000.0;120.0;3;0.0;38.1002365;-1.8579357
279378;Región de Murcia;countryHouse;Vacio;257000.0;140.0;3;0.0;37.7066467;-1.0515984
288580;Región de Murcia;countryHouse;Vacio;250000.0;168.0;3;0.0;37.5732828;-1.443525
351637;Región de Murcia;countryHouse;Vacio;59000.0;200.0;4;0.0;37.5612659;-1.2734573
370077;Región de Murcia;countryHouse;Vacio;275000.0;400.0;4;0.0;38.1060339;-1.1528434
382711;Región de Murcia;countryHouse;Vacio;99000.0;240.0;5;0.0;37.9910485;-1.1605565
396390;Región de Murcia;countryHouse;Vacio;59999.0;186.0;6;0.0;37.8276103;-1.1616369
396975;Región de Murcia;countryHouse;Vacio;60000.0;220.0;6;0.0;37.5676029;-1.4486581
