index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
161355;Región de Murcia;countryHouse;village house;64000.0;130.0;2;0.0;38.0232716;-1.117343
258870;Región de Murcia;countryHouse;village house;103000.0;115.0;3;0.0;37.654597;-1.0463704
271494;Región de Murcia;countryHouse;village house;49500.0;129.0;3;0.0;37.65755;-1.1502
283827;Región de Murcia;countryHouse;village house;110000.0;150.0;3;0.0;37.6293651;-0.999965
290367;Región de Murcia;countryHouse;village house;155000.0;175.0;3;0.0;37.6625066;-1.189013
291522;Región de Murcia;countryHouse;village house;79000.0;180.0;3;0.0;38.021904;-1.1283376
322817;Región de Murcia;countryHouse;village house;150000.0;120.0;4;0.0;37.6321928;-0.6999824
324532;Región de Murcia;countryHouse;village house;63000.0;120.0;4;0.0;37.6909175;-1.0702866
340751;Región de Murcia;countryHouse;village house;35000.0;160.0;4;0.0;38.0475568;-1.6722677
351269;Región de Murcia;countryHouse;village house;143000.0;200.0;4;0.0;37.8112074;-0.8591337
