index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
25588;Región de Murcia;house;independent;325000.0;337.0;0;0.0;37.9894475;-1.1707931
61467;Región de Murcia;house;independent;45000.0;35.0;1;2.0;37.7408412;-0.8559128
62118;Región de Murcia;house;independent;29500.0;38.0;1;2.0;38.1411117;-1.3309051
63109;Región de Murcia;house;independent;118000.0;40.0;1;0.0;37.781324;-1.5319115
67951;Región de Murcia;house;independent;250000.0;50.0;1;0.0;37.8545313;-1.431218
74640;Región de Murcia;house;independent;19000.0;60.0;1;2.0;38.0131838;-1.0381315
76749;Región de Murcia;house;independent;92000.0;64.0;1;2.0;37.7643257;-0.8370048
81609;Región de Murcia;house;independent;85000.0;91.0;1;0.0;37.7564776;-1.4804753
81843;Región de Murcia;house;independent;71300.0;99.0;1;2.0;37.9978;-1.10333
82486;Región de Murcia;house;independent;22739.0;128.0;1;2.0;38.2734682;-1.9789188
82620;Región de Murcia;house;independent;199000.0;148.0;1;2.0;38.0953114;-1.1637819
82784;Región de Murcia;house;independent;1120000.0;191.0;1;2.0;37.747828;-0.9458228
82812;Región de Murcia;house;independent;130000.0;200.0;1;0.0;38.0110845;-1.157666
82888;Región de Murcia;house;independent;12600.0;275.0;1;0.0;38.2066904;-1.0413408
83244;Región de Murcia;house;independent;30450.0;35.0;2;2.0;37.7589129;-0.8352399
83497;Región de Murcia;house;independent;20000.0;40.0;2;2.0;37.9705443;-1.080297
83705;Región de Murcia;house;independent;69000.0;42.0;2;2.0;37.8147558;-0.8085335
83903;Región de Murcia;house;independent;19200.0;44.0;2;2.0;38.20314;-1.39868
84054;Región de Murcia;house;independent;25046.0;45.0;2;2.0;37.6205527;-0.8811556
84659;Región de Murcia;house;independent;107500.0;48.0;2;2.0;37.804147;-0.8024013
84869;Región de Murcia;house;independent;58000.0;49.0;2;2.0;37.7653248;-0.8389383
85127;Región de Murcia;house;independent;80500.0;50.0;2;2.0;37.7659849;-0.8407135
87279;Región de Murcia;house;independent;76600.0;53.0;2;2.0;37.8280179;-0.7779457
87281;Región de Murcia;house;independent;55996.0;53.0;2;2.0;37.748648;-0.8739461
87283;Región de Murcia;house;independent;31000.0;53.0;2;2.0;38.116354;-1.3043796
87722;Región de Murcia;house;independent;55000.0;54.0;2;2.0;37.6709571;-1.3616273
88440;Región de Murcia;house;independent;43000.0;55.0;2;2.0;37.7426361;-0.8530621
88865;Región de Murcia;house;independent;79000.0;55.0;2;0.0;37.762984;-0.8451772
90482;Región de Murcia;house;independent;63200.0;57.0;2;2.0;37.8231525;-0.7790204
90727;Región de Murcia;house;independent;65800.0;57.0;2;0.0;37.8251942;-0.7896057
91132;Región de Murcia;house;independent;95000.0;58.0;2;2.0;37.5902406;-1.3203059
92521;Región de Murcia;house;independent;100000.0;60.0;2;0.0;37.8886425;-0.9324167
92533;Región de Murcia;house;independent;65000.0;60.0;2;3.0;37.7367299;-0.8577112
94482;Región de Murcia;house;independent;69900.0;60.0;2;0.0;37.7341069;-0.858837
95397;Región de Murcia;house;independent;112000.0;60.0;2;0.0;37.768646;-1.498442
96839;Región de Murcia;house;independent;56241.0;61.0;2;2.0;37.7404174;-0.8618994
96840;Región de Murcia;house;independent;63186.0;61.0;2;2.0;37.6671043;-1.3580613
96842;Región de Murcia;house;independent;77030.0;61.0;2;2.0;37.8056439;-0.8406731
97383;Región de Murcia;house;independent;89500.0;62.0;2;3.0;37.7559836;-0.8475769
104593;Región de Murcia;house;independent;68000.0;66.0;2;2.0;37.8292448;-0.7767262
104735;Región de Murcia;house;independent;39750.0;66.0;2;2.0;38.0440654;-1.4878337
104736;Región de Murcia;house;independent;80500.0;66.0;2;2.0;37.8903922;-0.9368188
