index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
60765;Vacio;flat;Vacio;46650.0;19.0;1;3.0;36.5374854;-4.6190158
60769;Vacio;flat;Vacio;199000.0;20.0;1;3.0;42.56465;1.60102
60890;Vacio;flat;Vacio;31500.0;27.0;1;5.0;28.401823;-16.3300533
60983;Vacio;flat;Vacio;121008.0;30.0;1;7.0;42.538301;1.5817
60984;Vacio;flat;Vacio;135708.0;30.0;1;7.0;42.536001;1.5846
60998;Vacio;flat;Vacio;132000.0;30.0;1;0.0;43.42189;-2.719045
61015;Vacio;flat;Vacio;72000.0;30.0;1;6.0;41.0715044;1.1136053
61152;Vacio;flat;Vacio;54000.0;31.0;1;4.0;42.5824648;1.6508948
61153;Vacio;flat;Vacio;73000.0;31.0;1;2.0;42.5355309;1.6092098
61172;Vacio;flat;Vacio;210000.0;32.0;1;4.0;41.376068;2.1923231
61189;Vacio;flat;Vacio;105000.0;32.0;1;2.0;42.537201;1.5846
61190;Vacio;flat;Vacio;98000.0;32.0;1;5.0;41.2630377;1.9502324
61194;Vacio;flat;Vacio;73000.0;32.0;1;5.0;42.531189;1.570736
61195;Vacio;flat;Vacio;122000.0;32.0;1;5.0;42.5347309;1.6085098
61210;Vacio;flat;Vacio;59000.0;32.0;1;4.0;36.71206;-4.30265
61232;Vacio;flat;Vacio;79000.0;32.0;1;9.0;43.4283317;-3.4455893
61246;Vacio;flat;Vacio;75000.0;32.0;1;6.0;43.3510351;-1.7834938
61249;Vacio;flat;Vacio;165000.0;33.0;1;5.0;41.3801223;2.1932594
61284;Vacio;flat;Vacio;89000.0;33.0;1;2.0;42.2406951;3.1287349
61314;Vacio;flat;Vacio;210000.0;33.0;1;4.0;41.376068;2.1925231
61351;Vacio;flat;Vacio;180000.0;34.0;1;3.0;42.5844296;1.6645336
61363;Vacio;flat;Vacio;80000.0;34.0;1;2.0;42.504371;1.52271
61367;Vacio;flat;Vacio;96000.0;34.0;1;2.0;41.0739645;1.1220439
61375;Vacio;flat;Vacio;70000.0;34.0;1;3.0;42.564741;1.597464
61387;Vacio;flat;Vacio;75000.0;34.0;1;4.0;42.2439241;3.1353494
61397;Vacio;flat;Vacio;62000.0;34.0;1;4.0;42.5810648;1.6526163
61398;Vacio;flat;Vacio;62000.0;34.0;1;4.0;42.5824648;1.6524592
61399;Vacio;flat;Vacio;67000.0;34.0;1;5.0;42.5801488;1.6511742
61401;Vacio;flat;Vacio;131578.0;34.0;1;6.0;42.5359137;1.5752161
61404;Vacio;flat;Vacio;198000.0;34.0;1;6.0;41.3751524;2.1914794
61438;Vacio;flat;Vacio;120000.0;35.0;1;3.0;42.5826952;1.6628194
61439;Vacio;flat;Vacio;175000.0;35.0;1;5.0;42.589859;1.6874711
61446;Vacio;flat;Vacio;214561.0;35.0;1;2.0;41.1123;1.2580062
61473;Vacio;flat;Vacio;94703.0;35.0;1;2.0;42.568898;1.60003
61474;Vacio;flat;Vacio;140000.0;35.0;1;6.0;42.538001;1.5806
61475;Vacio;flat;Vacio;100000.0;35.0;1;3.0;42.534301;1583.0
61477;Vacio;flat;Vacio;89000.0;35.0;1;3.0;43.4387121;-3.4564393
61509;Vacio;flat;Vacio;62000.0;35.0;1;3.0;42.564641;1.600764
61510;Vacio;flat;Vacio;135000.0;35.0;1;3.0;42.564941;1.597464
61555;Vacio;flat;Vacio;170000.0;35.0;1;2.0;42.2434241;3.1353494
61556;Vacio;flat;Vacio;140000.0;35.0;1;3.0;43.3721392;-1.770011
61570;Vacio;flat;Vacio;125000.0;35.0;1;3.0;43.3721644;-1.7610878
61597;Vacio;flat;Vacio;100000.0;35.0;1;4.0;42.5757781;1.6617136
61614;Vacio;flat;Vacio;128000.0;35.0;1;8.0;39.5081366;2.538584
61632;Vacio;flat;Vacio;190000.0;35.0;1;5.0;41.3800715;2.1930733
61634;Vacio;flat;Vacio;149000.0;35.0;1;3.0;41.3736493;2.1887855
61683;Vacio;flat;Vacio;94500.0;35.0;1;4.0;36.5447778;-4.617617
61688;Vacio;flat;Vacio;110000.0;35.0;1;5.0;36.6117889;-4.5015437
61702;Vacio;flat;Vacio;135000.0;35.0;1;0.0;36.74303;-3.8759489
61708;Vacio;flat;Vacio;90000.0;35.0;1;2.0;37.6876023;-0.7393405
61722;Vacio;flat;Vacio;43000.0;35.0;1;2.0;38.0213279;-0.6533651
61774;Vacio;flat;Vacio;139650.0;35.0;1;3.0;41.3773256;2.1918473
61797;Vacio;flat;Vacio;85000.0;36.0;1;4.0;42.5603044;1.6060877
61817;Vacio;flat;Vacio;90000.0;36.0;1;5.0;42.5766731;1.481325
61818;Vacio;flat;Vacio;110000.0;36.0;1;4.0;42.5770929;1.6471009
61854;Vacio;flat;Vacio;105000.0;36.0;1;5.0;42.5336137;1.5712161
61866;Vacio;flat;Vacio;149000.0;36.0;1;5.0;41.3784026;2.1923008
61894;Vacio;flat;Vacio;41000.0;36.0;1;5.0;28.9566621;-13.5520569
61906;Vacio;flat;Vacio;110000.0;37.0;1;2.0;42.588359;1.6854711
61907;Vacio;flat;Vacio;240000.0;37.0;1;3.0;42.589859;1.6874711
61934;Vacio;flat;Vacio;70000.0;37.0;1;2.0;42.565498;1.59843
61935;Vacio;flat;Vacio;112878.0;37.0;1;2.0;42.566998;1.59843
61936;Vacio;flat;Vacio;121009.0;37.0;1;5.0;42.534301;1.5823
61944;Vacio;flat;Vacio;95000.0;37.0;1;4.0;42.56865;1.59842
61945;Vacio;flat;Vacio;97000.0;37.0;1;0.0;42.56845;1.60172
61946;Vacio;flat;Vacio;68872.0;37.0;1;0.0;39.7929966;-0.1331109
61971;Vacio;flat;Vacio;85000.0;37.0;1;3.0;42.5694014;1.6032845
61972;Vacio;flat;Vacio;95000.0;37.0;1;4.0;42.5659922;1.5947009
61976;Vacio;flat;Vacio;126000.0;37.0;1;7.0;41.6636976;2.7858182
62100;Vacio;flat;Vacio;120000.0;38.0;1;3.0;42.5807929;1.6497009
62105;Vacio;flat;Vacio;120000.0;38.0;1;5.0;41.8193975;3.0714046
62128;Vacio;flat;Vacio;100000.0;38.0;1;5.0;35.2738356;-2.9477755
62129;Vacio;flat;Vacio;91000.0;38.0;1;6.0;35.2775389;-2.9450369
62147;Vacio;flat;Vacio;75000.0;38.0;1;3.0;38.1863862;-0.5564132
62172;Vacio;flat;Vacio;52200.0;38.0;1;4.0;42.4791512;-8.9285728
62203;Vacio;flat;Vacio;155000.0;38.0;1;2.0;41.3785502;2.1921013
62219;Vacio;flat;Vacio;70000.0;38.0;1;0.0;28.1362659;-15.4401685
62281;Vacio;flat;Vacio;55000.0;39.0;1;7.0;42.536001;1.5846
62282;Vacio;flat;Vacio;97000.0;39.0;1;5.0;42.566998;1.60243
62293;Vacio;flat;Vacio;55000.0;39.0;1;4.0;42.4928653;1.5884459
62318;Vacio;flat;Vacio;80000.0;39.0;1;3.0;28.0261376;-14.3481412
62319;Vacio;flat;Vacio;68000.0;39.0;1;4.0;42.5801488;1.6511742
62378;Vacio;flat;Vacio;190000.0;40.0;1;2.0;42.589859;1.6874711
62519;Vacio;flat;Vacio;149000.0;40.0;1;2.0;42.536001;1.5846
62520;Vacio;flat;Vacio;152450.0;40.0;1;3.0;42.5615312;1.532338
62521;Vacio;flat;Vacio;100000.0;40.0;1;5.0;42.564898;1.59933
62522;Vacio;flat;Vacio;210000.0;40.0;1;2.0;42.535701;1.5806
