index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
65247;Vacio;house;independent;103000.0;45.0;1;2.0;43.415725;-3.4359482
67768;Vacio;house;independent;165000.0;50.0;1;0.0;38.6860507;0.1433647
82260;Vacio;house;independent;34250.0;113.0;1;2.0;37.2063559;-7.3280579
82510;Vacio;house;independent;126000.0;130.0;1;0.0;36.2756474;-6.0937107
82517;Vacio;house;independent;341900.0;130.0;1;0.0;42.5054158;1.5182215
84892;Vacio;house;independent;60000.0;49.0;2;0.0;43.5353516;-6.7263647
85527;Vacio;house;independent;72000.0;50.0;2;0.0;36.7422629;-6.4360452
85532;Vacio;house;independent;59000.0;50.0;2;0.0;43.6975172;-7.4374377
108804;Vacio;house;independent;220800.0;69.0;2;0.0;36.7306095;-3.9443364
110441;Vacio;house;independent;145000.0;70.0;2;0.0;38.8583984;0.0745801
116796;Vacio;house;independent;800000.0;72.0;2;0.0;39.691843;-0.2004732
120348;Vacio;house;independent;240000.0;75.0;2;0.0;42.50678;1.53071
129356;Vacio;house;independent;263000.0;80.0;2;0.0;42.5813777;1.653361
134906;Vacio;house;independent;112500.0;82.0;2;2.0;39.8781549;4.294031
137028;Vacio;house;independent;280000.0;84.0;2;2.0;27.7652159;-15.5442332
138282;Vacio;house;independent;93086.0;85.0;2;2.0;38.9283891;-0.0907432
144767;Vacio;house;independent;450000.0;90.0;2;3.0;38.5277952;-0.1596489
147515;Vacio;house;independent;298000.0;92.0;2;0.0;36.4969956;-4.8088841
152481;Vacio;house;independent;137000.0;100.0;2;0.0;39.8818731;4.295294
152974;Vacio;house;independent;140000.0;100.0;2;0.0;42.51092;2.1396
156637;Vacio;house;independent;127000.0;110.0;2;3.0;37.8663379;-0.7606129
158320;Vacio;house;independent;144995.0;115.0;2;2.0;37.9116877;-0.731473
159190;Vacio;house;independent;238000.0;120.0;2;0.0;40.4849617;0.4896625
159260;Vacio;house;independent;255000.0;120.0;2;0.0;38.8651693;0.0163671
159600;Vacio;house;independent;264700.0;120.0;2;0.0;43.357388;-1.77764
159666;Vacio;house;independent;240000.0;120.0;2;0.0;42.4606262;2.0324125
159910;Vacio;house;independent;520000.0;120.0;2;0.0;36.74363;-3.8746489
160847;Vacio;house;independent;250000.0;126.0;2;2.0;41.585793;2.5836922
160949;Vacio;house;independent;90000.0;127.0;2;2.0;28.338778;-16.3654767
163290;Vacio;house;independent;320000.0;150.0;2;0.0;38.6856565;0.1330705
163956;Vacio;house;independent;550000.0;160.0;2;0.0;42.5422499;1.5133124
164350;Vacio;house;independent;500000.0;170.0;2;0.0;41.5829851;2.5751123
164385;Vacio;house;independent;490000.0;170.0;2;0.0;42.5826155;1.6400635
164636;Vacio;house;independent;325000.0;180.0;2;0.0;42.557113;1.531042
165942;Vacio;house;independent;1350000.0;320.0;2;0.0;42.5789031;1.6333953
165974;Vacio;house;independent;1000000.0;350.0;2;2.0;42.5090996;1.5507103
166042;Vacio;house;independent;410000.0;400.0;2;0.0;42.5753999;1.4929344
166057;Vacio;house;independent;1536585.0;426.0;2;0.0;42.5430467;1.5126738
166059;Vacio;house;independent;1800000.0;428.0;2;0.0;42.5484537;1.5070964
166109;Vacio;house;independent;4000000.0;750.0;2;0.0;42.577712;1.665191
167080;Vacio;house;independent;200000.0;55.0;3;0.0;43.6200589;-3.264301
187690;Vacio;house;independent;195000.0;79.0;3;0.0;40.0138324;4.1997852
188275;Vacio;house;independent;290000.0;80.0;3;2.0;41.2338454;1.8102538
189946;Vacio;house;independent;150000.0;80.0;3;0.0;36.5072389;-4.85968
190963;Vacio;house;independent;360000.0;80.0;3;2.0;43.4368069;-4.0437691
192542;Vacio;house;independent;270000.0;80.0;3;0.0;36.7484294;-3.8684402
199024;Vacio;house;independent;170000.0;85.0;3;0.0;39.8313898;4.3012083
211530;Vacio;house;independent;165000.0;90.0;3;0.0;42.4664727;1.8865771
214265;Vacio;house;independent;157894.0;90.0;3;0.0;36.7444498;-3.8731815
217349;Vacio;house;independent;220000.0;92.0;3;0.0;36.397617;-5.19163
222676;Vacio;house;independent;115000.0;95.0;3;2.0;40.0881265;0.1477257
230617;Vacio;house;independent;210000.0;100.0;3;0.0;40.4952205;0.4984626
231120;Vacio;house;independent;390000.0;100.0;3;0.0;36.1848366;-6.0168814
231275;Vacio;house;independent;180000.0;100.0;3;0.0;38.6858565;0.1330705
231454;Vacio;house;independent;450000.0;100.0;3;0.0;36.7404531;-3.8860565
231502;Vacio;house;independent;298000.0;100.0;3;0.0;42.5085639;1.5427485
231503;Vacio;house;independent;355000.0;100.0;3;0.0;42.5084334;1.5177392
233309;Vacio;house;independent;100000.0;100.0;3;0.0;43.6200589;-3.264301
233589;Vacio;house;independent;179000.0;100.0;3;0.0;41.0162787;0.9516642
236017;Vacio;house;independent;209000.0;100.0;3;0.0;36.7394978;-3.8884286
237926;Vacio;house;independent;144100.0;101.0;3;2.0;37.9116877;-0.730473
240666;Vacio;house;independent;139000.0;103.0;3;2.0;37.9117877;-0.727773
241415;Vacio;house;independent;425000.0;104.0;3;0.0;38.6398278;0.0669255
242589;Vacio;house;independent;480000.0;105.0;3;0.0;42.5347491;1.5237345
243711;Vacio;house;independent;284000.0;105.0;3;0.0;37.1525805;-1.8222813
247640;Vacio;house;independent;398000.0;108.0;3;0.0;42.2430241;3.1332494
249933;Vacio;house;independent;290000.0;110.0;3;0.0;40.0078246;3.7943128
250287;Vacio;house;independent;163900.0;110.0;3;2.0;36.6054059;-6.2815519
255905;Vacio;house;independent;430000.0;113.0;3;0.0;37.147473;-1.8240647
256528;Vacio;house;independent;220000.0;114.0;3;0.0;38.6304795;0.0320203
260184;Vacio;house;independent;225000.0;117.0;3;0.0;36.7473406;-4.0611225
260330;Vacio;house;independent;132683.0;117.0;3;2.0;28.5157545;-13.840072
260341;Vacio;house;independent;132683.0;117.0;3;2.0;28.4990845;-13.847979
262491;Vacio;house;independent;275000.0;120.0;3;0.0;38.6854565;0.1330705
263122;Vacio;house;independent;199995.0;120.0;3;0.0;38.917293;-0.0722486
264239;Vacio;house;independent;250000.0;120.0;3;0.0;36.1847366;-6.0188814
264988;Vacio;house;independent;93000.0;120.0;3;0.0;36.1908771;-5.3315855
268167;Vacio;house;independent;180000.0;124.0;3;0.0;43.5353516;-6.7246647
268590;Vacio;house;independent;218000.0;125.0;3;0.0;38.6853565;0.1336705
269037;Vacio;house;independent;342000.0;125.0;3;0.0;43.5668293;-7.2254156
269067;Vacio;house;independent;212000.0;125.0;3;0.0;41.025415;0.9646025
269945;Vacio;house;independent;179000.0;126.0;3;0.0;36.2736342;-6.0913246
271018;Vacio;house;independent;125000.0;128.0;3;0.0;42.6051594;-8.9370194
271622;Vacio;house;independent;249000.0;130.0;3;0.0;42.46474;1.908364
271768;Vacio;house;independent;230000.0;130.0;3;0.0;38.6453102;0.0750814
272151;Vacio;house;independent;162000.0;130.0;3;0.0;28.0425868;-16.5337627
272668;Vacio;house;independent;210000.0;130.0;3;0.0;42.0524028;3.2001607
272824;Vacio;house;independent;148000.0;130.0;3;0.0;42.1416364;3.1199592
274377;Vacio;house;independent;224000.0;132.0;3;2.0;28.2066316;-14.0320208
274403;Vacio;house;independent;199900.0;132.0;3;2.0;38.4415283;-0.3754133
278158;Vacio;house;independent;200000.0;140.0;3;0.0;36.4228261;-5.1455822
280047;Vacio;house;independent;167000.0;143.0;3;2.0;40.3607521;0.4040519
280072;Vacio;house;independent;495000.0;143.0;3;0.0;36.488289;-4.7716114
282165;Vacio;house;independent;345000.0;150.0;3;0.0;39.9022315;3.0827266
282224;Vacio;house;independent;289995.0;150.0;3;0.0;36.7188252;-4.1537937
282314;Vacio;house;independent;273000.0;150.0;3;0.0;38.6853565;0.1331705
282438;Vacio;house;independent;395000.0;150.0;3;0.0;36.5618216;-4.6027573
282810;Vacio;house;independent;600000.0;150.0;3;0.0;41.2638789;1.9918153
283155;Vacio;house;independent;220000.0;150.0;3;0.0;42.4143947;1.9776677
283674;Vacio;house;independent;330000.0;150.0;3;0.0;42.378363;3.156772
283764;Vacio;house;independent;300000.0;150.0;3;0.0;41.2647475;1.9563304
283868;Vacio;house;independent;250000.0;150.0;3;2.0;38.5245916;-0.1595236
285184;Vacio;house;independent;270000.0;155.0;3;0.0;39.5775861;-0.273248
286214;Vacio;house;independent;410000.0;160.0;3;0.0;42.449997;1.4650567
286326;Vacio;house;independent;315000.0;160.0;3;0.0;28.0908113;-16.7446971
287433;Vacio;house;independent;369000.0;162.0;3;0.0;38.6860507;0.1433647
287928;Vacio;house;independent;225000.0;164.0;3;0.0;29.1408949;-13.4494123
