index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
67400;Vacio;house;terraced house;85000.0;49.0;1;0.0;28.0674049;-16.7330183
73701;Vacio;house;terraced house;105000.0;58.0;1;0.0;36.5171903;-4.6289579
74609;Vacio;house;terraced house;95000.0;60.0;1;0.0;38.6390519;0.043787
81462;Vacio;house;terraced house;109000.0;90.0;1;0.0;36.5039196;-4.665741
82067;Vacio;house;terraced house;180063.0;105.0;1;0.0;42.5029158;1.5181215
88247;Vacio;house;terraced house;145000.0;55.0;2;0.0;41.0745211;1.1261096
93647;Vacio;house;terraced house;174000.0;60.0;2;0.0;42.2439241;3.1353494
95768;Vacio;house;terraced house;89000.0;60.0;2;0.0;38.1906504;-0.5802143
96240;Vacio;house;terraced house;217000.0;60.0;2;0.0;43.3732786;-1.7611112
102703;Vacio;house;terraced house;146000.0;65.0;2;0.0;39.6926833;-0.2003923
102901;Vacio;house;terraced house;80000.0;65.0;2;0.0;39.6595472;-0.2109838
125392;Vacio;house;terraced house;190000.0;77.0;2;0.0;39.8371348;4.3020202
125782;Vacio;house;terraced house;68602.0;77.0;2;0.0;37.2062438;-7.0394932
129002;Vacio;house;terraced house;190000.0;80.0;2;0.0;42.462533;1.937565
130393;Vacio;house;terraced house;157500.0;80.0;2;0.0;38.0086643;-0.6514783
131209;Vacio;house;terraced house;150000.0;80.0;2;0.0;36.733067;-3.592441
134065;Vacio;house;terraced house;86000.0;81.0;2;0.0;28.860105;-13.8631627
136495;Vacio;house;terraced house;125000.0;83.0;2;0.0;37.211235;-7.0686363
137980;Vacio;house;terraced house;155000.0;85.0;2;0.0;43.4783409;-8.1759663
144027;Vacio;house;terraced house;135000.0;90.0;2;0.0;38.6853565;0.1331705
144585;Vacio;house;terraced house;210000.0;90.0;2;0.0;38.1679088;-0.4807887
144589;Vacio;house;terraced house;140000.0;90.0;2;0.0;38.913793;-0.0722486
145413;Vacio;house;terraced house;600000.0;90.0;2;0.0;42.2047688;-8.7809868
145522;Vacio;house;terraced house;168000.0;90.0;2;2.0;39.6920833;-0.1988923
146991;Vacio;house;terraced house;150000.0;91.0;2;0.0;36.497864;-4.6858945
149184;Vacio;house;terraced house;350000.0;95.0;2;0.0;36.5050725;-4.6648489
152711;Vacio;house;terraced house;270900.0;100.0;2;0.0;36.745995;-4.060494
152999;Vacio;house;terraced house;315000.0;100.0;2;0.0;42.5305171;1.568773
155669;Vacio;house;terraced house;349000.0;106.0;2;0.0;36.5799352;-4.5559719
156625;Vacio;house;terraced house;473400.0;110.0;2;0.0;42.567798;1.59843
157272;Vacio;house;terraced house;126000.0;110.0;2;0.0;39.6951707;-0.1988678
160713;Vacio;house;terraced house;239000.0;125.0;2;0.0;28.0458442;-16.5323185
161543;Vacio;house;terraced house;289000.0;130.0;2;0.0;36.74303;-3.8771489
161733;Vacio;house;terraced house;180000.0;132.0;2;0.0;36.7478406;-4.0611225
162247;Vacio;house;terraced house;221000.0;138.0;2;0.0;38.6853565;0.1332705
162577;Vacio;house;terraced house;335000.0;140.0;2;0.0;42.5558288;1.550253
163447;Vacio;house;terraced house;335000.0;150.0;2;0.0;42.5518288;1.550553
163448;Vacio;house;terraced house;418950.0;150.0;2;0.0;42.5535253;1.5096126
163932;Vacio;house;terraced house;340000.0;160.0;2;0.0;36.4268196;-5.1305826
164384;Vacio;house;terraced house;700000.0;170.0;2;0.0;42.5754046;1.4804341
164848;Vacio;house;terraced house;336000.0;186.0;2;0.0;36.4293811;-5.1189663
164933;Vacio;house;terraced house;168000.0;190.0;2;0.0;36.749475;-3.2370879
165089;Vacio;house;terraced house;430000.0;200.0;2;0.0;38.5286262;-0.1602337
165677;Vacio;house;terraced house;854201.0;250.0;2;0.0;42.5348309;1.6125098
165999;Vacio;house;terraced house;490000.0;370.0;2;0.0;42.5455464;1.5161733
166031;Vacio;house;terraced house;631721.0;390.0;2;0.0;42.5484537;1.5093964
166060;Vacio;house;terraced house;462880.0;430.0;2;0.0;42.5484537;1.5105964
166526;Vacio;house;terraced house;185000.0;50.0;3;0.0;37.8643529;-0.7613138
179007;Vacio;house;terraced house;216000.0;72.0;3;0.0;43.3729457;-1.7416255
183732;Vacio;house;terraced house;165000.0;75.0;3;0.0;42.4161194;1.9757479
189077;Vacio;house;terraced house;119900.0;80.0;3;0.0;38.1894786;-0.5873319
197866;Vacio;house;terraced house;189000.0;84.0;3;0.0;36.7125364;-4.2180283
200171;Vacio;house;terraced house;279000.0;85.0;3;0.0;43.3716627;-1.752964
200536;Vacio;house;terraced house;160000.0;85.0;3;0.0;36.535138;-4.6225606
207442;Vacio;house;terraced house;325000.0;89.0;3;0.0;36.663013;-4.457245
208758;Vacio;house;terraced house;240000.0;90.0;3;0.0;41.8868248;3.1845215
209276;Vacio;house;terraced house;270000.0;90.0;3;0.0;36.7371934;-3.7551069
209376;Vacio;house;terraced house;350000.0;90.0;3;0.0;38.1944457;-0.5157709
210554;Vacio;house;terraced house;189000.0;90.0;3;0.0;36.746487;-4.061077
213622;Vacio;house;terraced house;300000.0;90.0;3;0.0;40.0918292;0.1504466
214216;Vacio;house;terraced house;149000.0;90.0;3;0.0;36.71212;-4.221805
216809;Vacio;house;terraced house;105000.0;91.0;3;0.0;38.1881983;-0.5880713
220140;Vacio;house;terraced house;210000.0;94.0;3;0.0;40.4908079;0.4966011
220142;Vacio;house;terraced house;250000.0;94.0;3;0.0;38.1723824;-0.5510851
221414;Vacio;house;terraced house;424000.0;95.0;3;2.0;39.3617619;2.9557286
224383;Vacio;house;terraced house;330000.0;95.0;3;0.0;36.7131261;-4.3074174
224828;Vacio;house;terraced house;225000.0;95.0;3;0.0;42.434271;1.941979
231343;Vacio;house;terraced house;260000.0;100.0;3;0.0;40.49534;0.4981611
237859;Vacio;house;terraced house;190000.0;101.0;3;2.0;37.1749438;-1.8223103
249347;Vacio;house;terraced house;213000.0;110.0;3;0.0;39.5131981;2.4638705
249408;Vacio;house;terraced house;341900.0;110.0;3;0.0;42.557411;1.48975
250480;Vacio;house;terraced house;290000.0;110.0;3;0.0;43.3604603;-1.7703142
250805;Vacio;house;terraced house;129000.0;110.0;3;0.0;36.4559959;-5.0457722
250895;Vacio;house;terraced house;180000.0;110.0;3;0.0;36.74292;-3.6637488
251275;Vacio;house;terraced house;279000.0;110.0;3;0.0;42.5030398;1.532782
253435;Vacio;house;terraced house;390000.0;110.0;3;0.0;43.3649379;-1.7646916
255889;Vacio;house;terraced house;403414.0;113.0;3;0.0;42.5334381;1.5121148
257434;Vacio;house;terraced house;134900.0;115.0;3;0.0;36.7316565;-3.9773791
258756;Vacio;house;terraced house;265000.0;115.0;3;0.0;39.5239034;2.5403782
262527;Vacio;house;terraced house;179000.0;120.0;3;0.0;40.4015024;0.4185444
263602;Vacio;house;terraced house;124000.0;120.0;3;0.0;38.18946;-0.5908785
263783;Vacio;house;terraced house;126000.0;120.0;3;0.0;38.8554176;0.0872375
263788;Vacio;house;terraced house;105000.0;120.0;3;0.0;38.1894786;-0.5889319
264942;Vacio;house;terraced house;169000.0;120.0;3;2.0;40.4025704;0.4213457
265341;Vacio;house;terraced house;230000.0;120.0;3;0.0;36.713109;-4.204145
266017;Vacio;house;terraced house;509000.0;120.0;3;0.0;39.4039832;-0.328285
266058;Vacio;house;terraced house;120000.0;120.0;3;0.0;38.1892805;-0.590236
267122;Vacio;house;terraced house;140000.0;122.0;3;0.0;36.743927;-4.0418761
267508;Vacio;house;terraced house;199700.0;123.0;3;0.0;38.8337113;0.1257707
268742;Vacio;house;terraced house;228500.0;125.0;3;0.0;36.2756923;-6.0934965
271101;Vacio;house;terraced house;135000.0;128.0;3;0.0;36.1535773;-5.4456202
271820;Vacio;house;terraced house;310000.0;130.0;3;0.0;36.3934648;-5.1965707
271976;Vacio;house;terraced house;245000.0;130.0;3;0.0;39.1303036;-0.2320407
272672;Vacio;house;terraced house;220000.0;130.0;3;0.0;42.50431;2.039253
273254;Vacio;house;terraced house;230000.0;130.0;3;0.0;28.0422173;-16.540784
273434;Vacio;house;terraced house;165000.0;130.0;3;0.0;36.714379;-4.2048454
273510;Vacio;house;terraced house;215000.0;130.0;3;0.0;36.5793838;-4.5593051
273702;Vacio;house;terraced house;370000.0;130.0;3;0.0;43.3609311;-1.765764
274125;Vacio;house;terraced house;680000.0;131.0;3;0.0;43.3604483;-1.7865445
274141;Vacio;house;terraced house;156000.0;131.0;3;0.0;39.65516;-0.21061
274415;Vacio;house;terraced house;233200.0;132.0;3;0.0;40.4614673;0.4682627
274603;Vacio;house;terraced house;320000.0;133.0;3;0.0;41.0423756;0.9982387
274605;Vacio;house;terraced house;590000.0;133.0;3;2.0;42.5543253;1.5076126
274777;Vacio;house;terraced house;169600.0;133.0;3;0.0;40.4594673;0.4689627
275135;Vacio;house;terraced house;212000.0;134.0;3;0.0;40.4614673;0.4682627
275486;Vacio;house;terraced house;380000.0;135.0;3;2.0;41.1937603;1.6433283
276052;Vacio;house;terraced house;380000.0;135.0;3;2.0;41.1937603;1.6447283
276064;Vacio;house;terraced house;180000.0;135.0;3;0.0;36.7471222;-3.8672957
276838;Vacio;house;terraced house;380000.0;137.0;3;0.0;36.42619;-5.13343
277681;Vacio;house;terraced house;250000.0;140.0;3;0.0;38.5279372;-0.1599854
277911;Vacio;house;terraced house;463000.0;140.0;3;0.0;42.5774793;1.4791267
277920;Vacio;house;terraced house;250000.0;140.0;3;0.0;38.5279758;-0.1604924
279081;Vacio;house;terraced house;140000.0;140.0;3;0.0;41.5029544;2.3985455
280922;Vacio;house;terraced house;220000.0;145.0;3;0.0;40.0898208;0.1492941
281112;Vacio;house;terraced house;330000.0;145.0;3;0.0;43.3725365;-1.7599916
281434;Vacio;house;terraced house;240000.0;147.0;3;0.0;36.3723054;-5.2185628
281684;Vacio;house;terraced house;380000.0;148.0;3;0.0;42.5134122;1.544499
282363;Vacio;house;terraced house;162000.0;150.0;3;0.0;40.394299;0.416058
282651;Vacio;house;terraced house;150000.0;150.0;3;0.0;39.2719496;-0.2703723
282959;Vacio;house;terraced house;337000.0;150.0;3;0.0;43.3724688;-1.7626132
283217;Vacio;house;terraced house;349000.0;150.0;3;0.0;42.5354214;1.5162596
283756;Vacio;house;terraced house;475000.0;150.0;3;0.0;36.4683381;-4.9908485
284183;Vacio;house;terraced house;375000.0;151.0;3;0.0;42.5779966;1.6969759
284312;Vacio;house;terraced house;550000.0;152.0;3;0.0;41.2336612;1.8277226
284593;Vacio;house;terraced house;138600.0;153.0;3;0.0;37.2062438;-7.0397932
286230;Vacio;house;terraced house;378000.0;160.0;3;0.0;42.532089;1.570736
286700;Vacio;house;terraced house;526000.0;160.0;3;0.0;42.5783914;1.4968107
287286;Vacio;house;terraced house;736400.0;161.0;3;0.0;42.5424525;1.5255183
