index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
44306;Vacio;land;Vacio;150000.0;0.0;0;0.0;37.1922701;-1.8154863
44639;Vacio;land;Vacio;470000.0;0.0;0;0.0;42.5038398;1.528782
44640;Vacio;land;Vacio;276000.0;0.0;0;0.0;42.4380133;1.4883493
44647;Vacio;land;Vacio;12000000.0;0.0;0;0.0;39.5404728;2.3762497
44964;Vacio;land;Vacio;270000.0;0.0;0;0.0;41.5771974;2.5511212
45164;Vacio;land;Vacio;210000.0;0.0;0;0.0;39.3188103;3.1431456
45165;Vacio;land;Vacio;150000.0;0.0;0;0.0;39.321448;3.1427276
45552;Vacio;land;Vacio;400000.0;0.0;0;0.0;42.4638576;1.5033349
45553;Vacio;land;Vacio;577500.0;0.0;0;0.0;42.4638576;1.5049349
45554;Vacio;land;Vacio;1100000.0;0.0;0;0.0;42.4598576;1.5033349
45701;Vacio;land;Vacio;480000.0;0.0;0;0.0;39.9896012;3.8281422
45703;Vacio;land;Vacio;250000.0;0.0;0;0.0;39.8628289;4.1377204
45722;Vacio;land;Vacio;350000.0;0.0;0;0.0;43.345125;-1.7611028
45857;Vacio;land;Vacio;95000.0;0.0;0;0.0;37.8564953;-0.7625798
45948;Vacio;land;Vacio;120000.0;0.0;0;0.0;36.9382834;-1.9318481
46069;Vacio;land;Vacio;85000.0;0.0;0;0.0;42.2628903;-8.7808493
46344;Vacio;land;Vacio;139500.0;0.0;0;0.0;36.7304309;-3.6893306
46870;Vacio;land;Vacio;115000.0;0.0;0;0.0;41.6167064;2.6767554
51424;Vacio;land;Vacio;2500000.0;0.0;0;0.0;36.1348218;-5.8477163
51505;Vacio;land;Vacio;50000.0;0.0;0;0.0;39.1403324;-7.149812
51507;Vacio;land;Vacio;55000.0;0.0;0;0.0;39.1388324;-7.146212
52138;Vacio;land;Vacio;140000.0;0.0;0;0.0;42.4005676;-8.8094405
55017;Vacio;land;Vacio;300000.0;0.0;0;0.0;37.2080871;-1.8100241
55773;Vacio;land;Vacio;530000.0;0.0;0;0.0;38.9776871;1.3059714
55819;Vacio;land;Vacio;65000.0;0.0;0;0.0;42.6041973;-8.9369431
56020;Vacio;land;Vacio;315000.0;0.0;0;0.0;42.1347683;-8.8181291
56092;Vacio;land;Vacio;75000.0;0.0;0;0.0;42.5746493;-9.0660436
56496;Vacio;land;Vacio;368000.0;0.0;0;0.0;36.5066373;-4.6374749
56591;Vacio;land;Vacio;409500.0;0.0;0;0.0;39.5199013;2.5381979
56775;Vacio;land;Vacio;2700000.0;0.0;0;0.0;36.48893;-4.7058
57315;Vacio;land;Vacio;78000.0;0.0;0;0.0;43.3694136;0.122505
57353;Vacio;land;Vacio;520000.0;0.0;0;0.0;36.5951547;-4.5164771
57445;Vacio;land;Vacio;400000.0;0.0;0;0.0;39.2903022;-0.280852
57680;Vacio;land;Vacio;850000.0;0.0;0;2.0;42.3998021;-8.8118929
57682;Vacio;land;Vacio;210000.0;0.0;0;2.0;42.3998021;-8.8104929
57774;Vacio;land;Vacio;1135000.0;0.0;0;0.0;38.9765871;1.3041714
57860;Vacio;land;Vacio;200000.0;0.0;0;0.0;43.3812481;-8.343231
57862;Vacio;land;Vacio;280000.0;0.0;0;0.0;43.3686452;-8.3410474
57953;Vacio;land;Vacio;175000.0;0.0;0;0.0;43.3817925;-3.2158308
58336;Vacio;land;Vacio;2400000.0;0.0;0;0.0;36.3128478;-6.1543257
59093;Vacio;land;Vacio;1100000.0;0.0;0;0.0;36.50369;-4.85091
59145;Vacio;land;Vacio;175000.0;0.0;0;0.0;42.2247535;-8.760232
59156;Vacio;land;Vacio;400000.0;0.0;0;0.0;42.1998529;-8.7897351
59564;Vacio;land;Vacio;995000.0;0.0;0;0.0;36.7197887;-4.3856536
60298;Vacio;land;Vacio;750000.0;0.0;0;0.0;38.9895124;1.5726885
60631;Vacio;land;Vacio;1260000.0;0.0;0;0.0;38.9765871;1.3035714
