index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
7954;Andalucía;countryHouse;country house;100000.0;72.0;0;0.0;37.185112;-4.0417739
16686;Andalucía;countryHouse;country house;73000.0;143.0;0;0.0;36.8219098;-4.5385963
31392;Andalucía;countryHouse;country house;70000.0;1800.0;0;0.0;37.3737093;-6.3345162
60995;Andalucía;countryHouse;country house;75000.0;30.0;1;0.0;36.7984351;-4.0115059
61007;Andalucía;countryHouse;country house;62000.0;30.0;1;0.0;37.0215109;-3.626021
61561;Andalucía;countryHouse;country house;60000.0;35.0;1;0.0;37.0217536;-3.6238878
70616;Andalucía;countryHouse;country house;77000.0;53.0;1;0.0;36.8313;-3.97797
74706;Andalucía;countryHouse;country house;138000.0;60.0;1;0.0;36.6674157;-4.6246487
74948;Andalucía;countryHouse;country house;157000.0;60.0;1;0.0;36.6873976;-4.6019455
76799;Andalucía;countryHouse;country house;74000.0;64.0;1;0.0;36.7686628;-4.2492735
80846;Andalucía;countryHouse;country house;150000.0;80.0;1;0.0;37.9142778;-6.7306621
82642;Andalucía;countryHouse;country house;70000.0;150.0;1;0.0;36.7457304;-5.1499083
83049;Andalucía;countryHouse;country house;29000.0;5000.0;1;0.0;36.3986256;-6.1027336
83050;Andalucía;countryHouse;country house;95000.0;6000.0;1;0.0;36.7359283;-5.1635448
84129;Andalucía;countryHouse;country house;135000.0;45.0;2;0.0;36.7447123;-4.6140802
85936;Andalucía;countryHouse;country house;450000.0;50.0;2;0.0;36.7390005;-4.2465163
92708;Andalucía;countryHouse;country house;60000.0;60.0;2;0.0;36.9958788;-2.6581098
92735;Andalucía;countryHouse;country house;115000.0;60.0;2;0.0;36.9274212;-2.45781
93238;Andalucía;countryHouse;country house;63000.0;60.0;2;0.0;37.3224956;-7.2887889
95485;Andalucía;countryHouse;country house;92000.0;60.0;2;0.0;36.7013519;-4.440625
95921;Andalucía;countryHouse;country house;99999.0;60.0;2;0.0;37.3163894;-5.9141209
99859;Andalucía;countryHouse;country house;189000.0;64.0;2;0.0;36.6705533;-4.6365627
100297;Andalucía;countryHouse;country house;75000.0;65.0;2;0.0;36.9168957;-2.4383012
101495;Andalucía;countryHouse;country house;123000.0;65.0;2;2.0;37.2841023;-5.8849966
