index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32615;Andalucía;garage;Vacio;42500.0;0.0;0;0.0;36.7173595;-4.4321602
32627;Andalucía;garage;Vacio;12000.0;0.0;0;0.0;36.347538;-5.8123332
32628;Andalucía;garage;Vacio;10000.0;0.0;0;0.0;36.347538;-5.8123332
32659;Andalucía;garage;Vacio;10500.0;0.0;0;0.0;36.7012667;-3.4162878
32672;Andalucía;garage;Vacio;30000.0;0.0;0;0.0;36.7143477;-4.4274752
32712;Andalucía;garage;Vacio;3000.0;0.0;0;0.0;37.70728;-5.1007098
32718;Andalucía;garage;Vacio;2500.0;0.0;0;0.0;37.3580442;-4.5438139
32721;Andalucía;garage;Vacio;1300.0;0.0;0;0.0;36.79822;-3.64093
32722;Andalucía;garage;Vacio;1300.0;0.0;0;0.0;36.80072;-3.63963
32723;Andalucía;garage;Vacio;1300.0;0.0;0;0.0;37.5315297;-5.0813715
32728;Andalucía;garage;Vacio;1300.0;0.0;0;0.0;37.5301297;-5.0799715
32729;Andalucía;garage;Vacio;2600.0;0.0;0;0.0;36.79992;-3.63693
32734;Andalucía;garage;Vacio;1350.0;0.0;0;0.0;37.5301297;-5.0800715
32740;Andalucía;garage;Vacio;4500.0;0.0;0;0.0;37.7065024;-5.1031639
32741;Andalucía;garage;Vacio;19000.0;0.0;0;0.0;36.8566699;-2.44657
32746;Andalucía;garage;Vacio;4500.0;0.0;0;0.0;37.7048024;-5.1010639
32747;Andalucía;garage;Vacio;3000.0;0.0;0;0.0;37.70328;-5.1017098
32750;Andalucía;garage;Vacio;4000.0;0.0;0;0.0;36.7742018;-2.8156993
32751;Andalucía;garage;Vacio;10000.0;0.0;0;0.0;37.7906537;-3.6111646
32757;Andalucía;garage;Vacio;4000.0;0.0;0;0.0;37.8028;-4.15598
32786;Andalucía;garage;Vacio;4000.0;0.0;0;0.0;37.8029;-4.15998
32787;Andalucía;garage;Vacio;4000.0;0.0;0;0.0;37803.0;-4.15988
32789;Andalucía;garage;Vacio;5000.0;0.0;0;0.0;37.35595;-6.05403
32796;Andalucía;garage;Vacio;8000.0;0.0;0;0.0;37.1283436;-3.6815621
32798;Andalucía;garage;Vacio;23000.0;0.0;0;0.0;36.7183939;-4.4472229
32800;Andalucía;garage;Vacio;4000.0;0.0;0;0.0;37803.0;-4.15898
32802;Andalucía;garage;Vacio;5000.0;0.0;0;0.0;37.2754326;-5.9143764
32803;Andalucía;garage;Vacio;10000.0;0.0;0;0.0;37.9150259;-3.0074684
32808;Andalucía;garage;Vacio;4000.0;0.0;0;0.0;37.7995;-4.15598
32810;Andalucía;garage;Vacio;5000.0;0.0;0;0.0;37.35995;-6.05283
32811;Andalucía;garage;Vacio;6000.0;0.0;0;0.0;37.37521;-6.07662
