index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
9384;Andalucía;house;Vacio;66000.0;80.0;0;0.0;36.6747563;-5.4418824
19095;Andalucía;house;Vacio;88000.0;171.0;0;0.0;37.369201;-6.8384281
21881;Andalucía;house;Vacio;165000.0;218.0;0;0.0;36.73059;-4.370315
23881;Andalucía;house;Vacio;109250.0;269.0;0;0.0;36.6039532;-6.2318259
62223;Andalucía;house;Vacio;14440.0;38.0;1;0.0;36.9832287;-5.9382797
63068;Andalucía;house;Vacio;23000.0;40.0;1;0.0;36.763954;-4.300585
63096;Andalucía;house;Vacio;59900.0;40.0;1;0.0;36.6068618;-4.5324899
63956;Andalucía;house;Vacio;22000.0;42.0;1;0.0;37.89305;-4.77475
68393;Andalucía;house;Vacio;66000.0;50.0;1;0.0;36.3240927;-5.2438822
68976;Andalucía;house;Vacio;275000.0;50.0;1;3.0;37.8893697;-4.7481251
68977;Andalucía;house;Vacio;480000.0;50.0;1;3.0;37.88923;-4.77893
68978;Andalucía;house;Vacio;300000.0;50.0;1;3.0;37.06775;-5.0990499
68979;Andalucía;house;Vacio;600000.0;50.0;1;3.0;37.9121708;-4.792108
68980;Andalucía;house;Vacio;34650.0;50.0;1;3.0;37.3237307;-4.3648341
68981;Andalucía;house;Vacio;290000.0;50.0;1;0.0;37.93401;-4.75307
68982;Andalucía;house;Vacio;108000.0;50.0;1;3.0;37.75805;-4.94263
68983;Andalucía;house;Vacio;4000000.0;50.0;1;3.0;37.8900319;-4.7798043
68984;Andalucía;house;Vacio;106000.0;50.0;1;3.0;37.3902875;-4.7665743
68985;Andalucía;house;Vacio;650000.0;50.0;1;3.0;37.9036049;-4.789688
68986;Andalucía;house;Vacio;25000.0;50.0;1;3.0;38.19764;-5.15244
68987;Andalucía;house;Vacio;94810.0;50.0;1;3.0;37.39542;-6.14331
69352;Andalucía;house;Vacio;68000.0;50.0;1;0.0;36.4185052;-6.1446102
70200;Andalucía;house;Vacio;33450.0;52.0;1;0.0;36.3455168;-5.8096889
72761;Andalucía;house;Vacio;45000.0;56.0;1;0.0;36.4227661;-5.4350727
73817;Andalucía;house;Vacio;37300.0;58.0;1;0.0;36.85397;-5.325812
75337;Andalucía;house;Vacio;42000.0;60.0;1;0.0;36.7470117;-3.5207111
75351;Andalucía;house;Vacio;69000.0;60.0;1;0.0;37.8883824;-4.7583087
77857;Andalucía;house;Vacio;58000.0;66.0;1;2.0;36.5790273;-4.6586438
78373;Andalucía;house;Vacio;93500.0;68.0;1;3.0;36.73477;-4.41028
78545;Andalucía;house;Vacio;39900.0;69.0;1;0.0;37.6492792;-5.7113923
78554;Andalucía;house;Vacio;31000.0;69.0;1;0.0;37.5984365;-7.1224422
78560;Andalucía;house;Vacio;90000.0;69.0;1;2.0;37.33062;-5.41846
79208;Andalucía;house;Vacio;120000.0;70.0;1;0.0;36.6833106;-6.077716
79580;Andalucía;house;Vacio;56000.0;72.0;1;0.0;36.7279832;-4.2227507
80113;Andalucía;house;Vacio;110000.0;75.0;1;0.0;36.7490747;-3.5200363
81012;Andalucía;house;Vacio;108000.0;82.0;1;0.0;36.7625664;-4.2968429
81128;Andalucía;house;Vacio;197600.0;84.0;1;0.0;37.3821804;-6.0110285
81355;Andalucía;house;Vacio;50800.0;87.0;1;3.0;36.8444215;-2.4559203
81861;Andalucía;house;Vacio;71285.0;100.0;1;0.0;37.13463;-4.72966
81862;Andalucía;house;Vacio;71285.0;100.0;1;0.0;37.13463;-4.72966
81863;Andalucía;house;Vacio;72080.0;100.0;1;0.0;37.13463;-4.72966
81864;Andalucía;house;Vacio;71285.0;100.0;1;0.0;37.13463;-4.72966
81865;Andalucía;house;Vacio;72080.0;100.0;1;0.0;37.13463;-4.72966
81866;Andalucía;house;Vacio;72080.0;100.0;1;0.0;37.13463;-4.72966
81867;Andalucía;house;Vacio;72080.0;100.0;1;0.0;37.13463;-4.72966
81868;Andalucía;house;Vacio;72080.0;100.0;1;0.0;37.13463;-4.72966
81938;Andalucía;house;Vacio;123000.0;100.0;1;0.0;36.7448334;-3.5105461
81939;Andalucía;house;Vacio;156000.0;100.0;1;2.0;37.32962;-5.41446
