index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
9223;Andalucía;house;independent;50000.0;80.0;0;0.0;36.82417;-3.2079804
9747;Andalucía;house;independent;65000.0;82.0;0;0.0;37.1389656;-1.8551456
17414;Andalucía;house;independent;150000.0;150.0;0;0.0;36.3347759;-6.0599061
19115;Andalucía;house;independent;84141.0;172.0;0;0.0;37.6971916;-5.2843578
19519;Andalucía;house;independent;180000.0;179.0;0;0.0;37.8928134;-4.7829638
20225;Andalucía;house;independent;50000.0;190.0;0;0.0;36.74026;-4.171055
21230;Andalucía;house;independent;268000.0;205.0;0;0.0;36.60102;-6.2304969
21878;Andalucía;house;independent;61000.0;218.0;0;0.0;37.3753908;-5.7519852
22304;Andalucía;house;independent;575000.0;226.0;0;0.0;37.3858185;-5.9986813
23255;Andalucía;house;independent;114000.0;250.0;0;0.0;37.4079454;-4.4828031
26707;Andalucía;house;independent;350000.0;400.0;0;0.0;37.3882461;-5.9993531
29663;Andalucía;house;independent;889000.0;800.0;0;0.0;36.5978121;-6.2250029
31318;Andalucía;house;independent;2000000.0;1700.0;0;0.0;37.40457;-5.9940543
31390;Andalucía;house;independent;2100000.0;1800.0;0;0.0;37.4046157;-5.9910314
60817;Andalucía;house;independent;77000.0;24.0;1;0.0;36.7524783;-3.9512923
60863;Andalucía;house;independent;76000.0;26.0;1;0.0;36.747296;-4.03145
60912;Andalucía;house;independent;89000.0;28.0;1;0.0;36.508257;-4.8027801
60987;Andalucía;house;independent;85000.0;30.0;1;0.0;37.2700597;-7.0229705
61241;Andalucía;house;independent;23000.0;32.0;1;0.0;36.7570993;-3.9547974
61382;Andalucía;house;independent;13720.0;34.0;1;2.0;37.1908857;-3.7179098
61955;Andalucía;house;independent;22304.0;37.0;1;2.0;36.75178;-5.8149174
62402;Andalucía;house;independent;12600.0;40.0;1;3.0;36.1307994;-5.4602328
62504;Andalucía;house;independent;165000.0;40.0;1;0.0;36.373227;-6.1764644
62664;Andalucía;house;independent;12600.0;40.0;1;2.0;36.1303994;-5.4582328
62724;Andalucía;house;independent;31950.0;40.0;1;0.0;36.141966;-5.4475216
62749;Andalucía;house;independent;128000.0;40.0;1;0.0;36.775348;-3.920444
63248;Andalucía;house;independent;168000.0;40.0;1;0.0;37.4690426;-5.6445933
63390;Andalucía;house;independent;18412.0;41.0;1;3.0;36.13269;-5.4579617
63391;Andalucía;house;independent;21000.0;41.0;1;3.0;37.7247357;-3.9664431
63503;Andalucía;house;independent;18412.0;41.0;1;2.0;36.13069;-5.4564617
64899;Andalucía;house;independent;31700.0;45.0;1;2.0;37.7621772;-3.9425687
64900;Andalucía;house;independent;31700.0;45.0;1;2.0;37.7615772;-3.9425687
64901;Andalucía;house;independent;99000.0;45.0;1;2.0;36.15664;-5.45357
64955;Andalucía;house;independent;156500.0;45.0;1;0.0;36.6530438;-4.5877044
66004;Andalucía;house;independent;40300.0;46.0;1;2.0;37.7835442;-3.6119641
66005;Andalucía;house;independent;19800.0;46.0;1;2.0;36.1293367;-5.4568431
66379;Andalucía;house;independent;15000.0;47.0;1;2.0;36.8412983;-2.4795536
67201;Andalucía;house;independent;27300.0;49.0;1;3.0;36.1137574;-5.4481784
68129;Andalucía;house;independent;26922.0;50.0;1;0.0;36.1328888;-5.4533622
68808;Andalucía;house;independent;150000.0;50.0;1;0.0;36.2670257;-5.9998275
69082;Andalucía;house;independent;93069.0;50.0;1;0.0;36.4459099;-6.1241823
69254;Andalucía;house;independent;122000.0;50.0;1;0.0;37.434294;-5.9031135
69305;Andalucía;house;independent;95000.0;50.0;1;0.0;36.7285112;-4.381815
