index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32638;Andalucía;land;Vacio;285776.0;0.0;0;0.0;37.2599427;-6.5177496
32639;Andalucía;land;Vacio;89209.0;0.0;0;0.0;36.6267563;-6.3485098
32668;Andalucía;land;Vacio;120000.0;0.0;0;0.0;37.391346;-3.5292018
32669;Andalucía;land;Vacio;49000.0;0.0;0;0.0;36.7445402;-3.519541
32673;Andalucía;land;Vacio;3000000.0;0.0;0;0.0;36.5185505;-4.9023199
32674;Andalucía;land;Vacio;2000000.0;0.0;0;0.0;36.2387568;-5.3290243
40513;Andalucía;land;Vacio;1950000.0;0.0;0;0.0;36.7475674;-4.0862381
40514;Andalucía;land;Vacio;1950000.0;0.0;0;0.0;36.7481747;-4.0866197
40557;Andalucía;land;Vacio;495000.0;0.0;0;0.0;37.3885832;-5.9794912
40563;Andalucía;land;Vacio;2500000.0;0.0;0;0.0;37.1563451;-3.6094995
40570;Andalucía;land;Vacio;125000.0;0.0;0;0.0;37.3486676;-3.2917773
40571;Andalucía;land;Vacio;65000.0;0.0;0;0.0;37.06201;-3.7595
40572;Andalucía;land;Vacio;60000.0;0.0;0;0.0;37.06341;-3.7635
40573;Andalucía;land;Vacio;60000.0;0.0;0;0.0;37.06131;-3.7595
40574;Andalucía;land;Vacio;110000.0;0.0;0;0.0;37.06371;-3.7635
40582;Andalucía;land;Vacio;125000.0;0.0;0;0.0;37.2249;-3.68872
40591;Andalucía;land;Vacio;100000.0;0.0;0;0.0;37.29547;-2.21793
41490;Andalucía;land;Vacio;63000.0;0.0;0;0.0;37.1359015;-2.7845592
41491;Andalucía;land;Vacio;5000.0;0.0;0;0.0;37.1338726;-2.7960332
41492;Andalucía;land;Vacio;8000.0;0.0;0;0.0;37.1338726;-2.7960332
41493;Andalucía;land;Vacio;400000.0;0.0;0;0.0;37.1438607;-2.7750705
41494;Andalucía;land;Vacio;45000.0;0.0;0;0.0;37.1496262;-2.8151305
41495;Andalucía;land;Vacio;24000.0;0.0;0;0.0;37.1423897;-2.7791992
41503;Andalucía;land;Vacio;2138400.0;0.0;0;0.0;36.5294142;-4.9276359
44120;Andalucía;land;Vacio;299999.0;0.0;0;0.0;36.6597267;-4.5001333
44127;Andalucía;land;Vacio;900000.0;0.0;0;0.0;38.1033071;-3.7649719
44168;Andalucía;land;Vacio;63000.0;0.0;0;0.0;37.706963;-5.1080839
44169;Andalucía;land;Vacio;108000.0;0.0;0;0.0;37.7023134;-5.278526
