index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
194;Andalucía;office;Vacio;57800.0;18.0;0;3.0;36.4193275;-6.1515427
209;Andalucía;office;Vacio;19500.0;19.0;0;2.0;36.722957;-4.4361799
237;Andalucía;office;Vacio;48000.0;20.0;0;0.0;36.50994;-4.88635
333;Andalucía;office;Vacio;52300.0;22.0;0;2.0;37.3837936;-5.9733603
394;Andalucía;office;Vacio;52500.0;23.0;0;7.0;37.3855874;-5.9727015
469;Andalucía;office;Vacio;38205.0;25.0;0;8.0;36.1313059;-5.4481567
596;Andalucía;office;Vacio;110000.0;26.0;0;2.0;37.3887078;-5.9846917
699;Andalucía;office;Vacio;25900.0;28.0;0;0.0;37.3545596;-6.1402019
766;Andalucía;office;Vacio;25400.0;29.0;0;0.0;37.3545596;-6.1402019
783;Andalucía;office;Vacio;32000.0;29.0;0;3.0;36.78248;-4.11095
814;Andalucía;office;Vacio;57750.0;30.0;0;3.0;36.7108474;-4.4265786
818;Andalucía;office;Vacio;26300.0;30.0;0;0.0;37.3545596;-6.1402019
1056;Andalucía;office;Vacio;55000.0;30.0;0;5.0;36.7210908;-4.4094161
1086;Andalucía;office;Vacio;36100.0;30.0;0;2.0;37.1742143;-3.6070595
1138;Andalucía;office;Vacio;30900.0;31.0;0;3.0;37.4046283;-5.9449783
1166;Andalucía;office;Vacio;77400.0;31.0;0;12.0;37.4258865;-5.975317
1340;Andalucía;office;Vacio;21100.0;33.0;0;3.0;37.40641;-5.9557368
1358;Andalucía;office;Vacio;75000.0;33.0;0;7.0;37.8898367;-4.7794962
1465;Andalucía;office;Vacio;59500.0;34.0;0;3.0;36.741174;-3.5187442
1498;Andalucía;office;Vacio;24000.0;35.0;0;0.0;36.7176465;-4.4215158
1552;Andalucía;office;Vacio;90000.0;35.0;0;5.0;36.8386228;-2.4618689
1634;Andalucía;office;Vacio;119000.0;35.0;0;2.0;36.7369157;-4.1002191
1730;Andalucía;office;Vacio;95000.0;35.0;0;3.0;37.34146;-5.93448
1788;Andalucía;office;Vacio;42800.0;35.0;0;3.0;37.441299;-5.9886456
1789;Andalucía;office;Vacio;36900.0;35.0;0;2.0;36.752711;-5.811029
1860;Andalucía;office;Vacio;55600.0;36.0;0;4.0;37.3767616;-6.0744124
1893;Andalucía;office;Vacio;55600.0;36.0;0;3.0;37.3774099;-6.0780751
1894;Andalucía;office;Vacio;18500.0;36.0;0;3.0;36.6428;-4.68554
2129;Andalucía;office;Vacio;30100.0;38.0;0;3.0;37.3836646;-5.919075
2199;Andalucía;office;Vacio;100000.0;38.0;0;8.0;36.722134;-4.4200167
2243;Andalucía;office;Vacio;50700.0;39.0;0;3.0;37.3872955;-6.0614824
2310;Andalucía;office;Vacio;83000.0;40.0;0;2.0;36.5104252;-4.8979298
