index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
3772;Aragón;countryHouse;Vacio;66000.0;47.0;0;0.0;42.6162106;-0.3228956
69363;Aragón;countryHouse;Vacio;33000.0;50.0;1;0.0;41.38327;-0.4439997
78814;Aragón;countryHouse;Vacio;96000.0;70.0;1;0.0;42.5689143;-0.5483648
158237;Aragón;countryHouse;Vacio;205000.0;115.0;2;0.0;42.4983256;-0.1199388
302196;Aragón;countryHouse;Vacio;59000.0;270.0;3;0.0;42.5713714;-0.5458035
302523;Aragón;countryHouse;Vacio;320000.0;280.0;3;0.0;40.3179695;-0.8089944
315183;Aragón;countryHouse;Vacio;173400.0;105.0;4;0.0;42.1393551;0.3089281
351287;Aragón;countryHouse;Vacio;195000.0;200.0;4;2.0;42.23689;-0.42696
372463;Aragón;countryHouse;Vacio;275000.0;600.0;4;0.0;41.9388329;-0.3699924
377871;Aragón;countryHouse;Vacio;150000.0;180.0;5;0.0;41.659465;-0.8768159
386574;Aragón;countryHouse;Vacio;190000.0;300.0;5;0.0;40.4789873;-0.3187691
386666;Aragón;countryHouse;Vacio;180000.0;300.0;5;0.0;40.6124526;-1.300848
390663;Aragón;countryHouse;Vacio;650000.0;390.0;5;0.0;40.9902206;0.2712424
402816;Aragón;countryHouse;Vacio;300000.0;750.0;6;2.0;42.1328004;0.3774701
404895;Aragón;countryHouse;Vacio;675000.0;450.0;7;0.0;41.3367067;-1.2258207
407122;Aragón;countryHouse;Vacio;250000.0;606.0;8;0.0;40.1187779;-0.7739659
408249;Aragón;countryHouse;Vacio;375000.0;1098.0;9;0.0;40.3663672;-0.7160062
408407;Aragón;countryHouse;Vacio;1300000.0;3539.0;9;0.0;41.8740961;-0.7755594
