index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32479;Aragón;garage;Vacio;12000.0;0.0;0;0.0;42.5698999;-0.5555714
32480;Aragón;garage;Vacio;15000.0;0.0;0;0.0;42.7494374;-0.5155597
32481;Aragón;garage;Vacio;35000.0;0.0;0;0.0;42.5723343;-0.5393888
32482;Aragón;garage;Vacio;1500.0;0.0;0;0.0;42.569881;-0.552865
32483;Aragón;garage;Vacio;7500.0;0.0;0;0.0;42.569081;-0.552865
32484;Aragón;garage;Vacio;9000.0;0.0;0;0.0;42.568281;-0.551565
32485;Aragón;garage;Vacio;30000.0;0.0;0;0.0;42.5702605;-0.5556256
32490;Aragón;garage;Vacio;20420.0;0.0;0;0.0;42.5735042;-0.5485854
32491;Aragón;garage;Vacio;18000.0;0.0;0;2.0;42.5664033;-0.5554939
32492;Aragón;garage;Vacio;8420.0;0.0;0;2.0;42.5348478;-0.6246616
32517;Aragón;garage;Vacio;27000.0;0.0;0;2.0;41.6632865;-0.8668467
32518;Aragón;garage;Vacio;18000.0;0.0;0;1.0;41.6494421;-0.8952851
32535;Aragón;garage;Vacio;12595.0;0.0;0;2.0;41.6308119;-0.9088998
32536;Aragón;garage;Vacio;12595.0;0.0;0;2.0;41.6275119;-0.9117998
32537;Aragón;garage;Vacio;13718.0;0.0;0;2.0;41.6275119;-0.9118998
32538;Aragón;garage;Vacio;36630.0;0.0;0;0.0;41.651946;-0.885064
32539;Aragón;garage;Vacio;38630.0;0.0;0;2.0;41.6483549;-0.890901
32593;Aragón;garage;Vacio;28000.0;0.0;0;0.0;41.6519698;-0.8832995
32603;Aragón;garage;Vacio;18000.0;0.0;0;0.0;41.5926185;-0.9331876
32604;Aragón;garage;Vacio;7000.0;0.0;0;0.0;41.8615014;-0.7898645
32605;Aragón;garage;Vacio;9000.0;0.0;0;0.0;41.624187;-0.9320919
32606;Aragón;garage;Vacio;8000.0;0.0;0;0.0;41.6707599;-0.8374137
32607;Aragón;garage;Vacio;10000.0;0.0;0;0.0;42.1331561;-0.4046609
32831;Aragón;garage;Vacio;2000.0;0.0;0;0.0;41.9057808;-1.7262357
32939;Aragón;garage;Vacio;18000.0;0.0;0;0.0;41.6394307;-0.9326678
32940;Aragón;garage;Vacio;18000.0;0.0;0;0.0;41.6415307;-0.9342678
32973;Aragón;garage;Vacio;10000.0;0.0;0;0.0;41.7137274;-1.0245536
33095;Aragón;garage;Vacio;14000.0;0.0;0;0.0;41.6394307;-0.9321678
33096;Aragón;garage;Vacio;14000.0;0.0;0;0.0;41.6404307;-0.9342678
33137;Aragón;garage;Vacio;18000.0;0.0;0;0.0;41.6411307;-0.9342678
33202;Aragón;garage;Vacio;14000.0;0.0;0;0.0;41.6398307;-0.9302678
33231;Aragón;garage;Vacio;14000.0;0.0;0;0.0;41.6434307;-0.9327678
33236;Aragón;garage;Vacio;14000.0;0.0;0;0.0;41.6404307;-0.9342678
33244;Aragón;garage;Vacio;5000.0;0.0;0;0.0;41.5042487;-1.400413
33247;Aragón;garage;Vacio;6000.0;0.0;0;0.0;41.50575;-1.40093
33267;Aragón;garage;Vacio;18800.0;0.0;0;0.0;41.6638987;-0.8968385
33688;Aragón;garage;Vacio;9100.0;0.0;0;0.0;42.5684005;-0.559475
33689;Aragón;garage;Vacio;8550.0;0.0;0;0.0;42.5657005;-0.563475
33690;Aragón;garage;Vacio;9550.0;0.0;0;0.0;42.5651005;-0.560775
