index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
24637;Canarias;countryHouse;Vacio;375000.0;300.0;0;0.0;28.608399;-13.9306029
61642;Canarias;countryHouse;Vacio;47500.0;35.0;1;0.0;28.77065;-17.98626
63803;Canarias;countryHouse;Vacio;40000.0;42.0;1;0.0;28.0474481;-15.4897983
65714;Canarias;countryHouse;Vacio;60000.0;45.0;1;0.0;27.9936222;-15.5070844
81540;Canarias;countryHouse;Vacio;73000.0;90.0;1;0.0;28.1518289;-16.7261696
81935;Canarias;countryHouse;Vacio;110000.0;100.0;1;0.0;28.1417414;-16.5203192
82391;Canarias;countryHouse;Vacio;126000.0;120.0;1;0.0;27.9881912;-15.4342201
82504;Canarias;countryHouse;Vacio;130000.0;130.0;1;0.0;27.9880185;-15.5007792
83032;Canarias;countryHouse;Vacio;235000.0;800.0;1;0.0;27.8804027;-15.4312521
98020;Canarias;countryHouse;Vacio;71000.0;62.0;2;0.0;29.1454063;-13.4466832
107024;Canarias;countryHouse;Vacio;117000.0;68.0;2;0.0;28.109687;-15.5277106
108412;Canarias;countryHouse;Vacio;135000.0;69.0;2;0.0;28.2981625;-16.8146221
113979;Canarias;countryHouse;Vacio;114000.0;70.0;2;0.0;27.9918228;-15.5169758
123482;Canarias;countryHouse;Vacio;75000.0;75.0;2;0.0;28.0959886;-15.4194943
127220;Canarias;countryHouse;Vacio;129990.0;78.0;2;0.0;28.0287192;-15.4795618
129409;Canarias;countryHouse;Vacio;220000.0;80.0;2;0.0;28.608399;-13.9287029
138184;Canarias;countryHouse;Vacio;130000.0;85.0;2;0.0;28.177756;-16.4794325
138558;Canarias;countryHouse;Vacio;83500.0;85.0;2;0.0;28.13975;-15.63484
139941;Canarias;countryHouse;Vacio;25000.0;85.0;2;0.0;28.1095656;-15.4928459
142669;Canarias;countryHouse;Vacio;131000.0;88.0;2;0.0;28.4422806;-16.3234879
147734;Canarias;countryHouse;Vacio;160000.0;92.0;2;0.0;28.4700431;-16.3907366
151411;Canarias;countryHouse;Vacio;54900.0;98.0;2;0.0;28.098941;-15.4744417
154258;Canarias;countryHouse;Vacio;180000.0;102.0;2;0.0;28.5200454;-13.903057
156850;Canarias;countryHouse;Vacio;340000.0;110.0;2;0.0;28.0743031;-15.618484
159412;Canarias;countryHouse;Vacio;200000.0;120.0;2;0.0;28.117999;-15.53346
159873;Canarias;countryHouse;Vacio;170272.0;120.0;2;0.0;28.0782271;-16.7225557
160010;Canarias;countryHouse;Vacio;85000.0;120.0;2;0.0;28.0584245;-15.4526869
161471;Canarias;countryHouse;Vacio;135000.0;130.0;2;0.0;28.4751154;-16.4012184
162635;Canarias;countryHouse;Vacio;106500.0;140.0;2;2.0;27.8876036;-15.565076
162857;Canarias;countryHouse;Vacio;130000.0;143.0;2;2.0;28.0959701;-15.5323537
162923;Canarias;countryHouse;Vacio;84000.0;144.0;2;0.0;28.3913534;-16.5238744
163545;Canarias;countryHouse;Vacio;99900.0;150.0;2;0.0;28.1378454;-15.5885949
164537;Canarias;countryHouse;Vacio;150000.0;175.0;2;0.0;28.1116301;-15.581619
164826;Canarias;countryHouse;Vacio;187976.0;185.0;2;2.0;28.1055211;-15.5607776
164850;Canarias;countryHouse;Vacio;189630.0;186.0;2;0.0;28.1367494;-15.631913
165395;Canarias;countryHouse;Vacio;315000.0;220.0;2;0.0;28.3509366;-16.4142323
165956;Canarias;countryHouse;Vacio;66000.0;330.0;2;2.0;28.02345;-15.40956
166115;Canarias;countryHouse;Vacio;380000.0;800.0;2;0.0;28.1256946;-16.5776648
181444;Canarias;countryHouse;Vacio;108000.0;75.0;3;0.0;28.0096802;-15.5322312
183703;Canarias;countryHouse;Vacio;86000.0;75.0;3;0.0;28.1096904;-15.4242189
200528;Canarias;countryHouse;Vacio;30000.0;85.0;3;0.0;28.0467766;-15.4873165
211497;Canarias;countryHouse;Vacio;63000.0;90.0;3;0.0;28.124373;-15.4808796
212248;Canarias;countryHouse;Vacio;75000.0;90.0;3;0.0;27.9938163;-15.3869309
225049;Canarias;countryHouse;Vacio;200000.0;95.0;3;0.0;28.4690419;-16.2619869
230454;Canarias;countryHouse;Vacio;70000.0;99.0;3;0.0;28.0960136;-15.4743306
233726;Canarias;countryHouse;Vacio;80000.0;100.0;3;0.0;28.5782601;-17.7837077
236824;Canarias;countryHouse;Vacio;189000.0;100.0;3;4.0;27.7608444;-18.0019605
240371;Canarias;countryHouse;Vacio;99000.0;103.0;3;0.0;28.0333618;-15.5070115
244655;Canarias;countryHouse;Vacio;189000.0;105.0;3;0.0;28.0555784;-15.6036082
255189;Canarias;countryHouse;Vacio;190700.0;112.0;3;0.0;28.3270171;-14.0502884
255842;Canarias;countryHouse;Vacio;110000.0;113.0;3;0.0;27.9884963;-15.4349807
256121;Canarias;countryHouse;Vacio;116000.0;113.0;3;0.0;28.1189881;-15.4358115
257105;Canarias;countryHouse;Vacio;255000.0;114.0;3;0.0;28.1195739;-15.4348153
263999;Canarias;countryHouse;Vacio;190000.0;120.0;3;2.0;28.0088487;-15.5360258
266771;Canarias;countryHouse;Vacio;41700.0;121.0;3;2.0;28.314299;-16.770341
269435;Canarias;countryHouse;Vacio;147000.0;125.0;3;0.0;28.1240604;-16.7334211
269718;Canarias;countryHouse;Vacio;200000.0;125.0;3;0.0;28.4818908;-16.3973483
271875;Canarias;countryHouse;Vacio;147000.0;130.0;3;0.0;27.9249459;-15.5730295
272741;Canarias;countryHouse;Vacio;146800.0;130.0;3;0.0;28.609699;-13.9268029
279346;Canarias;countryHouse;Vacio;150000.0;140.0;3;0.0;28.1525203;-15.4271571
281764;Canarias;countryHouse;Vacio;250000.0;148.0;3;0.0;28.1105705;-15.5618273
282795;Canarias;countryHouse;Vacio;105000.0;150.0;3;0.0;27.9892697;-15.5666474
283319;Canarias;countryHouse;Vacio;80000.0;150.0;3;0.0;27.9892518;-15.4193023
285443;Canarias;countryHouse;Vacio;190000.0;156.0;3;2.0;28.4881323;-16.3222171
287919;Canarias;countryHouse;Vacio;120000.0;164.0;3;0.0;28.0933234;-15.4210644
