index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
24037;Canarias;countryHouse;country house;140000.0;274.0;0;0.0;29.1445119;-13.4973965
60755;Canarias;countryHouse;country house;60000.0;14.0;1;0.0;28.209111;-16.780133
63069;Canarias;countryHouse;country house;515000.0;40.0;1;0.0;28.1106624;-16.5496986
63070;Canarias;countryHouse;country house;120000.0;40.0;1;0.0;28.177356;-16.4814325
68891;Canarias;countryHouse;country house;65000.0;50.0;1;0.0;28.1204471;-16.5579889
70979;Canarias;countryHouse;country house;170000.0;54.0;1;0.0;28.0105705;-15.5325574
76087;Canarias;countryHouse;country house;160000.0;62.0;1;0.0;29.1455119;-13.4956965
76811;Canarias;countryHouse;country house;50000.0;64.0;1;0.0;28.2393025;-16.4420989
79068;Canarias;countryHouse;country house;90000.0;70.0;1;0.0;28.1239699;-16.5788911
80699;Canarias;countryHouse;country house;126000.0;80.0;1;0.0;28.0105705;-15.5325574
80805;Canarias;countryHouse;country house;315000.0;80.0;1;0.0;28.203667;-16.827956
80806;Canarias;countryHouse;country house;135000.0;80.0;1;0.0;28.1199823;-16.5789094
81281;Canarias;countryHouse;country house;133000.0;85.0;1;0.0;28.9169303;-13.7729855
81411;Canarias;countryHouse;country house;140000.0;88.0;1;0.0;28.1539289;-16.7261696
82983;Canarias;countryHouse;country house;90000.0;432.0;1;0.0;27.9108809;-15.4421951
132659;Canarias;countryHouse;country house;450000.0;80.0;2;0.0;28.4817486;-16.3989855
133198;Canarias;countryHouse;country house;420000.0;80.0;2;0.0;28.1201823;-16.5769094
153324;Canarias;countryHouse;country house;180000.0;100.0;2;0.0;28.202267;-16.826056
154857;Canarias;countryHouse;country house;200000.0;104.0;2;0.0;28.1121668;-16.560328
157908;Canarias;countryHouse;country house;180000.0;113.0;2;0.0;28.0373851;-15.4294371
158065;Canarias;countryHouse;country house;179095.0;114.0;2;0.0;27.9697851;-15.7776516
159868;Canarias;countryHouse;country house;190000.0;120.0;2;0.0;27.9355625;-15.5771279
161315;Canarias;countryHouse;country house;185000.0;130.0;2;0.0;28.0950564;-16.6361508
165103;Canarias;countryHouse;country house;315000.0;200.0;2;0.0;28.3407188;-16.4151178
209499;Canarias;countryHouse;country house;525000.0;90.0;3;0.0;28.2099473;-16.7790034
225689;Canarias;countryHouse;country house;73000.0;96.0;3;0.0;28.4214521;-14.013934
232851;Canarias;countryHouse;country house;190260.0;100.0;3;0.0;28.0600542;-15.5455121
235751;Canarias;countryHouse;country house;110000.0;100.0;3;0.0;28.1499896;-16.7364409
243425;Canarias;countryHouse;country house;160000.0;105.0;3;3.0;28.4186129;-13.8718031
247013;Canarias;countryHouse;country house;124200.0;107.0;3;2.0;28.4549593;-16.3557938
290887;Canarias;countryHouse;country house;195000.0;178.0;3;0.0;28.3586971;-16.7750777
295802;Canarias;countryHouse;country house;294000.0;200.0;3;0.0;28.099522;-16.682556
296835;Canarias;countryHouse;country house;115000.0;210.0;3;0.0;27.9889785;-15.5223788
298337;Canarias;countryHouse;country house;184000.0;220.0;3;0.0;28.1508454;-15.6326558
299385;Canarias;countryHouse;country house;100000.0;233.0;3;0.0;28.3488911;-14.106619
300789;Canarias;countryHouse;country house;349000.0;250.0;3;0.0;28.2119473;-16.7799034
301225;Canarias;countryHouse;country house;375000.0;250.0;3;0.0;28.1201823;-16.5769094
305134;Canarias;countryHouse;country house;560000.0;400.0;3;0.0;27.9062134;-15.4462629
305609;Canarias;countryHouse;country house;850000.0;500.0;3;0.0;28.9231363;-13.6734934
314659;Canarias;countryHouse;country house;99630.0;103.0;4;0.0;28.0776239;-15.5687486
328587;Canarias;countryHouse;country house;350000.0;130.0;4;0.0;28.1517139;-16.7274186
347660;Canarias;countryHouse;country house;270000.0;181.0;4;0.0;28.6106769;-13.9247254
354809;Canarias;countryHouse;country house;212300.0;216.0;4;0.0;28.0095888;-15.5343915
355939;Canarias;countryHouse;country house;299000.0;220.0;4;0.0;28.0103777;-15.4330669
360318;Canarias;countryHouse;country house;165000.0;250.0;4;0.0;28.1491438;-15.6342541
364220;Canarias;countryHouse;country house;580000.0;285.0;4;0.0;28.0981755;-16.6452699
366569;Canarias;countryHouse;country house;895000.0;311.0;4;0.0;28.036088;-15.4776362
366849;Canarias;countryHouse;country house;1200000.0;320.0;4;0.0;28.366688;-16.566498
368284;Canarias;countryHouse;country house;980000.0;350.0;4;0.0;28.367788;-16.568498
371056;Canarias;countryHouse;country house;599000.0;450.0;4;0.0;28.0941495;-16.6784438
392665;Canarias;countryHouse;country house;600000.0;460.0;5;0.0;28.1781929;-16.4972414
394868;Canarias;countryHouse;country house;495000.0;700.0;5;0.0;28.9234363;-13.6705934
397865;Canarias;countryHouse;country house;390000.0;268.0;6;0.0;28.1877417;-17.1965648
404137;Canarias;countryHouse;country house;595000.0;300.0;7;0.0;28.0046795;-15.5490695
408160;Canarias;countryHouse;country house;700000.0;878.0;9;0.0;28.3910821;-16.5235448
408640;Canarias;countryHouse;country house;9800000.0;1200.0;10;0.0;28.500758;-16.3232361
