index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
10139;Canarias;countryHouse;village house;48700.0;85.0;0;0.0;28.0906245;-17.113874
19374;Canarias;countryHouse;village house;35200.0;175.0;0;0.0;28.0191947;-15.5193992
87707;Canarias;countryHouse;village house;100000.0;54.0;2;0.0;28.6870911;-14.0101644
95247;Canarias;countryHouse;village house;60000.0;60.0;2;0.0;28.1202699;-16.5778911
132311;Canarias;countryHouse;village house;126000.0;80.0;2;0.0;28.4708061;-16.2896149
283980;Canarias;countryHouse;village house;159000.0;150.0;3;0.0;27.8862236;-15.5630105
293332;Canarias;countryHouse;village house;68000.0;188.0;3;0.0;28.059298;-15.5502405
339050;Canarias;countryHouse;village house;70100.0;151.0;4;0.0;28.9720823;-13.5505872
351229;Canarias;countryHouse;village house;265000.0;200.0;4;0.0;28.9551537;-13.7677386
365641;Canarias;countryHouse;village house;185000.0;300.0;4;0.0;28.1198054;-15.5245068
367655;Canarias;countryHouse;village house;75000.0;331.0;4;0.0;28.381671;-16.527353
377505;Canarias;countryHouse;village house;150000.0;179.0;5;0.0;28.3375409;-16.4216754
