index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
1778;Canarias;flat;Vacio;48800.0;35.0;0;3.0;28.4068526;-16.5401425
3285;Canarias;flat;Vacio;42500.0;44.0;0;4.0;28.097292;-16.6198052
3951;Canarias;flat;Vacio;89700.0;48.0;0;4.0;28.3525933;-14.1090139
5873;Canarias;flat;Vacio;199500.0;60.0;0;6.0;28.2289708;-16.8380176
60812;Canarias;flat;Vacio;65000.0;24.0;1;3.0;27.78619;-15.71757
60852;Canarias;flat;Vacio;83000.0;25.0;1;8.0;28.1399999;-15.4347714
60870;Canarias;flat;Vacio;66420.0;26.0;1;10.0;27.7574261;-15.5852214
60886;Canarias;flat;Vacio;31500.0;27.0;1;5.0;28.4022266;-16.3337579
60887;Canarias;flat;Vacio;45000.0;27.0;1;2.0;28198.0;-14.2003
60900;Canarias;flat;Vacio;72000.0;28.0;1;0.0;28.1409265;-15.4326706
60919;Canarias;flat;Vacio;31500.0;28.0;1;0.0;28.4040284;-16.3297829
60929;Canarias;flat;Vacio;56420.0;28.0;1;4.0;28.1376539;-15.4329947
60932;Canarias;flat;Vacio;78000.0;28.0;1;0.0;28.1378602;-15.4352181
60933;Canarias;flat;Vacio;120000.0;28.0;1;3.0;28.1363505;-15.4337597
60955;Canarias;flat;Vacio;60000.0;29.0;1;2.0;28.7223616;-13.8623415
60956;Canarias;flat;Vacio;60000.0;29.0;1;0.0;28.7223616;-13.8633415
60962;Canarias;flat;Vacio;114000.0;29.0;1;4.0;27.7916937;-15.7176312
61013;Canarias;flat;Vacio;67807.0;30.0;1;0.0;28.9887556;-13.5023329
61046;Canarias;flat;Vacio;89000.0;30.0;1;8.0;28.1435461;-15.430703
61066;Canarias;flat;Vacio;111420.0;30.0;1;5.0;28.1366777;-15.4365707
61081;Canarias;flat;Vacio;74000.0;30.0;1;4.0;28.1325234;-15.4396377
61136;Canarias;flat;Vacio;56000.0;31.0;1;0.0;28.0066365;-15.3795223
61158;Canarias;flat;Vacio;38000.0;31.0;1;10.0;28.1319436;-15.4309999
61188;Canarias;flat;Vacio;75000.0;32.0;1;0.0;27.79727;-15.69656
61193;Canarias;flat;Vacio;67500.0;32.0;1;2.0;28.1134547;-15.4255217
61209;Canarias;flat;Vacio;125000.0;32.0;1;3.0;28.4172274;-16.556286
61220;Canarias;flat;Vacio;114000.0;32.0;1;4.0;28.1032829;-15.414325
61235;Canarias;flat;Vacio;29000.0;32.0;1;0.0;28.42545;-14.01293
61238;Canarias;flat;Vacio;86000.0;32.0;1;3.0;28.140125;-15.4354393
61297;Canarias;flat;Vacio;66500.0;33.0;1;4.0;28.1120547;-15.4235217
61301;Canarias;flat;Vacio;122010.0;33.0;1;3.0;28.1412843;-15.4343758
61302;Canarias;flat;Vacio;81000.0;33.0;1;4.0;28.1427471;-15.4322482
61336;Canarias;flat;Vacio;80000.0;33.0;1;4.0;28.1022824;-15.4165246
61353;Canarias;flat;Vacio;28350.0;34.0;1;3.0;28.0743294;-16.559869
61362;Canarias;flat;Vacio;85000.0;34.0;1;0.0;27.8837;-15.72398
61386;Canarias;flat;Vacio;47000.0;34.0;1;6.0;27.7629261;-15.5792157
61390;Canarias;flat;Vacio;31000.0;34.0;1;0.0;28.4138058;-13.8590576
61395;Canarias;flat;Vacio;107000.0;34.0;1;0.0;28.1362999;-15.4380714
61420;Canarias;flat;Vacio;86000.0;34.0;1;4.0;27.7766658;-15.5318524
61530;Canarias;flat;Vacio;59850.0;35.0;1;4.0;28.9223998;-13.6786367
