index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
63443;Canarias;flat;penthouse;63000.0;41.0;1;8.0;28.41515;-16.53689
63824;Canarias;flat;penthouse;157500.0;42.0;1;3.0;27.750881;-15.6727601
65125;Canarias;flat;penthouse;62000.0;45.0;1;4.0;28.0007368;-15.4269346
65348;Canarias;flat;penthouse;84950.0;45.0;1;3.0;28.9550452;-13.6512272
66036;Canarias;flat;penthouse;59000.0;46.0;1;6.0;27.7894229;-15.7152492
66882;Canarias;flat;penthouse;80000.0;48.0;1;8.0;28.4179877;-16.5498435
66910;Canarias;flat;penthouse;105500.0;48.0;1;3.0;27.761677;-15.6019128
67450;Canarias;flat;penthouse;129900.0;49.0;1;0.0;28.138158;-15.4290838
68464;Canarias;flat;penthouse;30000.0;50.0;1;5.0;28.275451;-16.3843369
68810;Canarias;flat;penthouse;131688.0;50.0;1;0.0;28.1365234;-15.4382377
68918;Canarias;flat;penthouse;53000.0;50.0;1;4.0;28.3873478;-16.5599966
70432;Canarias;flat;penthouse;76500.0;52.0;1;5.0;28.0742119;-16.6702755
70723;Canarias;flat;penthouse;85000.0;53.0;1;4.0;28.9629531;-13.5469342
70783;Canarias;flat;penthouse;59000.0;53.0;1;7.0;28.2386505;-16.8419963
70980;Canarias;flat;penthouse;100000.0;54.0;1;4.0;28.9259162;-13.6673909
71520;Canarias;flat;penthouse;110000.0;55.0;1;4.0;28.9218621;-13.6716023
71767;Canarias;flat;penthouse;119000.0;55.0;1;0.0;28.050322;-16.7147215
71880;Canarias;flat;penthouse;135000.0;55.0;1;4.0;27.8839292;-15.723279
72732;Canarias;flat;penthouse;260000.0;56.0;1;3.0;27.8836973;-15.7239836
72809;Canarias;flat;penthouse;105000.0;56.0;1;3.0;29.1449119;-13.4956965
72868;Canarias;flat;penthouse;137000.0;56.0;1;3.0;27.7576079;-15.5945635
73059;Canarias;flat;penthouse;85300.0;56.0;1;5.0;28.2379239;-16.8404434
74058;Canarias;flat;penthouse;98000.0;59.0;1;6.0;28.4678091;-16.2740016
74342;Canarias;flat;penthouse;138000.0;60.0;1;4.0;28.4047211;-16.5650371
74858;Canarias;flat;penthouse;88000.0;60.0;1;3.0;28.0837098;-16.7272574
75663;Canarias;flat;penthouse;94000.0;60.0;1;6.0;28.4664833;-16.2573019
76539;Canarias;flat;penthouse;75000.0;63.0;1;5.0;28.4627581;-16.3065463
76778;Canarias;flat;penthouse;48900.0;64.0;1;5.0;28.4663579;-16.275372
76840;Canarias;flat;penthouse;180000.0;64.0;1;4.0;28.0524027;-16.7226736
77452;Canarias;flat;penthouse;130000.0;65.0;1;8.0;27.7935726;-15.7008298
77870;Canarias;flat;penthouse;155000.0;66.0;1;5.0;28.4146046;-16.5311813
77872;Canarias;flat;penthouse;140000.0;66.0;1;4.0;28.1000076;-15.4276769
78060;Canarias;flat;penthouse;149000.0;67.0;1;3.0;28.9173581;-13.7052489
78080;Canarias;flat;penthouse;95000.0;67.0;1;5.0;28.4325975;-16.4931455
78821;Canarias;flat;penthouse;200000.0;70.0;1;12.0;28.4181442;-16.5424183
78858;Canarias;flat;penthouse;84950.0;70.0;1;3.0;28.0781478;-16.7281998
78859;Canarias;flat;penthouse;83500.0;70.0;1;4.0;28.0205748;-16.6222244
78968;Canarias;flat;penthouse;136000.0;70.0;1;3.0;28.1031115;-15.7022589
79224;Canarias;flat;penthouse;128562.0;70.0;1;3.0;28.9623663;-13.5606686
79466;Canarias;flat;penthouse;189000.0;72.0;1;7.0;28.415258;-16.5411069
79688;Canarias;flat;penthouse;140000.0;73.0;1;6.0;28.41133;-16.54124
80206;Canarias;flat;penthouse;150000.0;75.0;1;3.0;28.1258414;-15.4465366
80391;Canarias;flat;penthouse;54900.0;77.0;1;5.0;27.8607218;-15.4287539
80678;Canarias;flat;penthouse;65000.0;80.0;1;5.0;27.9925633;-15.3972831
80779;Canarias;flat;penthouse;135000.0;80.0;1;3.0;28.1200507;-16.7775709
80808;Canarias;flat;penthouse;95000.0;80.0;1;5.0;28.0323592;-16.5607448
80822;Canarias;flat;penthouse;100000.0;80.0;1;6.0;28.4660331;-16.2612563
80926;Canarias;flat;penthouse;160000.0;81.0;1;4.0;28.4164123;-16.5311514
80927;Canarias;flat;penthouse;239000.0;81.0;1;5.0;28.41134;-16.53523
81213;Canarias;flat;penthouse;180000.0;85.0;1;9.0;28.0236901;-16.6069881
81404;Canarias;flat;penthouse;95000.0;88.0;1;5.0;28.0158955;-16.649529
81437;Canarias;flat;penthouse;125000.0;89.0;1;6.0;28.4604907;-16.4522143
81466;Canarias;flat;penthouse;129000.0;90.0;1;4.0;28.41592;-16.53325
81505;Canarias;flat;penthouse;150000.0;90.0;1;9.0;28.4151272;-16.535966
81513;Canarias;flat;penthouse;105000.0;90.0;1;0.0;28.1064148;-16.7289654
81600;Canarias;flat;penthouse;238000.0;91.0;1;5.0;28.416899;-16.5517384
81937;Canarias;flat;penthouse;98000.0;100.0;1;5.0;28.1200604;-16.733621
82061;Canarias;flat;penthouse;148000.0;105.0;1;9.0;28.413405;-16.5499786
82172;Canarias;flat;penthouse;257250.0;110.0;1;3.0;28.095487;-16.7396527
82277;Canarias;flat;penthouse;165000.0;114.0;1;6.0;28.4045145;-16.5332011
82343;Canarias;flat;penthouse;165000.0;118.0;1;7.0;28.4153044;-16.5426448
82637;Canarias;flat;penthouse;135000.0;150.0;1;5.0;28.0582969;-14.3162578
82664;Canarias;flat;penthouse;375000.0;155.0;1;7.0;28.2465628;-16.8399511
82766;Canarias;flat;penthouse;310000.0;180.0;1;6.0;28.1023529;-15.4178228
84886;Canarias;flat;penthouse;150000.0;49.0;2;5.0;28.54729;-16.35307
90098;Canarias;flat;penthouse;220000.0;56.0;2;5.0;28.1438491;-15.4317583
91142;Canarias;flat;penthouse;78000.0;58.0;2;4.0;28.0344855;-16.6367118
91270;Canarias;flat;penthouse;97000.0;58.0;2;3.0;28.1012477;-15.7018229
92145;Canarias;flat;penthouse;293000.0;59.0;2;7.0;28.1366503;-15.4374709
96238;Canarias;flat;penthouse;49000.0;60.0;2;0.0;28.1046818;-15.4371984
97001;Canarias;flat;penthouse;129000.0;61.0;2;7.0;28.1261549;-15.4295138
99673;Canarias;flat;penthouse;58858.0;64.0;2;2.0;28.0106428;-15.5372011
99729;Canarias;flat;penthouse;135000.0;64.0;2;4.0;28.0995477;-15.7018229
100162;Canarias;flat;penthouse;84000.0;64.0;2;5.0;27.9901829;-15.3937159
100748;Canarias;flat;penthouse;189950.0;65.0;2;3.0;28.9213768;-13.6635029
102269;Canarias;flat;penthouse;128000.0;65.0;2;4.0;28.0568535;-14.3527902
102819;Canarias;flat;penthouse;154950.0;65.0;2;2.0;28.9239086;-13.6632734
102820;Canarias;flat;penthouse;139950.0;65.0;2;4.0;28.9550452;-13.6515272
104218;Canarias;flat;penthouse;130000.0;65.0;2;4.0;28.1206699;-16.5788911
107817;Canarias;flat;penthouse;67000.0;68.0;2;5.0;27.8427772;-15.4419401
110280;Canarias;flat;penthouse;58000.0;70.0;2;6.0;27.8600511;-15.4336291
113184;Canarias;flat;penthouse;145000.0;70.0;2;6.0;28.4678443;-16.2558454
113193;Canarias;flat;penthouse;90000.0;70.0;2;5.0;28.9648293;-13.5577019
113757;Canarias;flat;penthouse;143000.0;70.0;2;4.0;28.4715805;-16.3000969
115302;Canarias;flat;penthouse;143440.0;71.0;2;6.0;28.00431;-15.41466
115386;Canarias;flat;penthouse;110000.0;71.0;2;2.0;28.4708538;-16.293457
115891;Canarias;flat;penthouse;540000.0;72.0;2;0.0;27.7994145;-15.733078
116087;Canarias;flat;penthouse;210000.0;72.0;2;3.0;28.0634959;-16.7111668
116088;Canarias;flat;penthouse;241000.0;72.0;2;4.0;28.0611959;-16.7114668
116581;Canarias;flat;penthouse;130000.0;72.0;2;3.0;28.4041322;-16.5337924
117142;Canarias;flat;penthouse;74000.0;72.0;2;5.0;27.84193;-15.44767
117706;Canarias;flat;penthouse;265000.0;73.0;2;4.0;28.183934;-16.8178757
118887;Canarias;flat;penthouse;165000.0;74.0;2;6.0;27.9965456;-15.4165419
120091;Canarias;flat;penthouse;94990.0;75.0;2;7.0;28.4843132;-16.418034
121193;Canarias;flat;penthouse;89000.0;75.0;2;5.0;28.1482781;-15.4285071
122111;Canarias;flat;penthouse;115000.0;75.0;2;3.0;27.758956;-15.5711038
122494;Canarias;flat;penthouse;160000.0;75.0;2;3.0;28.1291781;-16.7786252
122931;Canarias;flat;penthouse;84500.0;75.0;2;4.0;28.9628891;-13.5523162
125427;Canarias;flat;penthouse;109900.0;77.0;2;4.0;28.4106696;-16.5531549
125601;Canarias;flat;penthouse;135000.0;77.0;2;8.0;28.4155433;-16.5466944
125713;Canarias;flat;penthouse;115000.0;77.0;2;10.0;28.0559962;-16.7033635
125714;Canarias;flat;penthouse;68000.0;77.0;2;5.0;28.6641411;-17.7861491
126466;Canarias;flat;penthouse;55000.0;78.0;2;7.0;28.3870727;-16.5581505
127499;Canarias;flat;penthouse;90000.0;78.0;2;0.0;27.9963088;-15.4325594
127509;Canarias;flat;penthouse;55000.0;78.0;2;5.0;28.3894114;-16.5595415
128052;Canarias;flat;penthouse;79000.0;79.0;2;5.0;28.1205947;-16.7283979
128933;Canarias;flat;penthouse;314000.0;80.0;2;3.0;27.7605426;-15.5647648
130136;Canarias;flat;penthouse;72000.0;80.0;2;5.0;28.0364276;-15.4177598
132170;Canarias;flat;penthouse;190000.0;80.0;2;0.0;28.1369983;-15.4361793
133919;Canarias;flat;penthouse;256000.0;81.0;2;10.0;28.1352514;-15.4284738
135334;Canarias;flat;penthouse;101000.0;82.0;2;5.0;27.838393;-15.4461999
138255;Canarias;flat;penthouse;137000.0;85.0;2;7.0;28.1187679;-16.7328083
138629;Canarias;flat;penthouse;126000.0;85.0;2;5.0;28.1060172;-16.7270115
139901;Canarias;flat;penthouse;46500.0;85.0;2;5.0;28.1102527;-15.4333685
140131;Canarias;flat;penthouse;273000.0;85.0;2;7.0;28.1387341;-15.4298343
140836;Canarias;flat;penthouse;168000.0;86.0;2;5.0;28.4145914;-16.5324932
142376;Canarias;flat;penthouse;99000.0;88.0;2;6.0;28.4707592;-16.2608501
142477;Canarias;flat;penthouse;185000.0;88.0;2;7.0;28.0518846;-16.7025142
145713;Canarias;flat;penthouse;278790.0;90.0;2;11.0;28.4589643;-16.2564303
145869;Canarias;flat;penthouse;165000.0;90.0;2;4.0;28.13047;-16.77611
148469;Canarias;flat;penthouse;315000.0;93.0;2;3.0;28.0965395;-16.7402967
149731;Canarias;flat;penthouse;69000.0;95.0;2;3.0;28.4632121;-16.3198908
150126;Canarias;flat;penthouse;174293.0;95.0;2;6.0;28.1058621;-15.4208277
150445;Canarias;flat;penthouse;180000.0;96.0;2;4.0;28.4077094;-16.5464555
151037;Canarias;flat;penthouse;320000.0;97.0;2;6.0;28.1435525;-15.4320766
151105;Canarias;flat;penthouse;119420.0;97.0;2;5.0;27.9066184;-15.4068259
151548;Canarias;flat;penthouse;185000.0;98.0;2;7.0;28.2380951;-16.8405508
153327;Canarias;flat;penthouse;220000.0;100.0;2;4.0;28.05371;-16.72507
153412;Canarias;flat;penthouse;96000.0;100.0;2;3.0;27.9172821;-15.4383322
153605;Canarias;flat;penthouse;205000.0;100.0;2;3.0;27.7652033;-15.6845421
153936;Canarias;flat;penthouse;158000.0;101.0;2;3.0;28.0079684;-16.6417361
