index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
22753;Canarias;house;independent;190000.0;238.0;0;0.0;28.0371107;-16.58858
60775;Canarias;house;independent;29000.0;20.0;1;0.0;28.5872;-17.8819138
60854;Canarias;house;independent;64000.0;25.0;1;0.0;28.057498;-15.5476405
61831;Canarias;house;independent;100000.0;36.0;1;2.0;27.7563147;-15.5826604
62666;Canarias;house;independent;49680.0;40.0;1;2.0;28.42515;-14.01253
62858;Canarias;house;independent;55000.0;40.0;1;0.0;28.7655377;-17.7658754
66684;Canarias;house;independent;31000.0;48.0;1;3.0;27.8534589;-15.4518497
67606;Canarias;house;independent;66150.0;50.0;1;3.0;28.8658028;-13.7966185
68039;Canarias;house;independent;66125.0;50.0;1;2.0;28.41374;-13.85387
68471;Canarias;house;independent;99000.0;50.0;1;0.0;27.7997859;-15.7302049
70626;Canarias;house;independent;79000.0;53.0;1;2.0;28.6864;-13.97198
71051;Canarias;house;independent;115994.0;54.0;1;2.0;28.92182;-13.66472
72269;Canarias;house;independent;210000.0;55.0;1;0.0;28.1230663;-16.7257578
74079;Canarias;house;independent;90000.0;59.0;1;2.0;28.42361;-14.02017
76716;Canarias;house;independent;86000.0;64.0;1;2.0;28.4855985;-16.3616198
78497;Canarias;house;independent;82474.0;69.0;1;2.0;28.6953152;-13.8914004
79512;Canarias;house;independent;275000.0;72.0;1;0.0;27.7644811;-15.5806828
80459;Canarias;house;independent;53602.0;78.0;1;2.0;28.37017;-16.76471
80943;Canarias;house;independent;110000.0;81.0;1;0.0;27.8853537;-15.5646158
81478;Canarias;house;independent;250000.0;90.0;1;0.0;28.0256796;-16.7025367
81766;Canarias;house;independent;54000.0;96.0;1;2.0;27.7459771;-18.0967581
81792;Canarias;house;independent;189000.0;97.0;1;0.0;28.4398082;-16.4839264
81819;Canarias;house;independent;121000.0;98.0;1;0.0;28.0743533;-16.6962039
81838;Canarias;house;independent;46544.0;99.0;1;3.0;28.65619;-17.91137
81927;Canarias;house;independent;125000.0;100.0;1;0.0;28.6036414;-17.7735508
82094;Canarias;house;independent;185000.0;106.0;1;0.0;28.1463501;-15.6515167
82414;Canarias;house;independent;79900.0;120.0;1;2.0;28.4243755;-16.4949624
82485;Canarias;house;independent;112000.0;128.0;1;0.0;29.0639594;-13.6728373
