index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
253;Canarias;office;Vacio;40000.0;20.0;0;4.0;28.1163923;-15.4471433
277;Canarias;office;Vacio;10000.0;20.0;0;2.0;28.4663612;-16.2693627
316;Canarias;office;Vacio;40600.0;21.0;0;3.0;28.1165325;-15.4455636
317;Canarias;office;Vacio;41800.0;21.0;0;3.0;28.1139583;-15.4456464
318;Canarias;office;Vacio;40600.0;21.0;0;3.0;28.1149583;-15.4496464
400;Canarias;office;Vacio;18900.0;24.0;0;0.0;28.6062552;-13.835815
403;Canarias;office;Vacio;40000.0;24.0;0;4.0;28.11686;-15.44713
416;Canarias;office;Vacio;40600.0;24.0;0;3.0;28.1137325;-15.4487636
417;Canarias;office;Vacio;41200.0;24.0;0;3.0;28.1163325;-15.4495636
418;Canarias;office;Vacio;47000.0;24.0;0;3.0;28.1176583;-15.4463464
419;Canarias;office;Vacio;47000.0;24.0;0;3.0;28.1137325;-15.4464636
420;Canarias;office;Vacio;49500.0;24.0;0;3.0;28.1146325;-15.4455636
422;Canarias;office;Vacio;40000.0;24.0;0;3.0;28.1148583;-15.4456464
423;Canarias;office;Vacio;40600.0;24.0;0;3.0;28.1176583;-15.4490464
424;Canarias;office;Vacio;40600.0;24.0;0;3.0;28.1166583;-15.4496464
425;Canarias;office;Vacio;41200.0;24.0;0;3.0;28.1136583;-15.4483464
426;Canarias;office;Vacio;47000.0;24.0;0;3.0;28.1158583;-15.4496464
427;Canarias;office;Vacio;50000.0;24.0;0;3.0;28.1139583;-15.4456464
428;Canarias;office;Vacio;40600.0;24.0;0;3.0;28.1155325;-15.4455636
429;Canarias;office;Vacio;40600.0;24.0;0;3.0;28.1137325;-15.4484636
430;Canarias;office;Vacio;41000.0;24.0;0;3.0;28.1170583;-15.4496464
431;Canarias;office;Vacio;41200.0;24.0;0;3.0;28.1176583;-15.4484464
432;Canarias;office;Vacio;41800.0;24.0;0;3.0;28.1136583;-15.4467464
433;Canarias;office;Vacio;45000.0;24.0;0;3.0;28.1177325;-15.4484636
434;Canarias;office;Vacio;47000.0;24.0;0;3.0;28.1171583;-15.4456464
435;Canarias;office;Vacio;47000.0;24.0;0;3.0;28.1144583;-15.4496464
436;Canarias;office;Vacio;48000.0;24.0;0;3.0;28.1177325;-15.4484636
665;Canarias;office;Vacio;50000.0;27.0;0;3.0;28.1136583;-15.4483464
893;Canarias;office;Vacio;48323.0;30.0;0;4.0;28.9596083;-13.5556864
894;Canarias;office;Vacio;48323.0;30.0;0;3.0;28.9621083;-13.5593864
1134;Canarias;office;Vacio;49837.0;31.0;0;4.0;28.9636083;-13.5561864
1288;Canarias;office;Vacio;59800.0;33.0;0;0.0;28.1432234;-15.430708
1434;Canarias;office;Vacio;41000.0;34.0;0;6.0;28.1032476;-15.421191
1697;Canarias;office;Vacio;53900.0;35.0;0;3.0;28.1163923;-15.4471433
1723;Canarias;office;Vacio;50000.0;35.0;0;12.0;28.4676807;-16.2488998
1724;Canarias;office;Vacio;65000.0;35.0;0;3.0;28.464659;-16.2496819
1725;Canarias;office;Vacio;75000.0;35.0;0;3.0;28.0554472;-16.7110262
1891;Canarias;office;Vacio;49546.0;36.0;0;5.0;28.9596083;-13.5591864
1892;Canarias;office;Vacio;56065.0;36.0;0;4.0;28.9596083;-13.5563864
1978;Canarias;office;Vacio;75000.0;36.0;0;3.0;28.1133912;-15.4186023
2088;Canarias;office;Vacio;66700.0;38.0;0;0.0;28.1432234;-15.430708
2201;Canarias;office;Vacio;39000.0;38.0;0;5.0;28.1190207;-15.4220186
2248;Canarias;office;Vacio;60000.0;39.0;0;3.0;28.414371;-16.55082
2424;Canarias;office;Vacio;54184.0;40.0;0;5.0;28.9596083;-13.5580864
2425;Canarias;office;Vacio;43759.0;40.0;0;5.0;28.9636083;-13.5574864
2925;Canarias;office;Vacio;63075.0;42.0;0;0.0;28.1432234;-15.430708
2935;Canarias;office;Vacio;97420.0;42.0;0;2.0;28.0921951;-16.7324373
2990;Canarias;office;Vacio;41000.0;42.0;0;3.0;28.1059069;-15.4182809
2995;Canarias;office;Vacio;65000.0;42.0;0;3.0;28.46763;-16.2486578
3059;Canarias;office;Vacio;76000.0;42.0;0;6.0;28.1033396;-15.4145802
3577;Canarias;office;Vacio;45000.0;45.0;0;3.0;28.1365004;-15.4312014
3635;Canarias;office;Vacio;96000.0;45.0;0;3.0;28469.0;-16.2492872
3636;Canarias;office;Vacio;29000.0;45.0;0;2.0;28.1236335;-16.7699866
3672;Canarias;office;Vacio;70440.0;46.0;0;0.0;28.1432234;-15.430708
3704;Canarias;office;Vacio;40480.0;46.0;0;2.0;27.9107846;-15.4131051
3765;Canarias;office;Vacio;56400.0;47.0;0;0.0;28.0972057;-15.4539044
3771;Canarias;office;Vacio;80000.0;47.0;0;3.0;28.1293547;-15.4410451
3877;Canarias;office;Vacio;37000.0;48.0;0;0.0;28.6062552;-13.835815
3942;Canarias;office;Vacio;93000.0;48.0;0;5.0;28.1069993;-15.4167086
4139;Canarias;office;Vacio;75150.0;50.0;0;0.0;28.1432234;-15.430708
4140;Canarias;office;Vacio;75480.0;50.0;0;0.0;28.1432234;-15.430708
4192;Canarias;office;Vacio;69000.0;50.0;0;5.0;28.46552;-16.2489031
4248;Canarias;office;Vacio;72000.0;50.0;0;4.0;28.9632297;-13.5493634
4250;Canarias;office;Vacio;72000.0;50.0;0;3.0;28.9606297;-13.5518634
4643;Canarias;office;Vacio;37800.0;51.0;0;4.0;28.1428945;-15.6373592
4653;Canarias;office;Vacio;37800.0;51.0;0;3.0;28.1403623;-15.6364097
4698;Canarias;office;Vacio;37800.0;51.0;0;3.0;28.1428945;-15.6373592
4745;Canarias;office;Vacio;180000.0;52.0;0;2.0;28.0890623;-16.737863
4947;Canarias;office;Vacio;135000.0;53.0;0;3.0;28.1169491;-15.4266888
4954;Canarias;office;Vacio;64800.0;54.0;0;0.0;28.0972057;-15.4539044
