index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
68;Canarias;premise;Vacio;7900.0;13.0;0;3.0;28.3702906;-16.7161465
98;Canarias;premise;Vacio;8600.0;14.0;0;2.0;28.0643371;-15.544921
131;Canarias;premise;Vacio;7900.0;15.6;0;2.0;28.3688927;-16.7139339
132;Canarias;premise;Vacio;55000.0;16.0;0;0.0;27.7547359;-15.5739025
206;Canarias;premise;Vacio;11000.0;19.0;0;0.0;27.7615419;-15.5678895
239;Canarias;premise;Vacio;18800.0;20.0;0;2.0;28.1012698;-15.530344
329;Canarias;premise;Vacio;60000.0;21.0;0;1.0;28.4655786;-16.251469
341;Canarias;premise;Vacio;75000.0;22.0;0;2.0;28.116842;-16.7742661
409;Canarias;premise;Vacio;28800.0;24.0;0;3.0;28.0502514;-16.7145099
457;Canarias;premise;Vacio;28800.0;24.0;0;3.0;28.052444;-16.716892
464;Canarias;premise;Vacio;25000.0;25.0;0;0.0;27.7620204;-15.6802805
465;Canarias;premise;Vacio;58000.0;25.0;0;2.0;28.1426884;-15.4328601
476;Canarias;premise;Vacio;22600.0;25.0;0;2.0;28.1012698;-15.530344
508;Canarias;premise;Vacio;23100.0;25.0;0;2.0;28.1101251;-15.4151774
548;Canarias;premise;Vacio;29999.0;25.0;0;2.0;28.1406733;-15.4335484
570;Canarias;premise;Vacio;120000.0;25.0;0;0.0;27.7575558;-15.57913
697;Canarias;premise;Vacio;15000.0;28.0;0;2.0;28.4685009;-16.2529
712;Canarias;premise;Vacio;50783.0;28.0;0;2.0;27.8434075;-15.4442985
713;Canarias;premise;Vacio;58000.0;28.0;0;2.0;27745.0;-18.09752
763;Canarias;premise;Vacio;34000.0;29.0;0;0.0;28.3917828;-16.5255443
813;Canarias;premise;Vacio;22316.0;30.0;0;0.0;28.002979;-15.41442
881;Canarias;premise;Vacio;22316.0;30.0;0;3.0;27.9117573;-15.4112748
976;Canarias;premise;Vacio;28800.0;30.0;0;0.0;28.0509043;-16.7156855
1024;Canarias;premise;Vacio;85000.0;30.0;0;2.0;28.1374956;-15.4312426
1106;Canarias;premise;Vacio;29500.0;30.0;0;2.0;28.3753705;-16.8111307
1124;Canarias;premise;Vacio;14300.0;31.0;0;2.0;28.4450594;-16.3019187
1130;Canarias;premise;Vacio;37890.0;31.0;0;2.0;28.0779559;-16.560219
1132;Canarias;premise;Vacio;126096.0;31.0;0;2.0;28.0554832;-16.6179602
1192;Canarias;premise;Vacio;42240.0;32.0;0;2.0;28.2103402;-14.0316161
1193;Canarias;premise;Vacio;39306.0;32.0;0;2.0;28.1209753;-15.4372596
1194;Canarias;premise;Vacio;149842.0;32.0;0;2.0;28.0899642;-16.7322006
1251;Canarias;premise;Vacio;149842.0;32.0;0;2.0;28.0938769;-16.7333713
1269;Canarias;premise;Vacio;124900.0;32.0;0;2.0;28.4684713;-16.2532491
1273;Canarias;premise;Vacio;36420.0;32.0;0;0.0;27.9244458;-15.5710295
1279;Canarias;premise;Vacio;39000.0;33.0;0;0.0;28.1481906;-15.4291432
1368;Canarias;premise;Vacio;90000.0;33.0;0;3.0;28.0613028;-16.7337184
