index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
6821;Cantabria;flat;Vacio;24000.0;65.0;0;2.0;43.2597369;-4.0194328
12034;Cantabria;flat;Vacio;90000.0;100.0;0;7.0;43.464649;-3.8129726
60752;Cantabria;flat;Vacio;32900.0;13.0;1;2.0;43.4221265;-3.4455975
60823;Cantabria;flat;Vacio;59000.0;25.0;1;2.0;43.4620145;-3.8011414
60868;Cantabria;flat;Vacio;43000.0;26.0;1;3.0;43.4620192;-3.809577
60981;Cantabria;flat;Vacio;96000.0;30.0;1;4.0;43.41348;-3.41128
61044;Cantabria;flat;Vacio;46000.0;30.0;1;2.0;43.4098287;-3.426383
61052;Cantabria;flat;Vacio;38000.0;30.0;1;6.0;43.4612028;-3.8111812
61053;Cantabria;flat;Vacio;43000.0;30.0;1;3.0;43.4493283;-3.8493133
61114;Cantabria;flat;Vacio;67350.0;30.0;1;7.0;43.4673629;-3.8044622
61118;Cantabria;flat;Vacio;129900.0;30.0;1;4.0;43.4617537;-3.8056584
61203;Cantabria;flat;Vacio;75000.0;32.0;1;11.0;43.4252317;-3.4495893
61267;Cantabria;flat;Vacio;89000.0;33.0;1;0.0;43.3715705;-3.2007494
61282;Cantabria;flat;Vacio;99000.0;33.0;1;3.0;43.4136713;-3.4147744
61466;Cantabria;flat;Vacio;80000.0;35.0;1;3.0;43.4276503;-4.0455417
61529;Cantabria;flat;Vacio;47000.0;35.0;1;8.0;43.463902;-3.8146938
61717;Cantabria;flat;Vacio;47000.0;35.0;1;8.0;43.463402;-3.8126938
61732;Cantabria;flat;Vacio;140000.0;35.0;1;4.0;43.4624373;-3.8018099
61793;Cantabria;flat;Vacio;49350.0;36.0;1;3.0;43.4228893;-3.5170884
61856;Cantabria;flat;Vacio;114000.0;36.0;1;3.0;43.4427121;-3.4558393
62086;Cantabria;flat;Vacio;90000.0;38.0;1;3.0;43.3842454;-4.2881567
62170;Cantabria;flat;Vacio;50000.0;38.0;1;2.0;43.4681627;-3.7978533
62301;Cantabria;flat;Vacio;46800.0;39.0;1;3.0;43.3624087;-4.469555
62339;Cantabria;flat;Vacio;85000.0;39.0;1;0.0;43.447253;-3.7677734
62351;Cantabria;flat;Vacio;85000.0;39.0;1;0.0;43.445253;-3.7696734
62544;Cantabria;flat;Vacio;56000.0;40.0;1;4.0;43.4750504;-3.6111257
62604;Cantabria;flat;Vacio;56000.0;40.0;1;4.0;43.4746504;-3.6111257
62655;Cantabria;flat;Vacio;43000.0;40.0;1;5.0;43.4583997;-3.8238719
62669;Cantabria;flat;Vacio;42000.0;40.0;1;2.0;42.9994243;-4.1422321
62685;Cantabria;flat;Vacio;72000.0;40.0;1;2.0;43.4027623;-3.8263043
62750;Cantabria;flat;Vacio;56000.0;40.0;1;4.0;43.4770594;-3.61332
62751;Cantabria;flat;Vacio;36900.0;40.0;1;4.0;43.254449;-3.4631172
62753;Cantabria;flat;Vacio;40000.0;40.0;1;6.0;43.4427286;-3.8586624
62923;Cantabria;flat;Vacio;56000.0;40.0;1;4.0;43.4753504;-3.6151257
62992;Cantabria;flat;Vacio;89000.0;40.0;1;3.0;43.37363;-3.20292
62993;Cantabria;flat;Vacio;89000.0;40.0;1;4.0;43.3716598;-3.199555
62994;Cantabria;flat;Vacio;105000.0;40.0;1;3.0;43.3805625;-3.2170608
63190;Cantabria;flat;Vacio;96000.0;40.0;1;2.0;43.34186;-3.41766
63280;Cantabria;flat;Vacio;89000.0;40.0;1;0.0;43.384504;-3.7349921
63343;Cantabria;flat;Vacio;73000.0;40.0;1;3.0;43.4666292;-3.8032738
63344;Cantabria;flat;Vacio;132000.0;40.0;1;5.0;43.4705912;-3.8125956
63373;Cantabria;flat;Vacio;54700.0;40.8;1;2.0;43.3929;-3.47739
63438;Cantabria;flat;Vacio;99000.0;41.0;1;0.0;43.4254628;-4.0444332
63486;Cantabria;flat;Vacio;47316.0;41.0;1;3.0;43.3935925;-3.8155891
63504;Cantabria;flat;Vacio;72000.0;41.0;1;2.0;43.4234396;-3.4462599
63514;Cantabria;flat;Vacio;99000.0;41.0;1;0.0;43.4274628;-4.0436332
63515;Cantabria;flat;Vacio;97500.0;41.0;1;4.0;43.4677192;-3.8120991
