index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
11939;Cantabria;house;independent;24000.0;100.0;0;0.0;43.2723585;-3.6017994
15354;Cantabria;house;independent;19000.0;130.0;0;0.0;43.184501;-3.5663651
15355;Cantabria;house;independent;19000.0;130.0;0;0.0;43.2317218;-3.7011569
15817;Cantabria;house;independent;36000.0;134.0;0;0.0;43.2723585;-3.6017994
17033;Cantabria;house;independent;24000.0;148.0;0;0.0;43.184501;-3.5663651
17034;Cantabria;house;independent;24000.0;148.0;0;0.0;43.2317218;-3.7011569
19260;Cantabria;house;independent;80000.0;174.0;0;0.0;43.2274556;-3.8114836
19552;Cantabria;house;independent;75000.0;180.0;0;0.0;43.158907;-3.7835008
25101;Cantabria;house;independent;54000.0;314.0;0;0.0;43.184501;-3.5663651
25673;Cantabria;house;independent;39000.0;342.0;0;0.0;43.184501;-3.5663651
26107;Cantabria;house;independent;49900.0;366.0;0;0.0;43.2563701;-3.4765069
26501;Cantabria;house;independent;74000.0;390.0;0;0.0;43.184501;-3.5663651
26521;Cantabria;house;independent;195000.0;391.0;0;0.0;43.3836968;-4.2935557
27740;Cantabria;house;independent;36000.0;497.0;0;0.0;43.1881298;-3.4357717
28960;Cantabria;house;independent;390000.0;648.0;0;0.0;43.420831;-3.8363271
65246;Cantabria;house;independent;103000.0;45.0;1;2.0;43.412525;-3.4374482
81917;Cantabria;house;independent;80000.0;100.0;1;2.0;43.4310856;-3.6411458
82608;Cantabria;house;independent;36000.0;144.0;1;0.0;43.2328385;-3.6998174
82665;Cantabria;house;independent;145000.0;155.0;1;2.0;43.4444632;-3.932995
82668;Cantabria;house;independent;82000.0;156.0;1;2.0;43.31237;-3.85413
82788;Cantabria;house;independent;54000.0;194.0;1;0.0;43.184501;-3.5663651
82862;Cantabria;house;independent;76000.0;250.0;1;0.0;43.184501;-3.5663651
82889;Cantabria;house;independent;39000.0;275.0;1;0.0;43.3521081;-3.4958448
82901;Cantabria;house;independent;71000.0;292.0;1;0.0;43.2723585;-3.6017994
82902;Cantabria;house;independent;27000.0;292.0;1;0.0;43.184501;-3.5663651
82965;Cantabria;house;independent;54000.0;397.0;1;0.0;43.1750189;-3.5641175
82967;Cantabria;house;independent;84000.0;399.0;1;0.0;43.184501;-3.5663651
82996;Cantabria;house;independent;90000.0;500.0;1;0.0;43.0021273;-4.2721482
83094;Cantabria;house;independent;45000.0;28.0;2;2.0;43.3579327;-4.4221036
83704;Cantabria;house;independent;57450.0;42.0;2;2.0;43.4030698;-4.0460542
83714;Cantabria;house;independent;66850.0;42.0;2;0.0;43.3853513;-4.0467825
83742;Cantabria;house;independent;66850.0;42.0;2;2.0;43.3870755;-4.0462729
88483;Cantabria;house;independent;93000.0;55.0;2;0.0;43.3855674;-4.4024465
88980;Cantabria;house;independent;155000.0;55.0;2;2.0;43.3768295;-3.8895786
89899;Cantabria;house;independent;57328.0;56.0;2;2.0;43.1070386;-4.6187878
99906;Cantabria;house;independent;135000.0;64.0;2;2.0;43.3754559;-4.1764193
100581;Cantabria;house;independent;85000.0;65.0;2;0.0;43.184501;-3.5663651
104773;Cantabria;house;independent;141000.0;66.0;2;0.0;43.0207216;-4.0021967
107035;Cantabria;house;independent;135000.0;68.0;2;0.0;43.378583;-4.1820961
