index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
62926;Castilla y León;countryHouse;country house;48000.0;40.0;1;0.0;41.6576462;-3.6837111
74154;Castilla y León;countryHouse;country house;74000.0;59.0;1;2.0;42.4087001;-3.26237
80054;Castilla y León;countryHouse;country house;68000.0;75.0;1;0.0;41.7339314;-3.7711911
159854;Castilla y León;countryHouse;country house;97000.0;120.0;2;0.0;40.5502605;-4.7752783
162600;Castilla y León;countryHouse;country house;79000.0;140.0;2;0.0;41.6714946;-3.6911859
211351;Castilla y León;countryHouse;country house;375000.0;90.0;3;0.0;41.7281009;-4.6869014
305826;Castilla y León;countryHouse;country house;66000.0;600.0;3;0.0;41.6730028;-5.3023694
305987;Castilla y León;countryHouse;country house;158500.0;868.0;3;0.0;42.7975709;-4.1700398
361299;Castilla y León;countryHouse;country house;150000.0;255.0;4;0.0;41.0640028;-5.6406506
364822;Castilla y León;countryHouse;country house;470000.0;295.0;4;0.0;42.8915476;-4.2975389
367182;Castilla y León;countryHouse;country house;199000.0;322.0;4;0.0;42.8324691;-4.33861
390844;Castilla y León;countryHouse;country house;970000.0;400.0;5;0.0;42.0597355;-3.5173001
393642;Castilla y León;countryHouse;country house;2500000.0;518.0;5;0.0;40.6686404;-4.6870258
402772;Castilla y León;countryHouse;country house;950000.0;740.0;6;0.0;42.9773636;-3.618597
403655;Castilla y León;countryHouse;country house;490000.0;205.0;7;0.0;40.1552682;-5.2432496
405176;Castilla y León;countryHouse;country house;1086000.0;500.0;7;0.0;41.0841375;-5.9974104
407508;Castilla y León;countryHouse;country house;3500000.0;1800.0;8;0.0;40.7798333;-4.4119889
407660;Castilla y León;countryHouse;country house;39000.0;310.0;9;0.0;42.5042154;-3.3478329
