index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
8311;Castilla y León;countryHouse;village house;7000.0;74.0;0;0.0;40.558775;-5.2588785
8510;Castilla y León;countryHouse;village house;5500.0;75.0;0;0.0;40.5137181;-5.415136
11902;Castilla y León;countryHouse;village house;37000.0;100.0;0;0.0;41.4568445;-5.6871334
13983;Castilla y León;countryHouse;village house;5000.0;115.0;0;0.0;41.51352;-2.4378099
20743;Castilla y León;countryHouse;village house;40000.0;200.0;0;0.0;43.0678769;-3.5847771
71681;Castilla y León;countryHouse;village house;45000.0;55.0;1;0.0;41.7981608;-3.586019
78720;Castilla y León;countryHouse;village house;20000.0;70.0;1;0.0;41.5743572;-3.6959317
81889;Castilla y León;countryHouse;village house;33000.0;100.0;1;0.0;41.7320961;-3.7681913
82737;Castilla y León;countryHouse;village house;22000.0;174.0;1;0.0;41.8194231;-5.112756
82811;Castilla y León;countryHouse;village house;20000.0;200.0;1;0.0;42.6086586;-6.9790495
86754;Castilla y León;countryHouse;village house;16900.0;52.0;2;0.0;40.4537145;-4.4671503
93359;Castilla y León;countryHouse;village house;12000.0;60.0;2;0.0;41.7382453;-3.872898
110310;Castilla y León;countryHouse;village house;18000.0;70.0;2;0.0;41.8015411;-3.6281826
110311;Castilla y León;countryHouse;village house;24000.0;70.0;2;0.0;41.7382453;-3.872898
116060;Castilla y León;countryHouse;village house;25000.0;72.0;2;0.0;40.5007999;-4.4245584
119176;Castilla y León;countryHouse;village house;9500.0;74.0;2;0.0;40.4745791;-5.4772316
123904;Castilla y León;countryHouse;village house;35000.0;75.0;2;0.0;40.75294;-4.58311
127443;Castilla y León;countryHouse;village house;80000.0;78.0;2;0.0;42.6610394;-5.6098925
127444;Castilla y León;countryHouse;village house;95000.0;78.0;2;0.0;42.456105;-5.5119847
129805;Castilla y León;countryHouse;village house;48000.0;80.0;2;0.0;41.7143992;-3.3670647
129806;Castilla y León;countryHouse;village house;19000.0;80.0;2;0.0;41.728708;-4.018701
129807;Castilla y León;countryHouse;village house;68000.0;80.0;2;0.0;41.7143992;-3.3670647
144553;Castilla y León;countryHouse;village house;60000.0;90.0;2;0.0;41.7685876;-3.5556706
152692;Castilla y León;countryHouse;village house;29000.0;100.0;2;0.0;42.899205;-4.288409
153498;Castilla y León;countryHouse;village house;45000.0;100.0;2;0.0;42.8953709;-5.6429066
156777;Castilla y León;countryHouse;village house;70000.0;110.0;2;0.0;41.6479487;-3.7786074
158279;Castilla y León;countryHouse;village house;36000.0;115.0;2;0.0;41.3696226;-4.8413283
159458;Castilla y León;countryHouse;village house;81000.0;120.0;2;0.0;41.5893442;-3.8221228
159990;Castilla y León;countryHouse;village house;96000.0;120.0;2;0.0;41.730431;-3.7687664
161726;Castilla y León;countryHouse;village house;55000.0;132.0;2;0.0;41.7801089;-5.1940112
162481;Castilla y León;countryHouse;village house;75000.0;140.0;2;0.0;41.59343;-3.82345
164648;Castilla y León;countryHouse;village house;164000.0;180.0;2;0.0;43.0995846;-3.2830453
166051;Castilla y León;countryHouse;village house;58000.0;403.0;2;0.0;41.8459534;-5.2687028
168680;Castilla y León;countryHouse;village house;53000.0;60.0;3;0.0;40.54236;-5.04014
175778;Castilla y León;countryHouse;village house;103000.0;70.0;3;0.0;42.0520304;-4.5855784
182070;Castilla y León;countryHouse;village house;14000.0;75.0;3;0.0;42.6031406;-6.8104948
188596;Castilla y León;countryHouse;village house;78000.0;80.0;3;0.0;40.9012986;-5.2007673
189479;Castilla y León;countryHouse;village house;20000.0;80.0;3;0.0;41.7531721;-3.8021299
189480;Castilla y León;countryHouse;village house;30000.0;80.0;3;0.0;41.807273;-4.0219122
189588;Castilla y León;countryHouse;village house;29000.0;80.0;3;0.0;41.8233025;-5.1188447
189729;Castilla y León;countryHouse;village house;99000.0;80.0;3;0.0;40.9398754;-4.0643178
191043;Castilla y León;countryHouse;village house;90000.0;80.0;3;0.0;41.913804;-4.4933852
191497;Castilla y León;countryHouse;village house;65000.0;80.0;3;0.0;40.9741273;-5.6352293
199210;Castilla y León;countryHouse;village house;31000.0;85.0;3;0.0;40.9299539;-5.8830751
209899;Castilla y León;countryHouse;village house;24000.0;90.0;3;0.0;41.6479487;-3.7786074
209900;Castilla y León;countryHouse;village house;45000.0;90.0;3;0.0;41.8299643;-3.5285008
209901;Castilla y León;countryHouse;village house;12000.0;90.0;3;0.0;41.6856163;-3.4786534
212848;Castilla y León;countryHouse;village house;120000.0;90.0;3;0.0;41.1199181;-3.7260555
225773;Castilla y León;countryHouse;village house;80000.0;96.0;3;0.0;40.9505737;-4.0774148
