index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
78796;Castilla y León;house;Vacio;65000.0;70.0;1;0.0;42.9135299;-4.2959914
79404;Castilla y León;house;Vacio;67700.0;71.0;1;0.0;41.579267;-5.24191
82273;Castilla y León;house;Vacio;78000.0;114.0;1;0.0;42.88992;-4.26146
82612;Castilla y León;house;Vacio;46000.0;144.0;1;0.0;42.9155663;-4.2436243
82686;Castilla y León;house;Vacio;126000.0;160.0;1;0.0;42.3469565;-3.7320501
82905;Castilla y León;house;Vacio;56900.0;296.0;1;0.0;42.4082489;-4.1763348
83122;Castilla y León;house;Vacio;35000.0;30.0;2;0.0;41.74827;-4.3763
84047;Castilla y León;house;Vacio;65000.0;45.0;2;0.0;41.759052;-3.686896
85598;Castilla y León;house;Vacio;150000.0;50.0;2;0.0;42.646814;-3.1652027
86598;Castilla y León;house;Vacio;128000.0;51.0;2;2.0;42.0843863;-4.5543383
88515;Castilla y León;house;Vacio;21000.0;55.0;2;0.0;42.8989921;-4.2880016
92771;Castilla y León;house;Vacio;11000.0;60.0;2;2.0;42.6660946;-3.5016339
93270;Castilla y León;house;Vacio;95000.0;60.0;2;0.0;42.91038;-3.50724
93271;Castilla y León;house;Vacio;87000.0;60.0;2;0.0;42.927668;-3.487536
93284;Castilla y León;house;Vacio;124500.0;60.0;2;0.0;42.6879753;-2.943068
96744;Castilla y León;house;Vacio;17000.0;61.0;2;0.0;42.5853065;-6.5259461
97437;Castilla y León;house;Vacio;2000.0;62.0;2;0.0;42.6093345;-6.0417137
99426;Castilla y León;house;Vacio;120000.0;64.0;2;0.0;40.7860336;-4.3643211
99427;Castilla y León;house;Vacio;120000.0;64.0;2;0.0;40.7860336;-4.3643211
99428;Castilla y León;house;Vacio;120000.0;64.0;2;0.0;40.7860336;-4.3643211
99429;Castilla y León;house;Vacio;120000.0;64.0;2;0.0;40.7860336;-4.3643211
99430;Castilla y León;house;Vacio;120000.0;64.0;2;0.0;40.7860336;-4.3643211
101350;Castilla y León;house;Vacio;45000.0;65.0;2;0.0;42.8626466;-3.896194
108777;Castilla y León;house;Vacio;98000.0;69.0;2;2.0;41.4167731;-4.7953388
109583;Castilla y León;house;Vacio;79000.0;70.0;2;2.0;40.86046;-4.5635
110205;Castilla y León;house;Vacio;126000.0;70.0;2;0.0;42.91371;-3.50004
110566;Castilla y León;house;Vacio;79000.0;70.0;2;0.0;42.4137183;-4.2427227
113300;Castilla y León;house;Vacio;100000.0;70.0;2;2.0;40.6485508;-5.5749119
116518;Castilla y León;house;Vacio;170000.0;72.0;2;2.0;42.6853298;-2.9670496
120160;Castilla y León;house;Vacio;114000.0;75.0;2;0.0;42.5412619;-6.5966598
120685;Castilla y León;house;Vacio;99000.0;75.0;2;0.0;42.97544;-3.21472
121396;Castilla y León;house;Vacio;59000.0;75.0;2;2.0;41.064473;-5.5482591
124307;Castilla y León;house;Vacio;22200.0;76.0;2;0.0;41.4182165;-4.9067016
129687;Castilla y León;house;Vacio;45000.0;80.0;2;0.0;42.973868;-3.805483
131772;Castilla y León;house;Vacio;150000.0;80.0;2;0.0;42.135585;-3.367824
143375;Castilla y León;house;Vacio;36800.0;89.0;2;0.0;40.399054;-5.713325
144486;Castilla y León;house;Vacio;93000.0;90.0;2;0.0;42.940961;-3.485012
144683;Castilla y León;house;Vacio;33000.0;90.0;2;0.0;42.541443;-4.2747203
144684;Castilla y León;house;Vacio;120000.0;90.0;2;0.0;42.8598465;-4.3699853
145138;Castilla y León;house;Vacio;120000.0;90.0;2;2.0;41.7581378;-4.699101
148699;Castilla y León;house;Vacio;10000.0;94.0;2;0.0;41.01703;-6.49738
152262;Castilla y León;house;Vacio;15000.0;100.0;2;0.0;42.2233173;-5.8060762
152645;Castilla y León;house;Vacio;105000.0;100.0;2;0.0;42.8489823;-4.377425
152823;Castilla y León;house;Vacio;65000.0;100.0;2;0.0;42.3283443;-3.6649044
153417;Castilla y León;house;Vacio;113838.0;100.0;2;0.0;42.6875308;-2.9616644
154365;Castilla y León;house;Vacio;45756.0;102.0;2;0.0;42.6106411;-5.6127745
155854;Castilla y León;house;Vacio;43000.0;107.0;2;0.0;42.0138828;-4.5290749
156820;Castilla y León;house;Vacio;160000.0;110.0;2;0.0;42.8923127;-4.3853215
157709;Castilla y León;house;Vacio;58850.0;112.0;2;0.0;41.824366;-3.057547
157982;Castilla y León;house;Vacio;84500.0;114.0;2;0.0;41.4491821;-4.6682519
158589;Castilla y León;house;Vacio;87000.0;116.0;2;0.0;41.5766835;-4.4774789
158590;Castilla y León;house;Vacio;93500.0;116.0;2;0.0;41.5763048;-4.8736902
159401;Castilla y León;house;Vacio;121000.0;120.0;2;0.0;41.5031171;-4.686434
160609;Castilla y León;house;Vacio;20300.0;125.0;2;0.0;41.6492269;-5.2669806
162060;Castilla y León;house;Vacio;128772.0;135.0;2;0.0;40.854031;-4.5553917
162321;Castilla y León;house;Vacio;24000.0;139.0;2;0.0;41.3960945;-4.3149727
162444;Castilla y León;house;Vacio;12490.0;140.0;2;0.0;42.5157326;-4.0098761
162608;Castilla y León;house;Vacio;156000.0;140.0;2;2.0;42.6875736;-2.9430679
163514;Castilla y León;house;Vacio;61200.0;150.0;2;0.0;41.087139;-4.396922
163515;Castilla y León;house;Vacio;50000.0;150.0;2;0.0;42.3855914;-3.8343123
163775;Castilla y León;house;Vacio;62790.0;155.0;2;0.0;40.4115827;-4.7852539
163854;Castilla y León;house;Vacio;36000.0;157.0;2;0.0;40.7046089;-6.7911911
164272;Castilla y León;house;Vacio;79900.0;167.0;2;0.0;40.832839;-6.7943455
164445;Castilla y León;house;Vacio;58700.0;172.0;2;0.0;41.4114889;-4.7915406
164461;Castilla y León;house;Vacio;42000.0;172.0;2;0.0;42.7697784;-6.6210329
165108;Castilla y León;house;Vacio;117000.0;200.0;2;0.0;42.86625;-3.330418
165118;Castilla y León;house;Vacio;66000.0;200.0;2;0.0;42.8390889;-4.2895147
