index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32447;Castilla-La Mancha;countryHouse;country house;45000.0;21000.0;0;0.0;39.0185755;-3.8196808
82363;Castilla-La Mancha;countryHouse;country house;60000.0;120.0;1;0.0;39.1455462;-2.293207
121813;Castilla-La Mancha;countryHouse;country house;99000.0;75.0;2;0.0;38.9916706;-1.8910027
152530;Castilla-La Mancha;countryHouse;country house;440000.0;100.0;2;0.0;38.8256979;-3.5848238
163972;Castilla-La Mancha;countryHouse;country house;157500.0;160.0;2;0.0;39.9439227;-4.5717985
222270;Castilla-La Mancha;countryHouse;country house;100000.0;95.0;3;0.0;39.4484335;-3.3406073
231746;Castilla-La Mancha;countryHouse;country house;342000.0;100.0;3;0.0;40.0440728;-4.5313428
264134;Castilla-La Mancha;countryHouse;country house;315000.0;120.0;3;0.0;38.4668497;-4.0746404
269120;Castilla-La Mancha;countryHouse;country house;114000.0;125.0;3;0.0;38.942813;-1.9372979
283608;Castilla-La Mancha;countryHouse;country house;99900.0;150.0;3;0.0;38.7886271;-4.1460618
295516;Castilla-La Mancha;countryHouse;country house;26000.0;200.0;3;0.0;38.7891454;-3.4051768
318208;Castilla-La Mancha;countryHouse;country house;132222.0;110.0;4;0.0;40.7329235;-2.8342077
341547;Castilla-La Mancha;countryHouse;country house;45000.0;160.0;4;0.0;40.1685173;-3.9008087
348961;Castilla-La Mancha;countryHouse;country house;425000.0;190.0;4;0.0;39.7823655;-4.6275032
365086;Castilla-La Mancha;countryHouse;country house;144000.0;300.0;4;0.0;39.945538;-2.5968537
403205;Castilla-La Mancha;countryHouse;country house;525000.0;1000.0;6;0.0;41.0633318;-2.6440843
404159;Castilla-La Mancha;countryHouse;country house;80000.0;300.0;7;0.0;40.099616;-2.2199464
