index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
61478;Castilla-La Mancha;countryHouse;village house;12000.0;35.0;1;0.0;40.1217868;-2.9288253
133393;Castilla-La Mancha;countryHouse;village house;30900.0;80.0;2;0.0;40.0123707;-3.005691
153220;Castilla-La Mancha;countryHouse;village house;89000.0;100.0;2;0.0;40.1706093;-3.8957161
165676;Castilla-La Mancha;countryHouse;village house;49000.0;250.0;2;0.0;38.8663416;-1.9347309
174511;Castilla-La Mancha;countryHouse;village house;38000.0;70.0;3;0.0;40.1231994;-2.9193679
191702;Castilla-La Mancha;countryHouse;village house;45000.0;80.0;3;0.0;40.117127;-3.9256847
194466;Castilla-La Mancha;countryHouse;village house;77000.0;81.0;3;0.0;40.1391349;-4.0038506
208848;Castilla-La Mancha;countryHouse;village house;35000.0;90.0;3;0.0;39.918767;-2.8057175
213030;Castilla-La Mancha;countryHouse;village house;40000.0;90.0;3;0.0;40.0222371;-3.9910644
228890;Castilla-La Mancha;countryHouse;village house;40000.0;98.0;3;0.0;40.6523057;-3.0549794
238114;Castilla-La Mancha;countryHouse;village house;75000.0;101.0;3;0.0;39.9807594;-3.4423343
242672;Castilla-La Mancha;countryHouse;village house;31000.0;105.0;3;0.0;40.1071165;-4.3228999
243649;Castilla-La Mancha;countryHouse;village house;34600.0;105.0;3;0.0;40.1051165;-4.3247999
257965;Castilla-La Mancha;countryHouse;village house;100000.0;115.0;3;0.0;41.0346163;-2.4696493
264832;Castilla-La Mancha;countryHouse;village house;53000.0;120.0;3;0.0;39.7963525;-3.9421945
272677;Castilla-La Mancha;countryHouse;village house;75000.0;130.0;3;0.0;40.6690183;-3.2035139
273079;Castilla-La Mancha;countryHouse;village house;108000.0;130.0;3;0.0;39.9769016;-4.2878314
277798;Castilla-La Mancha;countryHouse;village house;50000.0;140.0;3;0.0;39.8440905;-2.9960006
283075;Castilla-La Mancha;countryHouse;village house;95000.0;150.0;3;0.0;40.7512453;-2.5809945
283474;Castilla-La Mancha;countryHouse;village house;78000.0;150.0;3;0.0;40.63097;-2.85563
284209;Castilla-La Mancha;countryHouse;village house;91706.0;151.0;3;0.0;38.7111314;-0.982226
284823;Castilla-La Mancha;countryHouse;village house;36000.0;154.0;3;0.0;40.94206;-2.72432
288986;Castilla-La Mancha;countryHouse;village house;125000.0;170.0;3;0.0;40.0541122;-3.0476046
292557;Castilla-La Mancha;countryHouse;village house;90000.0;183.0;3;0.0;39.1561301;-3.0133297
293791;Castilla-La Mancha;countryHouse;village house;155000.0;190.0;3;0.0;39.1954412;-4.0290812
298684;Castilla-La Mancha;countryHouse;village house;65000.0;225.0;3;0.0;39.6159655;-2.2792743
299632;Castilla-La Mancha;countryHouse;village house;110000.0;237.0;3;0.0;39.9576018;-3.4951881
302310;Castilla-La Mancha;countryHouse;village house;53000.0;272.0;3;0.0;39.9625115;-3.5020554
335890;Castilla-La Mancha;countryHouse;village house;180000.0;145.0;4;0.0;41.1951626;-2.8724064
340319;Castilla-La Mancha;countryHouse;village house;75000.0;157.0;4;0.0;39.6661426;-4.6426224
341591;Castilla-La Mancha;countryHouse;village house;110000.0;160.0;4;0.0;40.4864987;-3.0144637
345413;Castilla-La Mancha;countryHouse;village house;130000.0;175.0;4;0.0;39.3896384;-3.199802
346136;Castilla-La Mancha;countryHouse;village house;20000.0;180.0;4;0.0;41.1024503;-2.6754596
350978;Castilla-La Mancha;countryHouse;village house;59000.0;200.0;4;0.0;40.0536847;-3.9941054
353762;Castilla-La Mancha;countryHouse;village house;100000.0;210.0;4;0.0;39.8963784;-3.3203831
370747;Castilla-La Mancha;countryHouse;village house;120000.0;422.0;4;0.0;39.9845019;-3.190351
372242;Castilla-La Mancha;countryHouse;village house;100000.0;551.0;4;0.0;39.9451634;-2.8938934
373252;Castilla-La Mancha;countryHouse;village house;33000.0;100.0;5;0.0;40.6662867;-2.9981846
384682;Castilla-La Mancha;countryHouse;village house;250000.0;269.0;5;0.0;40.9466023;-3.0889768
387505;Castilla-La Mancha;countryHouse;village house;80000.0;310.0;5;0.0;39.4531724;-3.603235
389322;Castilla-La Mancha;countryHouse;village house;138000.0;350.0;5;0.0;40.7282847;-3.1781533
400132;Castilla-La Mancha;countryHouse;village house;100000.0;400.0;6;0.0;39.9727116;-2.8982494
404203;Castilla-La Mancha;countryHouse;village house;39000.0;301.0;7;0.0;40.5129862;-2.7900635
406072;Castilla-La Mancha;countryHouse;village house;140000.0;950.0;7;0.0;39.56662;-1.67294
407733;Castilla-La Mancha;countryHouse;village house;216000.0;385.0;9;0.0;38.7350657;-3.0136777
408035;Castilla-La Mancha;countryHouse;village house;490000.0;670.0;9;0.0;38.7371213;-3.014678
