index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
5935;Castilla-La Mancha;flat;Vacio;38000.0;60.0;0;3.0;40.0600337;-2.1403771
12256;Castilla-La Mancha;flat;Vacio;59900.0;100.0;0;2.0;40.6296467;-3.175421
61012;Castilla-La Mancha;flat;Vacio;59000.0;30.0;1;2.0;39.8557576;-4.0293206
61163;Castilla-La Mancha;flat;Vacio;35303.0;31.0;1;2.0;40.0898667;-3.9672331
61253;Castilla-La Mancha;flat;Vacio;68000.0;33.0;1;0.0;40.2052146;-4.0919242
61312;Castilla-La Mancha;flat;Vacio;69500.0;33.0;1;5.0;39.8601235;-4.0231043
61384;Castilla-La Mancha;flat;Vacio;68000.0;34.0;1;0.0;39.8520331;-4.0291382
61491;Castilla-La Mancha;flat;Vacio;45000.0;35.0;1;2.0;38.8887124;-3.712683
61562;Castilla-La Mancha;flat;Vacio;21200.0;35.0;1;2.0;40.0547366;-4.2133617
61630;Castilla-La Mancha;flat;Vacio;80000.0;35.0;1;2.0;39.8587195;-4.0048043
61699;Castilla-La Mancha;flat;Vacio;139000.0;35.0;1;4.0;39.8660706;-4.0195865
61709;Castilla-La Mancha;flat;Vacio;54900.0;35.0;1;3.0;39.8514797;-4.0250996
61872;Castilla-La Mancha;flat;Vacio;46000.0;36.0;1;4.0;40.0733746;-3.7348455
62143;Castilla-La Mancha;flat;Vacio;70000.0;38.0;1;4.0;41.0634166;-2.6427905
62324;Castilla-La Mancha;flat;Vacio;29700.0;39.0;1;5.0;40.0898911;-4.1232058
62529;Castilla-La Mancha;flat;Vacio;54000.0;40.0;1;4.0;40.0118271;-3.0179079
62653;Castilla-La Mancha;flat;Vacio;22680.0;40.0;1;5.0;40.0898911;-4.1207058
62654;Castilla-La Mancha;flat;Vacio;22680.0;40.0;1;5.0;40.0927911;-4.1193058
62718;Castilla-La Mancha;flat;Vacio;98500.0;40.0;1;4.0;39.8731804;-4.0240394
62719;Castilla-La Mancha;flat;Vacio;52000.0;40.0;1;3.0;39.8574031;-4.0194262
62825;Castilla-La Mancha;flat;Vacio;89500.0;40.0;1;2.0;39.8590402;-4.0271494
62942;Castilla-La Mancha;flat;Vacio;49000.0;40.0;1;0.0;40.068613;-3.7376284
63015;Castilla-La Mancha;flat;Vacio;79800.0;40.0;1;3.0;39.8533248;-4.0243695
63060;Castilla-La Mancha;flat;Vacio;49000.0;40.0;1;5.0;38.9925466;-3.9232385
63061;Castilla-La Mancha;flat;Vacio;55000.0;40.0;1;3.0;38.6928283;-4.1114711
63088;Castilla-La Mancha;flat;Vacio;55000.0;40.0;1;2.0;39.8594906;-4.0280358
63138;Castilla-La Mancha;flat;Vacio;81000.0;40.0;1;3.0;39.8573357;-4.0079061
63139;Castilla-La Mancha;flat;Vacio;83000.0;40.0;1;6.0;39.8621466;-4.0219588
63530;Castilla-La Mancha;flat;Vacio;44000.0;41.0;1;2.0;39.8627418;-4.0052785
63581;Castilla-La Mancha;flat;Vacio;44000.0;41.0;1;3.0;39.8588621;-4.0058354
63582;Castilla-La Mancha;flat;Vacio;33000.0;41.0;1;2.0;39.94463;-4.0243
63673;Castilla-La Mancha;flat;Vacio;49800.0;42.0;1;3.0;40.186146;-4.035083
63675;Castilla-La Mancha;flat;Vacio;22100.0;42.0;1;0.0;40.531148;-3.030931
