index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
600;Castilla-La Mancha;flat;studio;50000.0;26.0;0;3.0;38.9886549;-3.9248043
900;Castilla-La Mancha;flat;studio;49500.0;30.0;0;4.0;38.9979618;-3.9246806
1058;Castilla-La Mancha;flat;studio;25000.0;30.0;0;3.0;39.8628769;-4.0067339
1176;Castilla-La Mancha;flat;studio;29000.0;32.0;0;2.0;40.6370811;-3.1587033
1895;Castilla-La Mancha;flat;studio;58500.0;36.0;0;2.0;38.9971972;-3.9236699
1903;Castilla-La Mancha;flat;studio;58500.0;36.0;0;2.0;38.9975972;-3.9236699
2103;Castilla-La Mancha;flat;studio;51000.0;38.0;0;6.0;38.9849092;-3.9231833
2433;Castilla-La Mancha;flat;studio;41000.0;40.0;0;3.0;40.62288;-3.20473
3117;Castilla-La Mancha;flat;studio;45000.0;43.0;0;6.0;38.9885466;-3.9231385
3262;Castilla-La Mancha;flat;studio;71000.0;44.0;0;4.0;39.6827597;-3.9755012
3313;Castilla-La Mancha;flat;studio;56071.0;45.0;0;2.0;39.9592624;-3.4899599
3425;Castilla-La Mancha;flat;studio;38000.0;45.0;0;4.0;38.9912439;-3.9293212
3429;Castilla-La Mancha;flat;studio;35000.0;45.0;0;5.0;38.9864805;-3.9213171
3487;Castilla-La Mancha;flat;studio;32000.0;45.0;0;5.0;40.0780596;-2.1302424
3661;Castilla-La Mancha;flat;studio;30254.0;46.0;0;2.0;39.9542993;-3.4983383
3741;Castilla-La Mancha;flat;studio;33300.0;46.0;0;0.0;40.4809016;-2.7298713
3846;Castilla-La Mancha;flat;studio;33600.0;47.0;0;0.0;40.4804016;-2.7298713
3876;Castilla-La Mancha;flat;studio;21000.0;48.0;0;4.0;39.9592127;-3.4904966
4021;Castilla-La Mancha;flat;studio;36800.0;49.0;0;3.0;39.9640426;-4.8328751
4131;Castilla-La Mancha;flat;studio;20010.0;50.0;0;2.0;39.9635968;-4.8289327
4204;Castilla-La Mancha;flat;studio;66150.0;50.0;0;2.0;40.5666659;-3.2617915
4374;Castilla-La Mancha;flat;studio;46350.0;50.0;0;3.0;40.1211895;-3.8059525
4483;Castilla-La Mancha;flat;studio;27000.0;50.0;0;2.0;40.6298647;-3.1656649
4625;Castilla-La Mancha;flat;studio;45496.0;51.0;0;3.0;40.05957;-4.20607
4627;Castilla-La Mancha;flat;studio;50612.0;51.0;0;3.0;39.9392127;-4.0223431
4675;Castilla-La Mancha;flat;studio;62910.0;51.0;0;2.0;38.9808375;-3.9197019
4858;Castilla-La Mancha;flat;studio;25000.0;53.0;0;4.0;39.9569801;-3.505758
5094;Castilla-La Mancha;flat;studio;44850.0;55.0;0;5.0;39.9590346;-3.4921025
5185;Castilla-La Mancha;flat;studio;90000.0;55.0;0;4.0;40.081205;-2.131884
5266;Castilla-La Mancha;flat;studio;97000.0;55.0;0;5.0;39.8545274;-4.0206264
5420;Castilla-La Mancha;flat;studio;51000.0;56.0;0;3.0;40.1190516;-3.8029785
5724;Castilla-La Mancha;flat;studio;27771.0;59.0;0;5.0;39.968317;-4.3090677
6007;Castilla-La Mancha;flat;studio;64000.0;60.0;0;2.0;39.9590267;-4.8365304
6778;Castilla-La Mancha;flat;studio;43445.0;65.0;0;2.0;40.7547204;-3.1623278
6782;Castilla-La Mancha;flat;studio;72000.0;65.0;0;6.0;38.9896799;-1.8469836
6921;Castilla-La Mancha;flat;studio;63000.0;65.0;0;4.0;40.1244037;-3.8500348
7083;Castilla-La Mancha;flat;studio;70000.0;67.0;0;8.0;39.9650945;-4.83068
10382;Castilla-La Mancha;flat;studio;17000.0;87.0;0;5.0;39.766255;-3.1741009
10383;Castilla-La Mancha;flat;studio;32450.0;87.0;0;4.0;39.766255;-3.1761009
10800;Castilla-La Mancha;flat;studio;90000.0;90.0;0;4.0;39.6186566;-3.3338639
11756;Castilla-La Mancha;flat;studio;95000.0;98.0;0;3.0;39.9602897;-4.8318719
15266;Castilla-La Mancha;flat;studio;100800.0;128.0;0;0.0;40.65108;-3.30927
