index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
1;Castilla-La Mancha;premise;Vacio;1100.0;2.4;0;0.0;40.1851186;-4.034681
2;Castilla-La Mancha;premise;Vacio;1100.0;2.4;0;0.0;40.1838186;-4.034681
70;Castilla-La Mancha;premise;Vacio;9000.0;13.0;0;2.0;40.0717276;-2.1284679
111;Castilla-La Mancha;premise;Vacio;4700.0;15.0;0;2.0;40.6286861;-3.1821599
312;Castilla-La Mancha;premise;Vacio;9000.0;21.0;0;0.0;39.2623534;-2.6012156
319;Castilla-La Mancha;premise;Vacio;11100.0;21.0;0;2.0;40.5808212;-3.2972396
370;Castilla-La Mancha;premise;Vacio;20200.0;23.0;0;2.0;40.0736577;-2.1327923
487;Castilla-La Mancha;premise;Vacio;25000.0;25.0;0;3.0;38.9841698;-1.8469634
492;Castilla-La Mancha;premise;Vacio;21100.0;25.0;0;2.0;40.0726725;-2.1318242
591;Castilla-La Mancha;premise;Vacio;10000.0;26.0;0;0.0;39.2660534;-2.5974156
604;Castilla-La Mancha;premise;Vacio;27862.0;26.0;0;2.0;39.2711673;-2.6001355
1391;Castilla-La Mancha;premise;Vacio;28000.0;33.0;0;2.0;39.0054919;-1.8601835
1497;Castilla-La Mancha;premise;Vacio;81000.0;35.0;0;0.0;39.8604555;-4.0190779
1521;Castilla-La Mancha;premise;Vacio;25000.0;35.0;0;2.0;40.009484;-3.0014871
1608;Castilla-La Mancha;premise;Vacio;27000.0;35.0;0;2.0;38.6850743;-4.1080499
1663;Castilla-La Mancha;premise;Vacio;42000.0;35.0;0;2.0;39.870456;-3.9446939
1678;Castilla-La Mancha;premise;Vacio;34900.0;35.0;0;2.0;40.6370976;-3.1596557
1744;Castilla-La Mancha;premise;Vacio;29000.0;35.0;0;2.0;40.6256367;-3.1680132
1832;Castilla-La Mancha;premise;Vacio;12000.0;36.0;0;0.0;39.2660534;-2.5976156
1922;Castilla-La Mancha;premise;Vacio;85000.0;36.0;0;2.0;39.8749349;-4.0325499
2024;Castilla-La Mancha;premise;Vacio;54000.0;37.0;0;2.0;40.703906;-3.4278968
2338;Castilla-La Mancha;premise;Vacio;58000.0;40.0;0;3.0;40.633859;-3.1582176
2410;Castilla-La Mancha;premise;Vacio;31680.0;40.0;0;2.0;39.9786727;-4.2819563
2540;Castilla-La Mancha;premise;Vacio;69000.0;40.0;0;2.0;39.8752116;-4.0350502
2632;Castilla-La Mancha;premise;Vacio;26000.0;40.0;0;2.0;38.6862281;-4.1083011
3018;Castilla-La Mancha;premise;Vacio;138000.0;42.0;0;2.0;40.0755843;-2.1338029
3019;Castilla-La Mancha;premise;Vacio;60000.0;42.0;0;4.0;39.8769266;-4.0354352
3333;Castilla-La Mancha;premise;Vacio;56650.0;45.0;0;2.0;40.00947;-3.004453
3534;Castilla-La Mancha;premise;Vacio;49900.0;45.0;0;2.0;40.1254682;-3.8520825
3588;Castilla-La Mancha;premise;Vacio;42500.0;45.0;0;0.0;40.7016703;-3.4491167
3589;Castilla-La Mancha;premise;Vacio;42500.0;45.0;0;0.0;40.7054994;-3.4490426
3782;Castilla-La Mancha;premise;Vacio;60000.0;47.0;0;2.0;40.6366648;-3.1623905
3798;Castilla-La Mancha;premise;Vacio;12006.0;47.0;0;2.0;38.8962225;-3.0588893
3832;Castilla-La Mancha;premise;Vacio;67657.0;47.0;0;2.0;39.1654015;-3.8539054
4176;Castilla-La Mancha;premise;Vacio;69000.0;50.0;0;2.0;38.9990727;-1.8603637
4350;Castilla-La Mancha;premise;Vacio;50000.0;50.0;0;2.0;39.8632432;-3.948275
4405;Castilla-La Mancha;premise;Vacio;18500.0;50.0;0;2.0;38.9863239;-3.9323436
4406;Castilla-La Mancha;premise;Vacio;69000.0;50.0;0;2.0;38.9859217;-3.9340745
4619;Castilla-La Mancha;premise;Vacio;53000.0;51.0;0;0.0;40.5626747;-3.2596401
5088;Castilla-La Mancha;premise;Vacio;45000.0;55.0;0;0.0;39.8606555;-4.0219779
5100;Castilla-La Mancha;premise;Vacio;55000.0;55.0;0;2.0;38.9971374;-1.8735965
5194;Castilla-La Mancha;premise;Vacio;62000.0;55.0;0;2.0;38.97859;-3.92163
5251;Castilla-La Mancha;premise;Vacio;78000.0;55.0;0;2.0;39.8732631;-4.0222147
