index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
5578;Cataluña;countryHouse;Vacio;25000.0;57.0;0;0.0;42.0811757;0.7659912
17291;Cataluña;countryHouse;Vacio;90000.0;150.0;0;0.0;40.8134403;0.524236
17671;Cataluña;countryHouse;Vacio;45000.0;153.0;0;0.0;42.1489727;0.6966135
29492;Cataluña;countryHouse;Vacio;1600000.0;760.0;0;0.0;41.7292787;2.5032421
31680;Cataluña;countryHouse;Vacio;75000.0;2300.0;0;0.0;41.2601924;1.1684552
80065;Cataluña;countryHouse;Vacio;65000.0;75.0;1;0.0;41.7388833;1.8356351
83002;Cataluña;countryHouse;Vacio;260000.0;530.0;1;0.0;41.6684312;0.8162581
85395;Cataluña;countryHouse;Vacio;78000.0;50.0;2;0.0;41.2232106;1.7047307
112015;Cataluña;countryHouse;Vacio;950000.0;70.0;2;0.0;41.8904248;3.1840215
114580;Cataluña;countryHouse;Vacio;220000.0;70.0;2;0.0;41.483729;1.9889293
122322;Cataluña;countryHouse;Vacio;89000.0;75.0;2;0.0;41.28123;1.2951
127642;Cataluña;countryHouse;Vacio;140000.0;78.0;2;0.0;41.23599;1.71116
128702;Cataluña;countryHouse;Vacio;126000.0;80.0;2;0.0;41.31579;1.76884
139989;Cataluña;countryHouse;Vacio;124000.0;85.0;2;0.0;41.31699;1.77284
148701;Cataluña;countryHouse;Vacio;126000.0;94.0;2;0.0;41.31649;1.76884
153500;Cataluña;countryHouse;Vacio;178000.0;100.0;2;0.0;41.119889;1.2430797
154949;Cataluña;countryHouse;Vacio;60000.0;104.0;2;0.0;40.5412103;0.482903
159516;Cataluña;countryHouse;Vacio;670000.0;120.0;2;0.0;41.420249;2.1197796
164627;Cataluña;countryHouse;Vacio;396000.0;180.0;2;0.0;41.9907346;2.7364516
165368;Cataluña;countryHouse;Vacio;730000.0;219.0;2;0.0;42.3877724;3.0008527
165510;Cataluña;countryHouse;Vacio;330000.0;230.0;2;0.0;41.4278855;2.093069
165899;Cataluña;countryHouse;Vacio;350000.0;300.0;2;0.0;41.176492;1.3279
168572;Cataluña;countryHouse;Vacio;145000.0;60.0;3;0.0;41.4571007;2.2129623
170276;Cataluña;countryHouse;Vacio;128300.0;64.0;3;0.0;41.5920116;2.1967836
175928;Cataluña;countryHouse;Vacio;69000.0;70.0;3;0.0;41.4754757;1.3881751
210312;Cataluña;countryHouse;Vacio;115000.0;90.0;3;0.0;41.2051657;0.9733887
230616;Cataluña;countryHouse;Vacio;330000.0;100.0;3;0.0;42.3580261;3.1502904
231348;Cataluña;countryHouse;Vacio;190000.0;100.0;3;0.0;41.64645;2.4624587
231921;Cataluña;countryHouse;Vacio;280000.0;100.0;3;0.0;41.6153878;2.6010228
