index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
540;Cataluña;countryHouse;country house;23000.0;25.0;0;0.0;41.4989627;0.7669103
1006;Cataluña;countryHouse;country house;22000.0;30.0;0;0.0;41.4099202;1.2285382
2567;Cataluña;countryHouse;country house;35000.0;40.0;0;0.0;40.8752191;0.4981145
5884;Cataluña;countryHouse;country house;93000.0;60.0;0;0.0;40.8581777;0.7506493
6661;Cataluña;countryHouse;country house;50000.0;65.0;0;0.0;41.0466004;0.8731347
20778;Cataluña;countryHouse;country house;250000.0;200.0;0;0.0;42.0332791;2.7358029
20779;Cataluña;countryHouse;country house;300000.0;200.0;0;0.0;41.9907346;2.7384516
20878;Cataluña;countryHouse;country house;40000.0;200.0;0;0.0;42.4124109;2.8728222
26657;Cataluña;countryHouse;country house;270000.0;400.0;0;0.0;42.1418824;2.564863
26658;Cataluña;countryHouse;country house;250000.0;400.0;0;0.0;42.201698;2.6929387
60772;Cataluña;countryHouse;country house;42000.0;20.0;1;0.0;41.1911976;1.1164108
60813;Cataluña;countryHouse;country house;95000.0;24.0;1;0.0;41.2159626;0.9678913
61050;Cataluña;countryHouse;country house;18000.0;30.0;1;0.0;41.43026;0.97573
61051;Cataluña;countryHouse;country house;18000.0;30.0;1;0.0;41.3733419;1.2614547
61552;Cataluña;countryHouse;country house;120000.0;35.0;1;0.0;41.1327672;0.987473
62727;Cataluña;countryHouse;country house;45000.0;40.0;1;0.0;41.1250639;0.9600129
62839;Cataluña;countryHouse;country house;115000.0;40.0;1;0.0;41.8570229;3.0712147
62954;Cataluña;countryHouse;country house;23000.0;40.0;1;0.0;40.9183413;0.4003534
68649;Cataluña;countryHouse;country house;11000.0;50.0;1;0.0;41.3944724;1.2749013
68650;Cataluña;countryHouse;country house;17000.0;50.0;1;0.0;41.4075202;1.2307382
72103;Cataluña;countryHouse;country house;60000.0;55.0;1;0.0;40.8198655;0.5033327
72119;Cataluña;countryHouse;country house;39000.0;55.0;1;0.0;41.2821697;1.2487558
74557;Cataluña;countryHouse;country house;155000.0;60.0;1;0.0;41.1745577;1.3240554
74681;Cataluña;countryHouse;country house;110000.0;60.0;1;0.0;41.9176196;3.1618034
75112;Cataluña;countryHouse;country house;38000.0;60.0;1;0.0;41.5212184;0.8704519
80674;Cataluña;countryHouse;country house;125000.0;80.0;1;0.0;41.1625393;1.3612397
80740;Cataluña;countryHouse;country house;49000.0;80.0;1;0.0;41.4033736;0.659992
82407;Cataluña;countryHouse;country house;180000.0;120.0;1;0.0;41.2487199;0.4851963
82604;Cataluña;countryHouse;country house;45000.0;142.0;1;0.0;40.7108079;0.5312264
82847;Cataluña;countryHouse;country house;60000.0;235.0;1;0.0;40.6338949;0.2826789
82971;Cataluña;countryHouse;country house;420000.0;400.0;1;0.0;42.1836472;3.0828943
83020;Cataluña;countryHouse;country house;54000.0;685.0;1;0.0;40.8769191;0.4980145
83143;Cataluña;countryHouse;country house;50000.0;30.0;2;0.0;41.2911907;1.3039694
122842;Cataluña;countryHouse;country house;158000.0;75.0;2;0.0;42.37539;2.9181
129267;Cataluña;countryHouse;country house;180000.0;80.0;2;0.0;40.7067997;0.5801695
131328;Cataluña;countryHouse;country house;138000.0;80.0;2;0.0;42.0997492;3.08572
132167;Cataluña;countryHouse;country house;210000.0;80.0;2;0.0;41.1602144;1.2720241
138465;Cataluña;countryHouse;country house;140000.0;85.0;2;0.0;41.0969053;0.7519616
153063;Cataluña;countryHouse;country house;69000.0;100.0;2;0.0;42.0715294;2.9545612
160154;Cataluña;countryHouse;country house;90000.0;121.0;2;0.0;41.3980937;1.0517023
165411;Cataluña;countryHouse;country house;730000.0;220.0;2;0.0;42.38997;3.00086
166085;Cataluña;countryHouse;country house;150000.0;500.0;2;0.0;42.1695945;2.4987238
168536;Cataluña;countryHouse;country house;110000.0;60.0;3;0.0;41.3844039;1.5721444
181485;Cataluña;countryHouse;country house;120000.0;75.0;3;0.0;41.2581924;1.1687552
191821;Cataluña;countryHouse;country house;132000.0;80.0;3;0.0;41.1384978;1.0501088
212193;Cataluña;countryHouse;country house;110000.0;90.0;3;0.0;41.3844039;1.5721444
232913;Cataluña;countryHouse;country house;139000.0;100.0;3;0.0;40.8041959;0.69827
234272;Cataluña;countryHouse;country house;80000.0;100.0;3;0.0;42.0603701;3.0474297
234531;Cataluña;countryHouse;country house;175000.0;100.0;3;0.0;40.7128079;0.5310264
267253;Cataluña;countryHouse;country house;126000.0;122.0;3;0.0;41.7883832;2.7806436
276160;Cataluña;countryHouse;country house;445000.0;135.0;3;0.0;41.2478345;1.7715709
280929;Cataluña;countryHouse;country house;149900.0;145.0;3;3.0;41.6687273;2.740955
282559;Cataluña;countryHouse;country house;125000.0;150.0;3;0.0;40.8384777;0.4458002
285723;Cataluña;countryHouse;country house;126000.0;157.0;3;0.0;41.23708;1.6863311
291450;Cataluña;countryHouse;country house;170000.0;180.0;3;0.0;42.010388;2.6072339
291797;Cataluña;countryHouse;country house;60000.0;180.0;3;0.0;42.2170508;2.5566639
295586;Cataluña;countryHouse;country house;435000.0;200.0;3;0.0;41.9562431;3.0360568
295612;Cataluña;countryHouse;country house;299000.0;200.0;3;0.0;42.1588666;2.9081338
295730;Cataluña;countryHouse;country house;389000.0;200.0;3;0.0;42.2176508;2.5564639
296633;Cataluña;countryHouse;country house;570000.0;207.0;3;0.0;41.6026431;2.6224208
297978;Cataluña;countryHouse;country house;350000.0;220.0;3;0.0;41.9907346;2.7392516
299137;Cataluña;countryHouse;country house;425000.0;230.0;3;0.0;41.5260545;2.3932959
299513;Cataluña;countryHouse;country house;330000.0;235.0;3;0.0;40.8986463;0.8140264
300805;Cataluña;countryHouse;country house;495000.0;250.0;3;0.0;42.0352791;2.7345029
302253;Cataluña;countryHouse;country house;159000.0;270.0;3;0.0;42.24993;2.81507
304375;Cataluña;countryHouse;country house;330000.0;341.0;3;0.0;42.3124505;2.8365649
305219;Cataluña;countryHouse;country house;790000.0;415.0;3;0.0;42.100347;2.9939407
305303;Cataluña;countryHouse;country house;3000000.0;436.0;3;0.0;41.1556112;1.080001
306111;Cataluña;countryHouse;country house;73000.0;5400.0;3;0.0;41.5628676;0.8818151
309049;Cataluña;countryHouse;country house;850000.0;90.0;4;0.0;41.1115546;1.0384968
315574;Cataluña;countryHouse;country house;390000.0;105.0;4;0.0;41.13091;1.0923711
336971;Cataluña;countryHouse;country house;449000.0;150.0;4;0.0;41.7395167;2.8083799
337567;Cataluña;countryHouse;country house;850000.0;150.0;4;0.0;40.9163532;0.8331562
337706;Cataluña;countryHouse;country house;275000.0;150.0;4;0.0;41.2593198;1.8061238
338037;Cataluña;countryHouse;country house;175000.0;150.0;4;0.0;40.7047997;0.5820695
342774;Cataluña;countryHouse;country house;195000.0;165.0;4;0.0;40.86605;0.78117
358631;Cataluña;countryHouse;country house;779000.0;240.0;4;0.0;41.9726367;3.091321
360408;Cataluña;countryHouse;country house;425000.0;250.0;4;0.0;41.5509989;2.4538868
361062;Cataluña;countryHouse;country house;165000.0;252.0;4;0.0;42.29564;2.9077
362420;Cataluña;countryHouse;country house;585000.0;268.0;4;0.0;42.3780116;1.818919
365413;Cataluña;countryHouse;country house;600000.0;300.0;4;0.0;41.8140262;3.0333539
365414;Cataluña;countryHouse;country house;350000.0;300.0;4;0.0;42.1449824;2.564863
