index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
1220;Cataluña;flat;Vacio;47300.0;32.0;0;5.0;41.2053115;1.6868815
1347;Cataluña;flat;Vacio;80000.0;33.0;0;3.0;41.8549757;3.1385229
1700;Cataluña;flat;Vacio;160000.0;35.0;0;3.0;41.3878021;2.1617776
3195;Cataluña;flat;Vacio;103000.0;43.0;0;3.0;41.3727692;2.167468
3196;Cataluña;flat;Vacio;120000.0;43.0;0;3.0;41.3717363;2.1669465
4918;Cataluña;flat;Vacio;79000.0;53.0;0;2.0;41.0046783;0.9364772
7565;Cataluña;flat;Vacio;85000.0;70.0;0;3.0;41.2237172;1.7260584
9543;Cataluña;flat;Vacio;165000.0;80.0;0;2.0;41.3742836;2.1647879
9668;Cataluña;flat;Vacio;135000.0;82.0;0;2.0;41.3785391;2.1291123
10010;Cataluña;flat;Vacio;168000.0;85.0;0;2.0;41.4281406;2.1772581
11201;Cataluña;flat;Vacio;152000.0;93.0;0;2.0;41.3845716;2.1290362
11422;Cataluña;flat;Vacio;309000.0;95.0;0;5.0;41.3995375;2.1516687
12122;Cataluña;flat;Vacio;137000.0;100.0;0;2.0;41.8553427;3.130153
12807;Cataluña;flat;Vacio;238000.0;105.0;0;4.0;41.4271944;2.1967707
16018;Cataluña;flat;Vacio;163000.0;136.0;0;2.0;41.3746008;2.1436764
16482;Cataluña;flat;Vacio;220000.0;140.0;0;3.0;41.3766127;2.1533116
17318;Cataluña;flat;Vacio;330000.0;150.0;0;2.0;41.4001004;2.1595566
18454;Cataluña;flat;Vacio;225000.0;162.0;0;2.0;41.4136087;2.1440715
19062;Cataluña;flat;Vacio;219000.0;171.0;0;2.0;41.3748633;2.1317577
19447;Cataluña;flat;Vacio;160000.0;177.0;0;3.0;41.4100974;2.1506102
20203;Cataluña;flat;Vacio;1100000.0;190.0;0;4.0;41.4020941;2.1296239
24206;Cataluña;flat;Vacio;2080000.0;280.0;0;0.0;41.3925518;2.1666769
27399;Cataluña;flat;Vacio;1480000.0;455.0;0;3.0;41.3904258;2.1767137
29799;Cataluña;flat;Vacio;900000.0;843.0;0;2.0;41.6165646;0.6310675
60756;Cataluña;flat;Vacio;38000.0;15.0;1;3.0;41.7826994;3.0270154
60779;Cataluña;flat;Vacio;75000.0;20.0;1;2.0;41.2721338;1.9892073
60789;Cataluña;flat;Vacio;42000.0;21.0;1;0.0;41.7944163;3.0459809
60796;Cataluña;flat;Vacio;75000.0;22.0;1;2.0;41.2721338;1.9891073
60814;Cataluña;flat;Vacio;150000.0;24.0;1;2.0;41.380632;2.191187
60815;Cataluña;flat;Vacio;79000.0;24.0;1;0.0;42.263077;3.176187
60818;Cataluña;flat;Vacio;10998.0;25.0;1;5.0;40.813503;0.5243495
60835;Cataluña;flat;Vacio;41000.0;25.0;1;2.0;41.3736227;2.1347939
60836;Cataluña;flat;Vacio;38000.0;25.0;1;2.0;41.3727227;2.1339939
60837;Cataluña;flat;Vacio;38000.0;25.0;1;2.0;41.372699;2.1335404
60838;Cataluña;flat;Vacio;41000.0;25.0;1;2.0;41.3696227;2.1370939
60846;Cataluña;flat;Vacio;55000.0;25.0;1;3.0;41.2373133;1.8232404
60850;Cataluña;flat;Vacio;135000.0;25.0;1;7.0;41.3837731;2.1668616
60853;Cataluña;flat;Vacio;65000.0;25.0;1;2.0;41.5852318;2.5720274
60858;Cataluña;flat;Vacio;87500.0;25.0;1;6.0;41.4065954;2.1447557
60862;Cataluña;flat;Vacio;52300.0;26.0;1;6.0;41.61644;2.6529836
60878;Cataluña;flat;Vacio;36300.0;27.0;1;4.0;41.784977;3.039672
60888;Cataluña;flat;Vacio;36300.0;27.0;1;0.0;41.7870237;3.031559
60891;Cataluña;flat;Vacio;38000.0;27.0;1;5.0;41.5835318;2.5720274
60892;Cataluña;flat;Vacio;45000.0;27.0;1;3.0;41.5892734;2.5823886
60895;Cataluña;flat;Vacio;54000.0;27.0;1;2.0;41.4156655;2.1871757
60899;Cataluña;flat;Vacio;32300.0;28.0;1;4.0;40.6202826;0.5955453
60909;Cataluña;flat;Vacio;69900.0;28.0;1;7.0;42.2404325;3.1203314
60915;Cataluña;flat;Vacio;60000.0;28.0;1;3.0;41.2037419;1.6809411
60926;Cataluña;flat;Vacio;100000.0;28.0;1;0.0;42.249703;3.1979384
60944;Cataluña;flat;Vacio;76258.0;29.0;1;4.0;41.8094797;3.0640367
60954;Cataluña;flat;Vacio;70400.0;29.0;1;0.0;41.4474286;2.1738667
60960;Cataluña;flat;Vacio;95000.0;29.0;1;0.0;41.23661;1.80628
60964;Cataluña;flat;Vacio;77500.0;30.0;1;6.0;42.0513162;3.1878971
60968;Cataluña;flat;Vacio;120000.0;30.0;1;3.0;41.5481344;2.4260993
60969;Cataluña;flat;Vacio;152100.0;30.0;1;3.0;41.382434;2.190561
60978;Cataluña;flat;Vacio;54000.0;30.0;1;3.0;41.085493;1.186711
60999;Cataluña;flat;Vacio;60852.0;30.0;1;0.0;41.9121594;3.1579419
61019;Cataluña;flat;Vacio;39000.0;30.0;1;12.0;42.2385909;3.1247282
61021;Cataluña;flat;Vacio;90000.0;30.0;1;2.0;41.3725046;2.1297964
61029;Cataluña;flat;Vacio;42000.0;30.0;1;8.0;41.0866384;1.1848378
61048;Cataluña;flat;Vacio;80000.0;30.0;1;4.0;41.6672546;2.7821781
61049;Cataluña;flat;Vacio;46000.0;30.0;1;3.0;41.67002;2.77277
61065;Cataluña;flat;Vacio;64000.0;30.0;1;7.0;41.3559416;2.1007075
61075;Cataluña;flat;Vacio;99000.0;30.0;1;2.0;41.3750064;2.1551548
61077;Cataluña;flat;Vacio;48000.0;30.0;1;2.0;41.7928008;3.0197451
61083;Cataluña;flat;Vacio;115000.0;30.0;1;0.0;41.3856861;2.1851901
61096;Cataluña;flat;Vacio;129000.0;30.0;1;2.0;41.267232;1.9719342
61111;Cataluña;flat;Vacio;145000.0;30.0;1;2.0;41.3821167;2.1901193
61123;Cataluña;flat;Vacio;56595.0;30.65;1;3.0;41.8567231;2.2294117
61135;Cataluña;flat;Vacio;70000.0;31.0;1;9.0;42.2394815;3.1187658
61142;Cataluña;flat;Vacio;128101.0;31.0;1;2.0;41.0586971;1.1650117
61143;Cataluña;flat;Vacio;92462.0;31.0;1;0.0;41.0618971;1.1650117
61162;Cataluña;flat;Vacio;159000.0;31.0;1;0.0;41.3828567;2.187143
61167;Cataluña;flat;Vacio;34000.0;31.0;1;3.0;41.6121713;1.8450687
61169;Cataluña;flat;Vacio;61425.0;31.59;1;4.0;41.8567231;2.2294117
61171;Cataluña;flat;Vacio;147100.0;32.0;1;3.0;41.3868425;2.1688163
61174;Cataluña;flat;Vacio;39000.0;32.0;1;5.0;41.1533812;1.111778
61176;Cataluña;flat;Vacio;50000.0;32.0;1;2.0;42.2775407;3.1467704
61186;Cataluña;flat;Vacio;110000.0;32.0;1;4.0;41.8124608;3.0618552
61224;Cataluña;flat;Vacio;45000.0;32.0;1;4.0;41.6745665;2.7908834
61225;Cataluña;flat;Vacio;150000.0;32.0;1;3.0;41.4022498;2.148354
61233;Cataluña;flat;Vacio;210000.0;32.0;1;0.0;41.3805385;2.1917834
61234;Cataluña;flat;Vacio;129500.0;32.0;1;0.0;41.379083;2.191079
61252;Cataluña;flat;Vacio;28000.0;33.0;1;0.0;40.72221;0.72754
61283;Cataluña;flat;Vacio;70000.0;33.0;1;2.0;41.438622;2.1829267
61309;Cataluña;flat;Vacio;199000.0;33.0;1;0.0;41.4069726;2.1800641
61317;Cataluña;flat;Vacio;150000.0;33.0;1;3.0;41.3794455;2.1860249
61321;Cataluña;flat;Vacio;65000.0;33.0;1;5.0;41.5431193;1.894901
61322;Cataluña;flat;Vacio;120000.0;33.0;1;8.0;41.3814451;2.1881836
61323;Cataluña;flat;Vacio;125000.0;33.0;1;2.0;41.3806105;2.1927857
61327;Cataluña;flat;Vacio;80000.0;33.0;1;0.0;41.378172;2.190123
61328;Cataluña;flat;Vacio;120000.0;33.0;1;0.0;41.378172;2.190123
61329;Cataluña;flat;Vacio;118000.0;33.0;1;0.0;41.378172;2.190123
61330;Cataluña;flat;Vacio;127000.0;33.0;1;0.0;41.378172;2.190123
61331;Cataluña;flat;Vacio;120000.0;33.0;1;0.0;41.378172;2.190123
61332;Cataluña;flat;Vacio;118000.0;33.0;1;0.0;41.380172;2.191223
61333;Cataluña;flat;Vacio;159000.0;33.0;1;0.0;41.378172;2.190123
61337;Cataluña;flat;Vacio;75000.0;33.0;1;0.0;42.261577;3.176187
61343;Cataluña;flat;Vacio;175000.0;33.0;1;3.0;41.3794578;2.1911205
61344;Cataluña;flat;Vacio;150000.0;33.0;1;2.0;41.3789429;2.1891553
61356;Cataluña;flat;Vacio;26000.0;34.0;1;3.0;41.7298959;0.4364834
61376;Cataluña;flat;Vacio;74000.0;34.0;1;4.0;42.2384968;3.1232737
61385;Cataluña;flat;Vacio;73900.0;34.0;1;3.0;41.0620242;1.1629945
61406;Cataluña;flat;Vacio;109260.0;34.0;1;5.0;41.5454178;1.8996717
61410;Cataluña;flat;Vacio;52000.0;34.0;1;3.0;41.8336606;1.7527729
61411;Cataluña;flat;Vacio;52000.0;34.0;1;4.0;41.8327606;1.7487729
61412;Cataluña;flat;Vacio;52000.0;34.0;1;5.0;41.8304606;1.7495729
61413;Cataluña;flat;Vacio;37400.0;34.0;1;3.0;42.402813;3.1519195
61443;Cataluña;flat;Vacio;155000.0;35.0;1;4.0;41.3835636;2.1903036
61444;Cataluña;flat;Vacio;95000.0;35.0;1;5.0;41.539947;2.1085734
61445;Cataluña;flat;Vacio;49000.0;35.0;1;2.0;41.389001;2.0444425
61451;Cataluña;flat;Vacio;48909.0;35.0;1;2.0;41.7224657;1.8234639
61463;Cataluña;flat;Vacio;58734.0;35.0;1;0.0;41.8228313;2.8963621
61470;Cataluña;flat;Vacio;75000.0;35.0;1;4.0;42.1137969;3.1317775
61471;Cataluña;flat;Vacio;95000.0;35.0;1;6.0;41.3900922;2.1767667
61472;Cataluña;flat;Vacio;78919.0;35.0;1;3.0;41.2610969;1.7735176
61482;Cataluña;flat;Vacio;150000.0;35.0;1;4.0;41.3798433;2.1871721
61514;Cataluña;flat;Vacio;135000.0;35.0;1;2.0;41.8088002;2.9993472
61515;Cataluña;flat;Vacio;110000.0;35.0;1;3.0;41.7625679;2.9792268
61565;Cataluña;flat;Vacio;65000.0;35.0;1;12.0;42.2417337;3.1244434
61576;Cataluña;flat;Vacio;150000.0;35.0;1;4.0;41.2500737;1.7978362
61586;Cataluña;flat;Vacio;32300.0;35.0;1;4.0;40.6202826;0.5955453
61592;Cataluña;flat;Vacio;114456.0;35.0;1;3.0;41.1492406;1.1062402
61593;Cataluña;flat;Vacio;70000.0;35.0;1;6.0;41.3677;2.1289758
61603;Cataluña;flat;Vacio;110000.0;35.0;1;5.0;41.8493631;3.1104456
61607;Cataluña;flat;Vacio;110000.0;35.0;1;2.0;41.6685497;2.7832789
61608;Cataluña;flat;Vacio;78000.0;35.0;1;6.0;41.6996856;2.8466485
61609;Cataluña;flat;Vacio;106000.0;35.0;1;3.0;41.6670151;2.7841293
61610;Cataluña;flat;Vacio;156000.0;35.0;1;11.0;41.6626976;2.7824182
61620;Cataluña;flat;Vacio;95000.0;35.0;1;4.0;41.3809262;2.1643729
61625;Cataluña;flat;Vacio;60000.0;35.0;1;3.0;41.5544231;1.6099086
61629;Cataluña;flat;Vacio;182000.0;35.0;1;5.0;41.3749524;2.1884794
