index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32493;Cataluña;garage;Vacio;12000.0;0.0;0;0.0;41.3715292;2.1434489
32494;Cataluña;garage;Vacio;13000.0;0.0;0;0.0;41.406631;2.1568309
32495;Cataluña;garage;Vacio;12000.0;0.0;0;0.0;41.3168073;2.0262703
32496;Cataluña;garage;Vacio;12000.0;0.0;0;0.0;41.3551373;2.1033606
32497;Cataluña;garage;Vacio;5000.0;0.0;0;0.0;41.4030812;2.1797571
32498;Cataluña;garage;Vacio;20000.0;0.0;0;0.0;41.4319886;2.1613457
32499;Cataluña;garage;Vacio;13000.0;0.0;0;0.0;41.3736052;2.1222905
32500;Cataluña;garage;Vacio;21000.0;0.0;0;0.0;41.3581844;2.0733812
32501;Cataluña;garage;Vacio;16000.0;0.0;0;0.0;41.3662884;2.1281644
32502;Cataluña;garage;Vacio;12000.0;0.0;0;0.0;41.6058292;2.2929169
32503;Cataluña;garage;Vacio;21000.0;0.0;0;0.0;41.385103;2.1454265
32504;Cataluña;garage;Vacio;15000.0;0.0;0;0.0;41.5555748;2.2696156
32505;Cataluña;garage;Vacio;14000.0;0.0;0;0.0;41.3862275;2.1454887
32506;Cataluña;garage;Vacio;24000.0;0.0;0;0.0;41.5559084;2.1586097
32507;Cataluña;garage;Vacio;15000.0;0.0;0;0.0;41.416859;2.1883333
32508;Cataluña;garage;Vacio;9500.0;0.0;0;0.0;41.3719687;2.0882629
32509;Cataluña;garage;Vacio;16000.0;0.0;0;0.0;41.3693328;2.0880885
32510;Cataluña;garage;Vacio;5500.0;0.0;0;0.0;41.4560809;1.9612174
32514;Cataluña;garage;Vacio;122260.0;0.0;0;0.0;41.3556697;2.0720338
32522;Cataluña;garage;Vacio;31000.0;0.0;0;0.0;41.0671887;1.0798189
32523;Cataluña;garage;Vacio;23000.0;0.0;0;0.0;41.0692152;1.0560937
32528;Cataluña;garage;Vacio;14000.0;0.0;0;2.0;41.2794143;1.9749302
32529;Cataluña;garage;Vacio;110000.0;0.0;0;2.0;41.2862189;1.9863077
32530;Cataluña;garage;Vacio;12000.0;0.0;0;2.0;41.2820161;1.9748294
32531;Cataluña;garage;Vacio;23320.0;0.0;0;2.0;41.2899161;1.9852928
32532;Cataluña;garage;Vacio;39000.0;0.0;0;2.0;41.2828926;1.9801364
32533;Cataluña;garage;Vacio;17000.0;0.0;0;2.0;41.2902189;1.9858077
32534;Cataluña;garage;Vacio;14000.0;0.0;0;2.0;41.2817122;1.9833702
32540;Cataluña;garage;Vacio;17500.0;0.0;0;0.0;41.3903263;2.1740491
32541;Cataluña;garage;Vacio;23500.0;0.0;0;0.0;41.3971121;2.1529161
32542;Cataluña;garage;Vacio;8500.0;0.0;0;0.0;41.2601066;1.7681407
32543;Cataluña;garage;Vacio;16000.0;0.0;0;0.0;41.4109724;2.1388377
32545;Cataluña;garage;Vacio;13000.0;0.0;0;0.0;41.4169767;2.1805809
32546;Cataluña;garage;Vacio;23000.0;0.0;0;0.0;41.4163799;2.0127
32547;Cataluña;garage;Vacio;21500.0;0.0;0;0.0;41.3808241;2.1590949
32590;Cataluña;garage;Vacio;110000.0;0.0;0;0.0;42.1038127;1.8494961
32591;Cataluña;garage;Vacio;4000.0;0.0;0;0.0;42.2354895;1.8772732
32608;Cataluña;garage;Vacio;15000.0;0.0;0;0.0;41.452706;2.2084836
32609;Cataluña;garage;Vacio;28500.0;0.0;0;0.0;41.3942451;2.1948342
32610;Cataluña;garage;Vacio;28600.0;0.0;0;0.0;41.406427;2.1695688
32650;Cataluña;garage;Vacio;27500.0;0.0;0;0.0;41.3877573;2.1383524
32651;Cataluña;garage;Vacio;11000.0;0.0;0;0.0;41.3914656;2.1959916
32653;Cataluña;garage;Vacio;7200.0;0.0;0;0.0;42.1767228;2.4819416
32662;Cataluña;garage;Vacio;28000.0;0.0;0;0.0;41.4028561;2.147879
32675;Cataluña;garage;Vacio;25000.0;0.0;0;2.0;42.2604617;3.181732
32680;Cataluña;garage;Vacio;32000.0;0.0;0;0.0;41.3753129;2.1408284
32681;Cataluña;garage;Vacio;36000.0;0.0;0;0.0;41.3753129;2.1408284
32682;Cataluña;garage;Vacio;15000.0;0.0;0;0.0;41.3751572;2.1289252
32695;Cataluña;garage;Vacio;12000.0;0.0;0;2.0;41.53969;2.1053686
32698;Cataluña;garage;Vacio;12000.0;0.0;0;2.0;41.53569;2.1056686
32772;Cataluña;garage;Vacio;6000.0;0.0;0;0.0;41.5146334;2.3580011
32793;Cataluña;garage;Vacio;3000.0;0.0;0;0.0;41.5331458;2.436958
32794;Cataluña;garage;Vacio;11000.0;0.0;0;0.0;41.3867166;2.167919
