index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
5473;Cataluña;house;Vacio;36000.0;56.0;0;0.0;41.7812646;2.7119092
7690;Cataluña;house;Vacio;75000.0;70.0;0;0.0;41.5613078;2.016079
14076;Cataluña;house;Vacio;147000.0;117.0;0;0.0;41.5671368;2.0241363
14487;Cataluña;house;Vacio;175000.0;120.0;0;0.0;41.600318;2.287815
14802;Cataluña;house;Vacio;110000.0;123.0;0;0.0;41.5746852;2.0197797
15442;Cataluña;house;Vacio;179000.0;130.0;0;0.0;41.5688482;2.0104066
15737;Cataluña;house;Vacio;179000.0;133.0;0;0.0;41.5648482;2.0105066
15996;Cataluña;house;Vacio;100000.0;135.0;0;0.0;41.5726852;2.0190797
17760;Cataluña;house;Vacio;175000.0;155.0;0;0.0;41.0982426;0.887659
18710;Cataluña;house;Vacio;255000.0;166.0;0;0.0;41.553862;2.1088245
18882;Cataluña;house;Vacio;129000.0;170.0;0;0.0;41.5470256;1.9946466
19845;Cataluña;house;Vacio;255000.0;183.0;0;0.0;41.53636;2.11523
20672;Cataluña;house;Vacio;180000.0;200.0;0;0.0;41.5647823;2.0125781
23685;Cataluña;house;Vacio;101000.0;261.0;0;0.0;41.557826;2.0073311
26041;Cataluña;house;Vacio;400000.0;360.0;0;0.0;41.5418408;2.1086156
27175;Cataluña;house;Vacio;450000.0;437.0;0;0.0;41.5455957;2.1017391
27496;Cataluña;house;Vacio;210000.0;466.0;0;0.0;41.5672149;2.013744
28003;Cataluña;house;Vacio;250000.0;513.0;0;0.0;41.5742443;2.0137782
28196;Cataluña;house;Vacio;210000.0;540.0;0;0.0;41.8735688;2.2892359
30842;Cataluña;house;Vacio;212100.0;1250.0;0;0.0;41.2032772;1.0941229
30984;Cataluña;house;Vacio;300000.0;1366.0;0;0.0;41.5685149;2.017744
61396;Cataluña;house;Vacio;86000.0;34.0;1;0.0;41.0755903;1.1455087
62373;Cataluña;house;Vacio;315000.0;40.0;1;0.0;41.2658808;1.9447163
62387;Cataluña;house;Vacio;69000.0;40.0;1;0.0;41.84099;2.73642
62539;Cataluña;house;Vacio;57000.0;40.0;1;2.0;42.34269;1.9582
63526;Cataluña;house;Vacio;118000.0;41.0;1;0.0;41.5670173;2.3750871
69040;Cataluña;house;Vacio;204000.0;50.0;1;0.0;41.5630663;2.021325
80094;Cataluña;house;Vacio;147000.0;75.0;1;0.0;41.4924653;2.2920817
80859;Cataluña;house;Vacio;96000.0;80.0;1;0.0;41.7359449;1.8239885
82157;Cataluña;house;Vacio;500000.0;110.0;1;0.0;41.9670642;3.1498136
82406;Cataluña;house;Vacio;84100.0;120.0;1;0.0;41.5574552;2.0162545
82718;Cataluña;house;Vacio;147200.0;170.0;1;0.0;41.5342276;1.8361004
