index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
4269;Cataluña;house;independent;18000.0;50.0;0;0.0;41.4099202;1.2291382
9541;Cataluña;house;independent;51000.0;80.0;0;0.0;41.5241104;2.1127087
10475;Cataluña;house;independent;40000.0;88.0;0;0.0;41.3723604;1.1618061
10826;Cataluña;house;independent;60000.0;90.0;0;0.0;42.0580701;3.0444297
12176;Cataluña;house;independent;300000.0;100.0;0;0.0;41.9238934;3.167384
17337;Cataluña;house;independent;140000.0;150.0;0;0.0;42.0807801;3.0570644
19232;Cataluña;house;independent;140000.0;174.0;0;0.0;40.6160971;0.5899772
19639;Cataluña;house;independent;155000.0;180.0;0;0.0;41.9767764;2.9983872
23882;Cataluña;house;independent;750000.0;270.0;0;0.0;41.4197612;2.1421757
24946;Cataluña;house;independent;215000.0;307.0;0;2.0;41.5387156;2.4475723
25640;Cataluña;house;independent;140000.0;340.0;0;0.0;42.3844379;2.7459827
25902;Cataluña;house;independent;139000.0;350.0;0;0.0;41.7276065;2.8215787
26003;Cataluña;house;independent;50000.0;359.0;0;0.0;41.5513204;0.8243929
27538;Cataluña;house;independent;378000.0;470.0;0;0.0;42.0655943;3.0484185
27850;Cataluña;house;independent;565000.0;500.0;0;0.0;41.9537692;3.0326313
27852;Cataluña;house;independent;960000.0;500.0;0;0.0;42.1217272;3.1328816
28083;Cataluña;house;independent;395000.0;525.0;0;0.0;41.5482809;2.1112175
28682;Cataluña;house;independent;320000.0;600.0;0;0.0;41.8189305;2.719398
29393;Cataluña;house;independent;420000.0;735.0;0;0.0;41.6157084;2.6649067
60827;Cataluña;house;independent;85000.0;25.0;1;0.0;41.2842411;1.7221013
61040;Cataluña;house;independent;19900.0;30.0;1;0.0;41.6458293;1.1412689
61832;Cataluña;house;independent;36000.0;36.0;1;2.0;42.3648;2.83675
62580;Cataluña;house;independent;36900.0;40.0;1;0.0;41.0388153;0.6328748
63023;Cataluña;house;independent;120000.0;40.0;1;0.0;41.58899;1.91893
63788;Cataluña;house;independent;50000.0;42.0;1;2.0;41.638527;2.6581769
64902;Cataluña;house;independent;76650.0;45.0;1;2.0;41.486751;1.40495
66086;Cataluña;house;independent;85000.0;46.0;1;2.0;41.5318995;1.8371369
66830;Cataluña;house;independent;175000.0;48.0;1;2.0;41.4521848;2.225312
67324;Cataluña;house;independent;109000.0;49.0;1;2.0;41.667103;2.2114859
68151;Cataluña;house;independent;190000.0;50.0;1;0.0;41.4721813;2.0812645
68314;Cataluña;house;independent;79000.0;50.0;1;0.0;41.7396967;2.8236966
68660;Cataluña;house;independent;109000.0;50.0;1;0.0;41.6784259;2.2279661
68911;Cataluña;house;independent;97200.0;50.0;1;0.0;41.4218829;2.1591635
69468;Cataluña;house;independent;190000.0;50.0;1;0.0;41.4701813;2.0815645
72267;Cataluña;house;independent;110000.0;55.0;1;0.0;41.2262219;1.7199222
73652;Cataluña;house;independent;45000.0;58.0;1;2.0;41.6181;0.73586
73653;Cataluña;house;independent;61400.0;58.0;1;2.0;41.3082188;1.6491608
74308;Cataluña;house;independent;105243.0;60.0;1;3.0;41.7708866;2.7035055
