index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32664;Comunidad Foral de Navarra;land;Vacio;323706.0;0.0;0;0.0;42.6163197;-1.2769255
32665;Comunidad Foral de Navarra;land;Vacio;60000.0;0.0;0;0.0;42.9877461;-1.8937495
40515;Comunidad Foral de Navarra;land;Vacio;455232.0;0.0;0;0.0;42.0229777;-1.5704938
44139;Comunidad Foral de Navarra;land;Vacio;55000.0;0.0;0;0.0;42.8881569;-1.6090568
44140;Comunidad Foral de Navarra;land;Vacio;80000.0;0.0;0;0.0;42.9065919;-1.0880224
44380;Comunidad Foral de Navarra;land;Vacio;180000.0;0.0;0;0.0;42.5257786;-1.6826999
44381;Comunidad Foral de Navarra;land;Vacio;60000.0;0.0;0;0.0;42.5621944;-1.649291
44382;Comunidad Foral de Navarra;land;Vacio;25000.0;0.0;0;0.0;42.5255995;-1.6774758
45596;Comunidad Foral de Navarra;land;Vacio;60000.0;0.0;0;0.0;42.72291;-1.91589
45597;Comunidad Foral de Navarra;land;Vacio;84000.0;0.0;0;0.0;42.4804482;-1.9728712
46091;Comunidad Foral de Navarra;land;Vacio;18000.0;0.0;0;0.0;42.774901;-1.8900793
46092;Comunidad Foral de Navarra;land;Vacio;80000.0;0.0;0;0.0;42.6749395;-1.2426385
46395;Comunidad Foral de Navarra;land;Vacio;106000.0;0.0;0;0.0;42.8340774;-1.5783954
46995;Comunidad Foral de Navarra;land;Vacio;300000.0;0.0;0;0.0;42.8287043;-1.5568695
47007;Comunidad Foral de Navarra;land;Vacio;150000.0;0.0;0;0.0;42.7197115;-1.9380883
47008;Comunidad Foral de Navarra;land;Vacio;300000.0;0.0;0;0.0;42.8467405;-1.7787766
51389;Comunidad Foral de Navarra;land;Vacio;35000.0;0.0;0;0.0;43.0070457;-1.8963922
51776;Comunidad Foral de Navarra;land;Vacio;490000.0;0.0;0;0.0;42.8201084;-1.6512062
51777;Comunidad Foral de Navarra;land;Vacio;40000.0;0.0;0;0.0;42.607579;-1.4072003
51778;Comunidad Foral de Navarra;land;Vacio;300000.0;0.0;0;0.0;42.9688673;-1.6865326
51941;Comunidad Foral de Navarra;land;Vacio;42000.0;0.0;0;0.0;42.8079175;-1.6747278
52154;Comunidad Foral de Navarra;land;Vacio;52800.0;0.0;0;2.0;42.3428858;-1.807899
52155;Comunidad Foral de Navarra;land;Vacio;150253.0;0.0;0;2.0;42.3368729;-1.7966343
52156;Comunidad Foral de Navarra;land;Vacio;65000.0;0.0;0;2.0;42.3255813;-1.7390231
