index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
5974;Comunidad Valenciana;countryHouse;Vacio;45000.0;60.0;0;0.0;38.8171039;0.0296224
13351;Comunidad Valenciana;countryHouse;Vacio;24000.0;110.0;0;0.0;40.1341605;-0.2877915
20217;Comunidad Valenciana;countryHouse;Vacio;33000.0;190.0;0;0.0;40.1541555;-0.1637284
61042;Comunidad Valenciana;countryHouse;Vacio;23000.0;30.0;1;0.0;39.3884595;-0.7137137
61628;Comunidad Valenciana;countryHouse;Vacio;33000.0;35.0;1;0.0;38.2184456;-0.6503874
64917;Comunidad Valenciana;countryHouse;Vacio;60000.0;45.0;1;0.0;40.0444219;-0.0655893
65518;Comunidad Valenciana;countryHouse;Vacio;31300.0;45.0;1;2.0;37.97893;-0.78729
67305;Comunidad Valenciana;countryHouse;Vacio;48000.0;49.0;1;0.0;38.6756766;-0.2281161
78888;Comunidad Valenciana;countryHouse;Vacio;59900.0;70.0;1;0.0;39.2046769;-0.3139295
87292;Comunidad Valenciana;countryHouse;Vacio;53000.0;53.0;2;2.0;39.5024296;-0.4161521
90503;Comunidad Valenciana;countryHouse;Vacio;43000.0;57.0;2;2.0;39.5033589;-0.4124621
101803;Comunidad Valenciana;countryHouse;Vacio;58239.0;65.0;2;2.0;39.4820885;-0.3619151
101903;Comunidad Valenciana;countryHouse;Vacio;50000.0;65.0;2;2.0;39.0235176;-0.4206692
126841;Comunidad Valenciana;countryHouse;Vacio;124000.0;78.0;2;0.0;38.8441979;0.099759
130272;Comunidad Valenciana;countryHouse;Vacio;90000.0;80.0;2;0.0;38.81624;0.12737
138314;Comunidad Valenciana;countryHouse;Vacio;75000.0;85.0;2;0.0;40.1133568;-0.0539838
139058;Comunidad Valenciana;countryHouse;Vacio;62000.0;85.0;2;0.0;39.9014747;-0.7455078
153511;Comunidad Valenciana;countryHouse;Vacio;110000.0;100.0;2;2.0;38.6195939;-0.1198594
154274;Comunidad Valenciana;countryHouse;Vacio;45000.0;102.0;2;2.0;38.8732281;-0.7491559
158776;Comunidad Valenciana;countryHouse;Vacio;186000.0;117.0;2;2.0;39.500028;-0.4233739
162748;Comunidad Valenciana;countryHouse;Vacio;250000.0;141.0;2;0.0;38.8060378;0.1944506
163024;Comunidad Valenciana;countryHouse;Vacio;239000.0;145.0;2;0.0;38.7431805;0.0148917
164437;Comunidad Valenciana;countryHouse;Vacio;39000.0;172.0;2;0.0;40.19907;-0.4184
165633;Comunidad Valenciana;countryHouse;Vacio;64000.0;247.0;2;2.0;38.9937962;-0.5596314
167312;Comunidad Valenciana;countryHouse;Vacio;69000.0;56.0;3;0.0;38.8411783;-0.1201298
168696;Comunidad Valenciana;countryHouse;Vacio;83000.0;60.0;3;0.0;38.0572991;-0.6560164
172218;Comunidad Valenciana;countryHouse;Vacio;50000.0;66.0;3;2.0;39.5093345;-0.415239
178732;Comunidad Valenciana;countryHouse;Vacio;65000.0;72.0;3;0.0;39.5732611;-0.4605303
181850;Comunidad Valenciana;countryHouse;Vacio;49000.0;75.0;3;2.0;38.9854847;-0.5715022
188887;Comunidad Valenciana;countryHouse;Vacio;125000.0;80.0;3;0.0;40.360282;0.3903164
192439;Comunidad Valenciana;countryHouse;Vacio;94000.0;80.0;3;2.0;38.5349818;-0.8190677
208237;Comunidad Valenciana;countryHouse;Vacio;74000.0;90.0;3;0.0;40.3024608;0.2272581
214275;Comunidad Valenciana;countryHouse;Vacio;65630.0;90.0;3;2.0;39.4056162;-0.4998945
225456;Comunidad Valenciana;countryHouse;Vacio;169000.0;96.0;3;0.0;38.8052677;0.178932
225702;Comunidad Valenciana;countryHouse;Vacio;140000.0;96.0;3;0.0;38.5810552;-0.1303463
225771;Comunidad Valenciana;countryHouse;Vacio;79000.0;96.0;3;2.0;38.5673916;-0.212655
232261;Comunidad Valenciana;countryHouse;Vacio;240000.0;100.0;3;0.0;38.81022;0.16873
233197;Comunidad Valenciana;countryHouse;Vacio;100000.0;100.0;3;2.0;39.0425767;-0.4828882
233506;Comunidad Valenciana;countryHouse;Vacio;75000.0;100.0;3;0.0;39.1585969;-0.3810933
234707;Comunidad Valenciana;countryHouse;Vacio;69000.0;100.0;3;0.0;39.5979272;-0.5881845
241359;Comunidad Valenciana;countryHouse;Vacio;90000.0;104.0;3;0.0;38.1085124;-0.7915694
250261;Comunidad Valenciana;countryHouse;Vacio;180000.0;110.0;3;2.0;39.5016489;-0.419663
255698;Comunidad Valenciana;countryHouse;Vacio;189000.0;113.0;3;0.0;38.5631109;-0.2131538
256401;Comunidad Valenciana;countryHouse;Vacio;74100.0;114.0;3;0.0;39.1955908;-0.3669508
259704;Comunidad Valenciana;countryHouse;Vacio;33000.0;116.0;3;2.0;38.8706891;-0.7537872
265114;Comunidad Valenciana;countryHouse;Vacio;85000.0;120.0;3;2.0;39.5399061;-0.4040384
269530;Comunidad Valenciana;countryHouse;Vacio;70000.0;125.0;3;2.0;39.46897;-0.43828
272053;Comunidad Valenciana;countryHouse;Vacio;100000.0;130.0;3;0.0;39.7020932;-0.3348863
272907;Comunidad Valenciana;countryHouse;Vacio;160000.0;130.0;3;2.0;39.501467;-0.348181
274227;Comunidad Valenciana;countryHouse;Vacio;99000.0;132.0;3;0.0;38.8374856;0.1093555
276556;Comunidad Valenciana;countryHouse;Vacio;170000.0;136.0;3;0.0;39.5137356;-0.3565797
282253;Comunidad Valenciana;countryHouse;Vacio;277000.0;150.0;3;0.0;38.0577838;-0.7093243
282898;Comunidad Valenciana;countryHouse;Vacio;74000.0;150.0;3;0.0;38.6440672;-0.8716896
284409;Comunidad Valenciana;countryHouse;Vacio;215000.0;152.0;3;2.0;39.4965253;-0.4235226
284585;Comunidad Valenciana;countryHouse;Vacio;130000.0;153.0;3;0.0;38.783029;0.0868986
288872;Comunidad Valenciana;countryHouse;Vacio;117596.0;169.0;3;0.0;38.6076599;-0.2743195
296156;Comunidad Valenciana;countryHouse;Vacio;65000.0;201.0;3;2.0;38.8763203;-0.7511465
298473;Comunidad Valenciana;countryHouse;Vacio;200000.0;223.0;3;0.0;38.7357874;0.2069321
299218;Comunidad Valenciana;countryHouse;Vacio;186000.0;230.0;3;2.0;39.0032031;-0.1812724
299719;Comunidad Valenciana;countryHouse;Vacio;95000.0;239.0;3;2.0;39.04658;-0.66257
300757;Comunidad Valenciana;countryHouse;Vacio;119000.0;250.0;3;0.0;39.6395704;-0.6259748
301461;Comunidad Valenciana;countryHouse;Vacio;350000.0;255.0;3;2.0;39.5323307;-0.3426546
303150;Comunidad Valenciana;countryHouse;Vacio;550000.0;296.0;3;0.0;38.7880366;0.1437015
304007;Comunidad Valenciana;countryHouse;Vacio;390000.0;320.0;3;2.0;39.4978578;-0.3523683
304065;Comunidad Valenciana;countryHouse;Vacio;365000.0;324.0;3;0.0;38.7949821;0.1660169
304222;Comunidad Valenciana;countryHouse;Vacio;300000.0;331.0;3;0.0;38.7399337;0.1381008
304251;Comunidad Valenciana;countryHouse;Vacio;590000.0;334.0;3;0.0;38.796679;0.03559
304255;Comunidad Valenciana;countryHouse;Vacio;255000.0;334.0;3;2.0;39.5010215;-0.4204193
305019;Comunidad Valenciana;countryHouse;Vacio;1150000.0;400.0;3;0.0;38.7533365;0.1698052
305358;Comunidad Valenciana;countryHouse;Vacio;389000.0;450.0;3;2.0;38.6425448;0.0413262
333332;Comunidad Valenciana;countryHouse;Vacio;75000.0;140.0;4;2.0;38.999551;-0.58747
333663;Comunidad Valenciana;countryHouse;Vacio;169900.0;140.0;4;0.0;38.0612503;-0.9641712
334561;Comunidad Valenciana;countryHouse;Vacio;338000.0;141.0;4;2.0;39.5069037;-0.4212675
336966;Comunidad Valenciana;countryHouse;Vacio;400000.0;150.0;4;0.0;38.7581738;0.1944773
337624;Comunidad Valenciana;countryHouse;Vacio;85000.0;150.0;4;2.0;38.9642878;-0.5844192
337785;Comunidad Valenciana;countryHouse;Vacio;55000.0;150.0;4;0.0;39.6080692;-0.7761696
344066;Comunidad Valenciana;countryHouse;Vacio;120000.0;170.0;4;2.0;38.8734265;-0.7566912
350593;Comunidad Valenciana;countryHouse;Vacio;190000.0;200.0;4;0.0;40.4759605;0.4613784
354717;Comunidad Valenciana;countryHouse;Vacio;265000.0;216.0;4;0.0;38.775621;0.0766416
358051;Comunidad Valenciana;countryHouse;Vacio;131000.0;237.0;4;2.0;38.6295004;-0.6735234
359915;Comunidad Valenciana;countryHouse;Vacio;525000.0;250.0;4;0.0;38.8187361;-0.0398616
360544;Comunidad Valenciana;countryHouse;Vacio;165000.0;250.0;4;0.0;39.5559317;-0.4388121
363066;Comunidad Valenciana;countryHouse;Vacio;52000.0;274.0;4;2.0;38.8075311;-0.8820271
364107;Comunidad Valenciana;countryHouse;Vacio;205000.0;284.0;4;2.0;39.5034776;-0.4195195
364436;Comunidad Valenciana;countryHouse;Vacio;695000.0;290.0;4;0.0;38.776151;0.08671
367393;Comunidad Valenciana;countryHouse;Vacio;490000.0;328.0;4;0.0;38.839187;0.1012336
367440;Comunidad Valenciana;countryHouse;Vacio;595000.0;330.0;4;0.0;38.7384943;0.1646645
367679;Comunidad Valenciana;countryHouse;Vacio;675000.0;333.0;4;0.0;38.724778;-0.19647
368421;Comunidad Valenciana;countryHouse;Vacio;225000.0;350.0;4;2.0;38.9484129;-0.4856915
368700;Comunidad Valenciana;countryHouse;Vacio;495000.0;353.0;4;2.0;39.5023786;-0.4248152
369766;Comunidad Valenciana;countryHouse;Vacio;850000.0;390.0;4;0.0;38.7957343;0.1094013
372661;Comunidad Valenciana;countryHouse;Vacio;899000.0;692.0;4;2.0;39.5013778;-0.4393677
373226;Comunidad Valenciana;countryHouse;Vacio;85000.0;100.0;5;0.0;39.7414521;-0.3567724
373329;Comunidad Valenciana;countryHouse;Vacio;120000.0;104.0;5;2.0;39.501834;-0.4218105
373735;Comunidad Valenciana;countryHouse;Vacio;49000.0;120.0;5;0.0;39.695294;-0.7060417
373935;Comunidad Valenciana;countryHouse;Vacio;144900.0;124.0;5;3.0;38.3483565;-0.493366
374086;Comunidad Valenciana;countryHouse;Vacio;65000.0;130.0;5;0.0;38.7328673;0.1457022
374754;Comunidad Valenciana;countryHouse;Vacio;240000.0;140.0;5;2.0;39.499667;-0.350681
375862;Comunidad Valenciana;countryHouse;Vacio;125000.0;155.0;5;0.0;40.425517;0.0788239
376098;Comunidad Valenciana;countryHouse;Vacio;39000.0;160.0;5;0.0;38.1040947;-0.7652336
377616;Comunidad Valenciana;countryHouse;Vacio;105000.0;180.0;5;0.0;39.6998224;-0.8178775
378564;Comunidad Valenciana;countryHouse;Vacio;159000.0;190.0;5;2.0;39.02966;-0.589238
379133;Comunidad Valenciana;countryHouse;Vacio;469000.0;199.0;5;0.0;38.7900416;0.128058
379209;Comunidad Valenciana;countryHouse;Vacio;290000.0;200.0;5;0.0;38.131536;-0.65068
380322;Comunidad Valenciana;countryHouse;Vacio;97850.0;209.0;5;2.0;38.9502338;-0.6555453
380879;Comunidad Valenciana;countryHouse;Vacio;310000.0;216.0;5;2.0;39.4998861;-0.4268325
381141;Comunidad Valenciana;countryHouse;Vacio;350000.0;220.0;5;0.0;40.1104144;-0.0535091
381993;Comunidad Valenciana;countryHouse;Vacio;330000.0;230.0;5;0.0;39.51946;-0.4188246
382154;Comunidad Valenciana;countryHouse;Vacio;100000.0;233.0;5;2.0;38.8753595;-0.7514498
382184;Comunidad Valenciana;countryHouse;Vacio;75000.0;234.0;5;2.0;38.946789;-0.4893113
384203;Comunidad Valenciana;countryHouse;Vacio;74000.0;260.0;5;0.0;38.921468;-0.120264
385085;Comunidad Valenciana;countryHouse;Vacio;495000.0;275.0;5;0.0;38.773551;-0.1347339
389009;Comunidad Valenciana;countryHouse;Vacio;250000.0;350.0;5;0.0;38.8048616;0.1949662
389148;Comunidad Valenciana;countryHouse;Vacio;1150000.0;350.0;5;0.0;38.7370354;-0.0059231
392706;Comunidad Valenciana;countryHouse;Vacio;294000.0;462.0;5;2.0;38.3089308;-0.8509586
393378;Comunidad Valenciana;countryHouse;Vacio;600000.0;500.0;5;2.0;38.8716595;-0.7573284
393828;Comunidad Valenciana;countryHouse;Vacio;1400000.0;538.0;5;0.0;38.786764;0.1700707
394133;Comunidad Valenciana;countryHouse;Vacio;1900000.0;575.0;5;0.0;39.6418355;-0.3420034
395256;Comunidad Valenciana;countryHouse;Vacio;179225.0;827.0;5;0.0;38.6696387;-0.8189403
395772;Comunidad Valenciana;countryHouse;Vacio;369000.0;134.0;6;2.0;39.505027;-0.4065125
399013;Comunidad Valenciana;countryHouse;Vacio;360000.0;327.0;6;0.0;40.5525097;0.2414297
401855;Comunidad Valenciana;countryHouse;Vacio;425000.0;540.0;6;0.0;39.50413;-0.40676
402367;Comunidad Valenciana;countryHouse;Vacio;45000.0;612.0;6;2.0;38.877832;-0.751529
402705;Comunidad Valenciana;countryHouse;Vacio;3500000.0;710.0;6;0.0;38.8287988;0.0439229
405010;Comunidad Valenciana;countryHouse;Vacio;400000.0;475.0;7;0.0;40.1541555;-0.1637284
405296;Comunidad Valenciana;countryHouse;Vacio;1975000.0;550.0;7;0.0;38.793979;0.03699
405572;Comunidad Valenciana;countryHouse;Vacio;1390000.0;634.0;7;0.0;38.8555304;0.0145546
405862;Comunidad Valenciana;countryHouse;Vacio;1200000.0;780.0;7;2.0;38.874212;-0.7549294
407221;Comunidad Valenciana;countryHouse;Vacio;382950.0;700.0;8;3.0;38.5860586;-0.3087403
407621;Comunidad Valenciana;countryHouse;Vacio;250000.0;275.0;9;0.0;40.2910019;-0.2921094
407662;Comunidad Valenciana;countryHouse;Vacio;497990.0;316.0;9;0.0;38.5942008;-0.6705774
407685;Comunidad Valenciana;countryHouse;Vacio;1300000.0;330.0;9;2.0;39.505727;-0.4103125
407766;Comunidad Valenciana;countryHouse;Vacio;692000.0;400.0;9;0.0;38.0830203;-0.9421497
408274;Comunidad Valenciana;countryHouse;Vacio;4500000.0;1200.0;9;0.0;38.8018067;0.1747115
408514;Comunidad Valenciana;countryHouse;Vacio;287000.0;463.0;10;2.0;39.5016843;-0.4218399
408747;Comunidad Valenciana;countryHouse;Vacio;420000.0;1000.0;11;2.0;38.7788327;-0.5156406
409030;Comunidad Valenciana;countryHouse;Vacio;2300000.0;1500.0;24;0.0;38.7637455;-0.6109752
