index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
4255;Comunidad Valenciana;flat;duplex;40000.0;50.0;0;Vacio;37.9816057;-0.6683157
9860;Comunidad Valenciana;flat;duplex;317614.0;83.0;0;6.0;39.4716283;-0.3814729
16001;Comunidad Valenciana;flat;duplex;102999.0;135.0;0;Vacio;39.46469;-0.347332
18715;Comunidad Valenciana;flat;duplex;85000.0;166.0;0;Vacio;39.6047046;-0.831427
62561;Comunidad Valenciana;flat;duplex;63000.0;40.0;1;3.0;38.2294874;-0.526042
66267;Comunidad Valenciana;flat;duplex;44000.0;47.0;1;2.0;38.0129569;-0.6831839
66349;Comunidad Valenciana;flat;duplex;44000.0;47.0;1;0.0;38.0138049;-0.6810788
70885;Comunidad Valenciana;flat;duplex;102300.0;54.0;1;4.0;38.8383387;0.1036055
71392;Comunidad Valenciana;flat;duplex;24150.0;55.0;1;4.0;39.1527185;-0.4419875
71466;Comunidad Valenciana;flat;duplex;70000.0;55.0;1;4.0;38.7293014;0.1449672
71545;Comunidad Valenciana;flat;duplex;114000.0;55.0;1;3.0;38.79786;0.18226
71703;Comunidad Valenciana;flat;duplex;43000.0;55.0;1;4.0;37.9859774;-0.6687496
73216;Comunidad Valenciana;flat;duplex;46000.0;57.0;1;2.0;38.0115967;-0.6809165
73519;Comunidad Valenciana;flat;duplex;72300.0;58.0;1;5.0;39.5907367;-0.4576912
74678;Comunidad Valenciana;flat;duplex;88000.0;60.0;1;2.0;38.5315317;-0.1070281
75675;Comunidad Valenciana;flat;duplex;86500.0;60.0;1;4.0;38.8377892;0.1069105
76056;Comunidad Valenciana;flat;duplex;69200.0;62.0;1;5.0;39.5907367;-0.4576912
76582;Comunidad Valenciana;flat;duplex;39000.0;63.0;1;3.0;39.6619674;-0.2221494
76791;Comunidad Valenciana;flat;duplex;54000.0;64.0;1;2.0;40.3864029;0.4009366
77039;Comunidad Valenciana;flat;duplex;90000.0;65.0;1;5.0;39.4817592;-0.3791936
77048;Comunidad Valenciana;flat;duplex;120000.0;65.0;1;Vacio;40.4135269;0.4229163
77102;Comunidad Valenciana;flat;duplex;69950.0;65.0;1;2.0;38.4755727;-0.3153878
77122;Comunidad Valenciana;flat;duplex;120000.0;65.0;1;4.0;39.6159322;-0.3076488
77238;Comunidad Valenciana;flat;duplex;118000.0;65.0;1;6.0;39.4728559;-0.3803958
77685;Comunidad Valenciana;flat;duplex;60000.0;65.0;1;3.0;39.4307368;-0.474373
78087;Comunidad Valenciana;flat;duplex;190000.0;67.0;1;Vacio;39.4749458;-0.379951
78829;Comunidad Valenciana;flat;duplex;105000.0;70.0;1;4.0;39.4628786;-0.3726369
79070;Comunidad Valenciana;flat;duplex;195000.0;70.0;1;3.0;39.469958;-0.3259625
79855;Comunidad Valenciana;flat;duplex;105000.0;75.0;1;4.0;39.4628769;-0.3715228
80197;Comunidad Valenciana;flat;duplex;110000.0;75.0;1;4.0;39.462867;-0.373346
80348;Comunidad Valenciana;flat;duplex;95000.0;77.0;1;3.0;38.3553172;-0.4769766
81250;Comunidad Valenciana;flat;duplex;118000.0;85.0;1;6.0;39.4694559;-0.3786958
81285;Comunidad Valenciana;flat;duplex;280000.0;85.0;1;9.0;39.5051104;-0.4206828
81743;Comunidad Valenciana;flat;duplex;115000.0;95.0;1;5.0;39.4610458;-0.3840549
81754;Comunidad Valenciana;flat;duplex;32100.0;96.0;1;2.0;38.40297;-1.04855
81957;Comunidad Valenciana;flat;duplex;120000.0;100.0;1;Vacio;39.4588994;-0.3371939
81995;Comunidad Valenciana;flat;duplex;331000.0;102.0;1;12.0;39.4811995;-0.357386
82002;Comunidad Valenciana;flat;duplex;33700.0;103.0;1;2.0;38.40297;-1.04855
82010;Comunidad Valenciana;flat;duplex;85500.0;103.0;1;Vacio;39.8168757;-0.4253434
82036;Comunidad Valenciana;flat;duplex;95000.0;104.0;1;3.0;39.4702477;-0.3292051
82038;Comunidad Valenciana;flat;duplex;110000.0;104.0;1;3.0;39.4725477;-0.3290051
82136;Comunidad Valenciana;flat;duplex;35100.0;109.0;1;2.0;38.40297;-1.04855
82209;Comunidad Valenciana;flat;duplex;35000.0;111.0;1;2.0;38.40297;-1.04855
82261;Comunidad Valenciana;flat;duplex;154000.0;113.0;1;Vacio;38.8460399;0.0898634
82288;Comunidad Valenciana;flat;duplex;90000.0;115.0;1;4.0;39.6059304;-0.2690645
82310;Comunidad Valenciana;flat;duplex;93400.0;116.0;1;Vacio;39.5918456;-0.5876357
82398;Comunidad Valenciana;flat;duplex;125000.0;120.0;1;Vacio;39.4251602;-0.3657672
82410;Comunidad Valenciana;flat;duplex;170000.0;120.0;1;3.0;39.4724427;-0.3865844
82556;Comunidad Valenciana;flat;duplex;103000.0;135.0;1;2.0;39.46599;-0.348832
82698;Comunidad Valenciana;flat;duplex;45800.0;161.0;1;2.0;38.40297;-1.04855
82798;Comunidad Valenciana;flat;duplex;380000.0;200.0;1;Vacio;38.5094016;-0.2224265
86408;Comunidad Valenciana;flat;duplex;119000.0;51.0;2;2.0;38.73181;0.14306
86669;Comunidad Valenciana;flat;duplex;51000.0;52.0;2;3.0;37.9643711;-0.7288363
87563;Comunidad Valenciana;flat;duplex;50750.0;54.0;2;2.0;38.000762;-0.6949496
88841;Comunidad Valenciana;flat;duplex;53000.0;55.0;2;2.0;37.9031938;-0.8369251
90025;Comunidad Valenciana;flat;duplex;95000.0;56.0;2;3.0;40.4042647;0.4186821
90026;Comunidad Valenciana;flat;duplex;101000.0;56.0;2;3.0;40.4041993;0.418489
91960;Comunidad Valenciana;flat;duplex;112000.0;59.0;2;4.0;39.4682874;-0.3886949
92035;Comunidad Valenciana;flat;duplex;56000.0;59.0;2;3.0;40.3959267;0.4112094
93247;Comunidad Valenciana;flat;duplex;66000.0;60.0;2;3.0;37.9811939;-0.6930693
93421;Comunidad Valenciana;flat;duplex;48000.0;60.0;2;2.0;38.1939123;-0.5812586
93456;Comunidad Valenciana;flat;duplex;129000.0;60.0;2;2.0;38.8533573;0.0879311
93632;Comunidad Valenciana;flat;duplex;96000.0;60.0;2;3.0;37.931786;-0.7694584
94075;Comunidad Valenciana;flat;duplex;12000.0;60.0;2;2.0;40.3958017;0.4151136
94701;Comunidad Valenciana;flat;duplex;106000.0;60.0;2;3.0;38.0033437;-0.6634866
96707;Comunidad Valenciana;flat;duplex;115500.0;61.0;2;0.0;37.953996;-0.73201
96722;Comunidad Valenciana;flat;duplex;87000.0;61.0;2;2.0;37.9965371;-0.6680291
96753;Comunidad Valenciana;flat;duplex;86300.0;61.0;2;2.0;37.9933795;-0.6708153
96779;Comunidad Valenciana;flat;duplex;87000.0;61.0;2;0.0;38.6151149;-0.1055454
96951;Comunidad Valenciana;flat;duplex;49000.0;61.0;2;2.0;38.067131;-0.7802886
97279;Comunidad Valenciana;flat;duplex;46000.0;62.0;2;2.0;38.0917616;-0.7286874
97823;Comunidad Valenciana;flat;duplex;90000.0;62.0;2;2.0;37.9996521;-0.6655418
98917;Comunidad Valenciana;flat;duplex;84000.0;63.0;2;2.0;37.9672079;-0.7364844
98940;Comunidad Valenciana;flat;duplex;53550.0;63.0;2;3.0;38.041032;-0.741152
99537;Comunidad Valenciana;flat;duplex;83000.0;64.0;2;2.0;37.9681149;-0.7327456
100740;Comunidad Valenciana;flat;duplex;98000.0;65.0;2;Vacio;37.933536;-0.7574773
100766;Comunidad Valenciana;flat;duplex;76800.0;65.0;2;4.0;40.3541237;0.3935226
100853;Comunidad Valenciana;flat;duplex;129950.0;65.0;2;2.0;37.8837928;-0.7598132
101213;Comunidad Valenciana;flat;duplex;54000.0;65.0;2;2.0;37.9814579;-0.6809079
101291;Comunidad Valenciana;flat;duplex;89000.0;65.0;2;3.0;40.0981286;0.1481894
101313;Comunidad Valenciana;flat;duplex;162256.0;65.0;2;3.0;38.1924736;-0.5844803
101915;Comunidad Valenciana;flat;duplex;85000.0;65.0;2;2.0;38.227477;-0.5201145
102195;Comunidad Valenciana;flat;duplex;61000.0;65.0;2;3.0;40.4030882;0.4142404
102362;Comunidad Valenciana;flat;duplex;105000.0;65.0;2;5.0;38.1957976;-0.5805341
102704;Comunidad Valenciana;flat;duplex;69132.0;65.0;2;4.0;39.8017558;-0.1341073
103398;Comunidad Valenciana;flat;duplex;259000.0;65.0;2;Vacio;39.4743657;-0.3816868
103710;Comunidad Valenciana;flat;duplex;79950.0;65.0;2;0.0;38.2429339;-0.526417
105325;Comunidad Valenciana;flat;duplex;60400.0;66.0;2;3.0;39.469066;-0.7154428
105853;Comunidad Valenciana;flat;duplex;101000.0;67.0;2;3.0;40.4066536;0.4219747
105923;Comunidad Valenciana;flat;duplex;204000.0;67.0;2;Vacio;39.4749458;-0.379951
107431;Comunidad Valenciana;flat;duplex;129500.0;68.0;2;2.0;37.9980022;-0.661873
108092;Comunidad Valenciana;flat;duplex;89600.0;69.0;2;5.0;39.5907367;-0.4576912
108314;Comunidad Valenciana;flat;duplex;80000.0;69.0;2;7.0;39.4580125;-0.4048649
108658;Comunidad Valenciana;flat;duplex;159000.0;69.0;2;3.0;39.4857952;-0.356299
108897;Comunidad Valenciana;flat;duplex;99000.0;69.0;2;7.0;39.4582125;-0.4048649
109457;Comunidad Valenciana;flat;duplex;125000.0;70.0;2;0.0;38.7646387;0.1971824
109644;Comunidad Valenciana;flat;duplex;121500.0;70.0;2;2.0;38.6893565;0.1365705
109732;Comunidad Valenciana;flat;duplex;65000.0;70.0;2;0.0;37.9924316;-0.6725609
109742;Comunidad Valenciana;flat;duplex;120000.0;70.0;2;5.0;38.2572537;-0.5170351
110045;Comunidad Valenciana;flat;duplex;160000.0;70.0;2;3.0;38.8399765;0.1156834
110046;Comunidad Valenciana;flat;duplex;285000.0;70.0;2;4.0;38.8518383;0.0899672
110047;Comunidad Valenciana;flat;duplex;150000.0;70.0;2;2.0;38.85058;0.08278
110203;Comunidad Valenciana;flat;duplex;80000.0;70.0;2;7.0;39.4574125;-0.4008649
110335;Comunidad Valenciana;flat;duplex;56000.0;70.0;2;5.0;37.9408808;-0.7569194
110436;Comunidad Valenciana;flat;duplex;86000.0;70.0;2;3.0;38.5388852;-0.1052026
110575;Comunidad Valenciana;flat;duplex;83000.0;70.0;2;2.0;37.9873564;-0.6689456
110620;Comunidad Valenciana;flat;duplex;80000.0;70.0;2;7.0;40.1064819;0.1495684
110841;Comunidad Valenciana;flat;duplex;95000.0;70.0;2;Vacio;40.422314;0.4287454
111260;Comunidad Valenciana;flat;duplex;69990.0;70.0;2;3.0;38.0877446;-0.6708438
112058;Comunidad Valenciana;flat;duplex;112600.0;70.0;2;2.0;38.2411117;-0.5275477
112061;Comunidad Valenciana;flat;duplex;84000.0;70.0;2;2.0;38.2255276;-0.5250811
112317;Comunidad Valenciana;flat;duplex;86500.0;70.0;2;2.0;37.9955992;-0.6631937
114254;Comunidad Valenciana;flat;duplex;200000.0;70.0;2;7.0;39.4559654;-0.3749316
114697;Comunidad Valenciana;flat;duplex;79900.0;71.0;2;5.0;39.5907367;-0.4576912
114825;Comunidad Valenciana;flat;duplex;95000.0;71.0;2;0.0;37.944058;-0.741922
114861;Comunidad Valenciana;flat;duplex;78000.0;71.0;2;3.0;37.9210139;-0.762188
116071;Comunidad Valenciana;flat;duplex;135000.0;72.0;2;2.0;38.8516677;0.0819087
116790;Comunidad Valenciana;flat;duplex;149900.0;72.0;2;Vacio;39.4662402;-0.3394971
117090;Comunidad Valenciana;flat;duplex;147000.0;72.0;2;5.0;38.5738129;-0.0745297
117698;Comunidad Valenciana;flat;duplex;150000.0;73.0;2;3.0;38.84287;0.1039846
117748;Comunidad Valenciana;flat;duplex;79000.0;73.0;2;2.0;37.9754112;-0.7902497
118682;Comunidad Valenciana;flat;duplex;143000.0;74.0;2;0.0;37.9205962;-0.7493169
118709;Comunidad Valenciana;flat;duplex;145000.0;74.0;2;0.0;38.691761;0.107803
118710;Comunidad Valenciana;flat;duplex;135000.0;74.0;2;0.0;38.77131;0.18803
118784;Comunidad Valenciana;flat;duplex;235000.0;74.0;2;3.0;38.7723535;0.1892049
119228;Comunidad Valenciana;flat;duplex;49060.0;74.0;2;3.0;37.9827424;-0.669292
119303;Comunidad Valenciana;flat;duplex;49060.0;74.0;2;0.0;37.9819424;-0.665292
119371;Comunidad Valenciana;flat;duplex;100000.0;74.0;2;3.0;39.5283102;-0.4866965
119680;Comunidad Valenciana;flat;duplex;166000.0;75.0;2;4.0;39.4779178;-0.3822646
120064;Comunidad Valenciana;flat;duplex;100000.0;75.0;2;0.0;38.7793969;0.1814504
120073;Comunidad Valenciana;flat;duplex;219000.0;75.0;2;Vacio;38.1008869;-0.6572392
120135;Comunidad Valenciana;flat;duplex;161000.0;75.0;2;7.0;37.9894621;-0.6562226
120138;Comunidad Valenciana;flat;duplex;115000.0;75.0;2;5.0;40.2556486;0.2888629
120247;Comunidad Valenciana;flat;duplex;133000.0;75.0;2;Vacio;40.4683759;0.4733064
120974;Comunidad Valenciana;flat;duplex;135000.0;75.0;2;6.0;38.5350335;-0.1290147
121903;Comunidad Valenciana;flat;duplex;155000.0;75.0;2;3.0;39.4570786;-0.4001243
121940;Comunidad Valenciana;flat;duplex;115000.0;75.0;2;2.0;38.192835;-0.5864517
121974;Comunidad Valenciana;flat;duplex;186000.0;75.0;2;4.0;38.00273;-0.65795
121992;Comunidad Valenciana;flat;duplex;130000.0;75.0;2;5.0;39.4797157;-0.3748871
122128;Comunidad Valenciana;flat;duplex;84000.0;75.0;2;2.0;38.2331217;-0.520189
123228;Comunidad Valenciana;flat;duplex;127000.0;75.0;2;0.0;38.2366164;-0.5284611
123236;Comunidad Valenciana;flat;duplex;145950.0;75.0;2;3.0;38.5737162;-0.0728444
123549;Comunidad Valenciana;flat;duplex;99000.0;75.0;2;2.0;39.0425716;-0.4808617
123877;Comunidad Valenciana;flat;duplex;115000.0;75.0;2;2.0;38.250383;-0.5173182
124054;Comunidad Valenciana;flat;duplex;86600.0;76.0;2;5.0;39.5907367;-0.4576912
124055;Comunidad Valenciana;flat;duplex;84500.0;76.0;2;5.0;39.5907367;-0.4576912
124993;Comunidad Valenciana;flat;duplex;139000.0;76.0;2;5.0;39.4532034;-0.3694276
125027;Comunidad Valenciana;flat;duplex;139000.0;76.0;2;5.0;39.4559108;-0.3716471
125164;Comunidad Valenciana;flat;duplex;87300.0;77.0;2;5.0;39.5907367;-0.4576912
125165;Comunidad Valenciana;flat;duplex;88400.0;77.0;2;5.0;39.5907367;-0.4576912
125275;Comunidad Valenciana;flat;duplex;147000.0;77.0;2;0.0;37.956336;-0.744373
126140;Comunidad Valenciana;flat;duplex;120000.0;77.0;2;3.0;38.3948099;-0.5278369
126381;Comunidad Valenciana;flat;duplex;170000.0;78.0;2;3.0;38.7712333;0.1877963
126434;Comunidad Valenciana;flat;duplex;145900.0;78.0;2;2.0;37.9366113;-0.7464809
126491;Comunidad Valenciana;flat;duplex;145900.0;78.0;2;2.0;37.9371485;-0.7498213
126790;Comunidad Valenciana;flat;duplex;173000.0;78.0;2;3.0;37.954434;-0.727475
