index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
9396;Comunidad Valenciana;house;terraced house;115000.0;80.0;0;0.0;39.6615497;-0.2161872
10879;Comunidad Valenciana;house;terraced house;80000.0;90.0;0;0.0;39.6597726;-0.2216613
11810;Comunidad Valenciana;house;terraced house;125000.0;98.0;0;0.0;39.6635673;-0.236219
12229;Comunidad Valenciana;house;terraced house;107000.0;100.0;0;0.0;39.6662662;-0.2398337
13009;Comunidad Valenciana;house;terraced house;82500.0;106.0;0;0.0;39.6615498;-0.2262348
15985;Comunidad Valenciana;house;terraced house;150000.0;135.0;0;0.0;39.4336295;-0.4719531
17999;Comunidad Valenciana;house;terraced house;90000.0;158.0;0;0.0;39.6711696;-0.2317661
21281;Comunidad Valenciana;house;terraced house;150000.0;207.0;0;3.0;39.9924335;-0.0466724
27907;Comunidad Valenciana;house;terraced house;350000.0;500.4;0;3.0;40.4275173;-0.2559706
61070;Comunidad Valenciana;house;terraced house;55000.0;30.0;1;0.0;38.0383665;-0.6590368
61627;Comunidad Valenciana;house;terraced house;55000.0;35.0;1;0.0;38.1941633;-0.5764987
61791;Comunidad Valenciana;house;terraced house;55000.0;36.0;1;3.0;38.5621059;-0.0667383
62294;Comunidad Valenciana;house;terraced house;65000.0;39.0;1;0.0;38.19802;-0.57117
62764;Comunidad Valenciana;house;terraced house;79000.0;40.0;1;0.0;39.6208276;-0.3076823
62766;Comunidad Valenciana;house;terraced house;44000.0;40.0;1;0.0;37.9146789;-0.7313888
62780;Comunidad Valenciana;house;terraced house;50000.0;40.0;1;0.0;38.1932283;-0.5796994
64453;Comunidad Valenciana;house;terraced house;78750.0;44.0;1;0.0;38.8274227;0.1300436
64497;Comunidad Valenciana;house;terraced house;48500.0;44.0;1;0.0;38.0219837;-0.6988452
65052;Comunidad Valenciana;house;terraced house;33000.0;45.0;1;0.0;38.1246172;-0.6720705
65680;Comunidad Valenciana;house;terraced house;41990.0;45.0;1;0.0;39.4673373;-0.3317733
65996;Comunidad Valenciana;house;terraced house;68000.0;46.0;1;2.0;38.8212483;0.0909768
67390;Comunidad Valenciana;house;terraced house;39000.0;49.0;1;0.0;37.9606049;-0.7403789
67804;Comunidad Valenciana;house;terraced house;65000.0;50.0;1;0.0;37.8771533;-0.7568668
67864;Comunidad Valenciana;house;terraced house;66000.0;50.0;1;2.0;38.5363057;-0.1063366
68239;Comunidad Valenciana;house;terraced house;69000.0;50.0;1;0.0;38.0024379;-0.6509466
