index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
163572;Comunidad de Madrid;countryHouse;Vacio;95000.0;150.0;2;0.0;40.0454235;-3.5632973
276286;Comunidad de Madrid;countryHouse;Vacio;545000.0;136.0;3;0.0;40.5645026;-3.944487
346557;Comunidad de Madrid;countryHouse;Vacio;420000.0;180.0;4;0.0;40.8273052;-3.6282557
347200;Comunidad de Madrid;countryHouse;Vacio;490000.0;180.0;4;0.0;40.5669049;-4.0139182
349865;Comunidad de Madrid;countryHouse;Vacio;272900.0;194.0;4;0.0;40.8623832;-3.6475358
355034;Comunidad de Madrid;countryHouse;Vacio;275000.0;219.0;4;2.0;40.6924288;-4.0294577
370477;Comunidad de Madrid;countryHouse;Vacio;575000.0;405.0;4;0.0;40.4052618;-3.9987157
379718;Comunidad de Madrid;countryHouse;Vacio;1000000.0;200.0;5;0.0;40.5649693;-3.897909
383244;Comunidad de Madrid;countryHouse;Vacio;70000.0;250.0;5;0.0;40.0581945;-3.506331
389122;Comunidad de Madrid;countryHouse;Vacio;700000.0;350.0;5;0.0;40.6482927;-3.8014151
394458;Comunidad de Madrid;countryHouse;Vacio;990000.0;600.0;5;0.0;40.5031489;-4.0715363
402424;Comunidad de Madrid;countryHouse;Vacio;710000.0;630.0;6;5.0;40.8161251;-3.7647194
408537;Comunidad de Madrid;countryHouse;Vacio;675000.0;500.0;10;0.0;40.9017132;-3.8783007
