index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
75054;Comunidad de Madrid;countryHouse;country house;1250000.0;60.0;1;0.0;40.4085761;-3.9787027
82998;Comunidad de Madrid;countryHouse;country house;400000.0;500.0;1;0.0;40.8551208;-3.7095557
166077;Comunidad de Madrid;countryHouse;country house;775000.0;500.0;2;0.0;40.5487295;-3.613696
272595;Comunidad de Madrid;countryHouse;country house;97000.0;130.0;3;0.0;40.6296078;-3.5156242
304868;Comunidad de Madrid;countryHouse;country house;252000.0;379.0;3;0.0;40.4245905;-3.1758533
305265;Comunidad de Madrid;countryHouse;country house;260000.0;425.0;3;0.0;40.234701;-3.347145
338151;Comunidad de Madrid;countryHouse;country house;221000.0;150.0;4;0.0;40.1495955;-3.535373
341191;Comunidad de Madrid;countryHouse;country house;350000.0;160.0;4;0.0;40.7823855;-3.6907912
346325;Comunidad de Madrid;countryHouse;country house;300000.0;180.0;4;0.0;40.5680211;-4.013788
350763;Comunidad de Madrid;countryHouse;country house;780000.0;200.0;4;0.0;40.2631922;-4.4664505
360433;Comunidad de Madrid;countryHouse;country house;450000.0;250.0;4;0.0;40.2401895;-3.5224424
369098;Comunidad de Madrid;countryHouse;country house;276000.0;362.0;4;0.0;40.3835013;-4.0801572
372645;Comunidad de Madrid;countryHouse;country house;4100000.0;677.0;4;0.0;40.605176;-4.1293953
388273;Comunidad de Madrid;countryHouse;country house;490000.0;327.0;5;4.0;40.6302068;-4.030599
395217;Comunidad de Madrid;countryHouse;country house;3400000.0;800.0;5;0.0;40.4229536;-3.9644391
395607;Comunidad de Madrid;countryHouse;country house;550000.0;1900.0;5;0.0;40.7284179;-3.5779803
403387;Comunidad de Madrid;countryHouse;country house;5200000.0;2200.0;6;0.0;40.4135987;-3.6987205
403402;Comunidad de Madrid;countryHouse;country house;7900000.0;4800.0;6;0.0;40.4696471;-4.0061114
405986;Comunidad de Madrid;countryHouse;country house;308000.0;858.0;7;0.0;40.8610247;-3.6930212
406158;Comunidad de Madrid;countryHouse;country house;7500000.0;1100.0;7;0.0;40.5640802;-3.9410171
407491;Comunidad de Madrid;countryHouse;country house;11000000.0;1520.0;8;0.0;40.506586;-4.2966692
407518;Comunidad de Madrid;countryHouse;country house;8490000.0;2000.0;8;0.0;40.575642;-4.1000613
407525;Comunidad de Madrid;countryHouse;country house;1795000.0;2178.0;8;0.0;40.5623469;-4.0141744
408758;Comunidad de Madrid;countryHouse;country house;4400000.0;1400.0;11;0.0;40.5707702;-3.9542962
