index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
24631;Comunidad de Madrid;countryHouse;village house;150000.0;300.0;0;0.0;40.1424073;-3.4210677
78534;Comunidad de Madrid;countryHouse;village house;35000.0;69.0;1;0.0;40.1721796;-3.2761279
81367;Comunidad de Madrid;countryHouse;village house;63000.0;87.0;1;0.0;40.6224839;-3.906864
86409;Comunidad de Madrid;countryHouse;village house;55000.0;51.0;2;0.0;40.1719905;-3.8334841
91874;Comunidad de Madrid;countryHouse;village house;140000.0;59.0;2;0.0;40.3557065;-3.910421
166723;Comunidad de Madrid;countryHouse;village house;120000.0;52.0;3;0.0;40.472136;-3.8762581
191719;Comunidad de Madrid;countryHouse;village house;54000.0;80.0;3;0.0;40.6568584;-3.7651295
197784;Comunidad de Madrid;countryHouse;village house;140000.0;84.0;3;0.0;40.5072139;-3.5304495
221922;Comunidad de Madrid;countryHouse;village house;77260.0;95.0;3;0.0;40.5006411;-3.2565778
222947;Comunidad de Madrid;countryHouse;village house;90000.0;95.0;3;0.0;40.6553877;-3.7684368
257315;Comunidad de Madrid;countryHouse;village house;35000.0;115.0;3;2.0;40.6325512;-3.3334742
272747;Comunidad de Madrid;countryHouse;village house;150000.0;130.0;3;0.0;40.5473986;-3.6285838
279431;Comunidad de Madrid;countryHouse;village house;110000.0;140.0;3;0.0;40.0295854;-3.5945621
286939;Comunidad de Madrid;countryHouse;village house;350000.0;160.0;3;0.0;40.4958463;-3.6891407
291573;Comunidad de Madrid;countryHouse;village house;425000.0;180.0;3;0.0;40.4074852;-3.3642872
305885;Comunidad de Madrid;countryHouse;village house;825000.0;675.0;3;0.0;40.3678451;-3.4874626
328601;Comunidad de Madrid;countryHouse;village house;175000.0;130.0;4;0.0;40.5590586;-4.0195872
365982;Comunidad de Madrid;countryHouse;village house;347000.0;300.0;4;0.0;40.4405369;-3.8363299
396898;Comunidad de Madrid;countryHouse;village house;118000.0;214.0;6;0.0;40.733171;-3.584469
407535;Comunidad de Madrid;countryHouse;village house;95000.0;104.0;9;0.0;40.7378578;-3.5827375
