index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
63;Comunidad de Madrid;flat;studio;31000.0;12.0;0;7.0;40.4135605;-3.7001807
80;Comunidad de Madrid;flat;studio;36400.0;14.0;0;2.0;40.408974;-3.700402
172;Comunidad de Madrid;flat;studio;78000.0;17.0;0;5.0;40.435716;-3.7002851
175;Comunidad de Madrid;flat;studio;62000.0;17.0;0;1.0;40.4320594;-3.6807685
202;Comunidad de Madrid;flat;studio;60000.0;18.0;0;7.0;40.4454578;-3.706489
203;Comunidad de Madrid;flat;studio;36400.0;18.0;0;2.0;40.409053;-3.7007931
270;Comunidad de Madrid;flat;studio;140000.0;20.0;0;5.0;40.4269164;-3.6875209
299;Comunidad de Madrid;flat;studio;71000.0;20.0;0;7.0;40.3319161;-3.7004654
301;Comunidad de Madrid;flat;studio;110000.0;20.0;0;5.0;40.4198386;-3.7026012
303;Comunidad de Madrid;flat;studio;41000.0;20.0;0;5.0;40.4083684;-3.7057593
313;Comunidad de Madrid;flat;studio;95000.0;21.0;0;4.0;40.4287209;-3.6775416
351;Comunidad de Madrid;flat;studio;89500.0;22.0;0;3.0;40.4319067;-3.7007708
364;Comunidad de Madrid;flat;studio;140000.0;23.0;0;10.0;40.4209595;-3.7072666
386;Comunidad de Madrid;flat;studio;60000.0;23.0;0;2.0;40.4500072;-3.7059423
395;Comunidad de Madrid;flat;studio;74000.0;23.0;0;7.0;40.4031258;-3.6734133
441;Comunidad de Madrid;flat;studio;180000.0;24.0;0;3.0;40.4258831;-3.6856008
466;Comunidad de Madrid;flat;studio;74000.0;25.0;0;2.0;40.430096;-3.7034088
478;Comunidad de Madrid;flat;studio;132260.0;25.0;0;2.0;40.411481;-3.6964208
538;Comunidad de Madrid;flat;studio;98500.0;25.0;0;0.0;40.4267224;-3.6781415
544;Comunidad de Madrid;flat;studio;110000.0;25.0;0;4.0;40.4267061;-3.675759
552;Comunidad de Madrid;flat;studio;100000.0;25.0;0;3.0;40.4107841;-3.7096757
554;Comunidad de Madrid;flat;studio;37000.0;25.0;0;6.0;40.6301147;-3.9976586
563;Comunidad de Madrid;flat;studio;26000.0;25.0;0;1.0;40.3959599;-3.7196172
574;Comunidad de Madrid;flat;studio;100000.0;25.0;0;5.0;40.4232498;-3.7071432
583;Comunidad de Madrid;flat;studio;31840.0;25.0;0;2.0;40.3881673;-3.6682054
589;Comunidad de Madrid;flat;studio;60000.0;25.0;0;5.0;40.4478644;-3.7010487
651;Comunidad de Madrid;flat;studio;65000.0;27.0;0;2.0;40.4642788;-3.7233698
680;Comunidad de Madrid;flat;studio;70000.0;27.0;0;4.0;40.4468756;-3.7044502
688;Comunidad de Madrid;flat;studio;74000.0;27.0;0;1.0;40.430096;-3.7029088
734;Comunidad de Madrid;flat;studio;75000.0;28.0;0;2.0;40.3755116;-3.621175
744;Comunidad de Madrid;flat;studio;90000.0;28.0;0;5.0;40.4271459;-3.7008034
746;Comunidad de Madrid;flat;studio;114000.0;28.0;0;7.0;40.4260826;-3.6959122
750;Comunidad de Madrid;flat;studio;99000.0;28.0;0;5.0;40.4279459;-3.7008034
752;Comunidad de Madrid;flat;studio;88000.0;28.0;0;5.0;40.4248459;-3.7024034
759;Comunidad de Madrid;flat;studio;72000.0;28.0;0;3.0;40.4028321;-3.7034994
781;Comunidad de Madrid;flat;studio;140000.0;29.0;0;4.0;40.4220216;-3.6983298
792;Comunidad de Madrid;flat;studio;100000.0;29.0;0;7.0;40.411195;-3.7180148
815;Comunidad de Madrid;flat;studio;120000.0;30.0;0;2.0;40.4327496;-3.7157802
835;Comunidad de Madrid;flat;studio;59000.0;30.0;0;2.0;40.37512;-3.77596
836;Comunidad de Madrid;flat;studio;69000.0;30.0;0;2.0;40.3736816;-3.7687284
837;Comunidad de Madrid;flat;studio;96000.0;30.0;0;2.0;40.4469973;-3.7065771
908;Comunidad de Madrid;flat;studio;80000.0;30.0;0;5.0;40.4288459;-3.7045034
965;Comunidad de Madrid;flat;studio;57200.0;30.0;0;2.0;40.3988562;-3.7355156
992;Comunidad de Madrid;flat;studio;49000.0;30.0;0;5.0;40.4478644;-3.7010487
1003;Comunidad de Madrid;flat;studio;80000.0;30.0;0;4.0;40.4265459;-3.7048034
1060;Comunidad de Madrid;flat;studio;79900.0;30.0;0;3.0;40.4102743;-3.7155452
1061;Comunidad de Madrid;flat;studio;79000.0;30.0;0;6.0;40.4082165;-3.716098
1074;Comunidad de Madrid;flat;studio;145000.0;30.0;0;5.0;40.4194452;-3.710588
1102;Comunidad de Madrid;flat;studio;115000.0;30.0;0;5.0;40.41096;-3.7009819
1120;Comunidad de Madrid;flat;studio;75000.0;31.0;0;2.0;40.4623788;-3.7198698
1154;Comunidad de Madrid;flat;studio;89000.0;31.0;0;5.0;40.4248459;-3.7013034
1157;Comunidad de Madrid;flat;studio;125000.0;31.0;0;4.0;40.4328934;-3.7183796
1212;Comunidad de Madrid;flat;studio;119900.0;32.0;0;4.0;40.4384097;-3.636574
