index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32585;Comunidad de Madrid;land;Vacio;650580.0;0.0;0;0.0;40.6174617;-3.6254662
32586;Comunidad de Madrid;land;Vacio;699090.0;0.0;0;0.0;40.6249782;-3.6154633
32587;Comunidad de Madrid;land;Vacio;1732815.0;0.0;0;0.0;40.6173813;-3.6017904
32594;Comunidad de Madrid;land;Vacio;2100000.0;0.0;0;0.0;40.38091;-3.62429
33274;Comunidad de Madrid;land;Vacio;80000.0;0.0;0;0.0;40.7855007;-3.6932896
33361;Comunidad de Madrid;land;Vacio;3650000.0;0.0;0;0.0;40.5122635;-3.6437254
33362;Comunidad de Madrid;land;Vacio;895000.0;0.0;0;0.0;40.6181592;-3.6223948
33365;Comunidad de Madrid;land;Vacio;500000.0;0.0;0;0.0;40.5818205;-3.9074299
33394;Comunidad de Madrid;land;Vacio;4000000.0;0.0;0;0.0;40.4565225;-3.4938794
33395;Comunidad de Madrid;land;Vacio;2121600.0;0.0;0;0.0;40.3658188;-3.5923628
33396;Comunidad de Madrid;land;Vacio;1753542.0;0.0;0;0.0;40.367522;-3.7426083
33398;Comunidad de Madrid;land;Vacio;2089821.0;0.0;0;0.0;40.3210512;-3.7351885
33402;Comunidad de Madrid;land;Vacio;4080300.0;0.0;0;0.0;40.4338081;-3.534688
33403;Comunidad de Madrid;land;Vacio;5075200.0;0.0;0;0.0;40.387141;-3.6645362
40519;Comunidad de Madrid;land;Vacio;1250000.0;0.0;0;0.0;40.6376865;-3.5099403
40525;Comunidad de Madrid;land;Vacio;65000.0;0.0;0;0.0;40.1690245;-3.2715895
40537;Comunidad de Madrid;land;Vacio;490000.0;0.0;0;0.0;40.200304;-3.8509537
40543;Comunidad de Madrid;land;Vacio;999000.0;0.0;0;0.0;40.4441664;-3.4933647
40562;Comunidad de Madrid;land;Vacio;490000.0;0.0;0;0.0;40.4655503;-3.7024368
40575;Comunidad de Madrid;land;Vacio;125000.0;0.0;0;0.0;40.81581;-3.7674
40590;Comunidad de Madrid;land;Vacio;45000.0;0.0;0;0.0;40.28581;-4.01307
41486;Comunidad de Madrid;land;Vacio;3000000.0;0.0;0;0.0;40.5241082;-3.8892344
41496;Comunidad de Madrid;land;Vacio;120000.0;0.0;0;0.0;40.6085769;-3.5049585
44108;Comunidad de Madrid;land;Vacio;1500000.0;0.0;0;0.0;40.4505934;-3.5811778
44109;Comunidad de Madrid;land;Vacio;350000.0;0.0;0;0.0;40.3522922;-3.6938217
44114;Comunidad de Madrid;land;Vacio;220000.0;0.0;0;0.0;40.4603799;-3.7031633
44129;Comunidad de Madrid;land;Vacio;215000.0;0.0;0;0.0;40.5792264;-3.9012305
44130;Comunidad de Madrid;land;Vacio;220000.0;0.0;0;0.0;40.5913853;-3.9681329
44131;Comunidad de Madrid;land;Vacio;110000.0;0.0;0;0.0;40.7176071;-3.9233686
44132;Comunidad de Madrid;land;Vacio;280000.0;0.0;0;0.0;40.7229692;-3.8636249
44142;Comunidad de Madrid;land;Vacio;1100000.0;0.0;0;0.0;40.4708982;-3.7350377
44191;Comunidad de Madrid;land;Vacio;3850000.0;0.0;0;0.0;40.5004475;-4.0716041
44192;Comunidad de Madrid;land;Vacio;110000.0;0.0;0;0.0;41.0869741;-3.6237548
44193;Comunidad de Madrid;land;Vacio;700000.0;0.0;0;0.0;41.024095;-3.6398376
44208;Comunidad de Madrid;land;Vacio;1150000.0;0.0;0;0.0;40.4462249;-3.8193307
44209;Comunidad de Madrid;land;Vacio;800000.0;0.0;0;0.0;40.4282469;-3.8485894
44210;Comunidad de Madrid;land;Vacio;1200000.0;0.0;0;0.0;40.4264283;-3.8010824
44211;Comunidad de Madrid;land;Vacio;800000.0;0.0;0;0.0;40.4531449;-3.8093142
44212;Comunidad de Madrid;land;Vacio;990000.0;0.0;0;0.0;40.4497378;-3.8187598
44213;Comunidad de Madrid;land;Vacio;385000.0;0.0;0;0.0;40.41924;-3.84048
44214;Comunidad de Madrid;land;Vacio;950000.0;0.0;0;0.0;40.4146906;-3.7983623
