index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
21;Comunidad de Madrid;premise;Vacio;11000.0;10.0;0;2.0;40.3164511;-3.7165455
23;Comunidad de Madrid;premise;Vacio;55000.0;10.0;0;2.0;40.4474666;-3.7040244
41;Comunidad de Madrid;premise;Vacio;16000.0;12.0;0;0.0;40.4228774;-3.6508568
107;Comunidad de Madrid;premise;Vacio;14000.0;14.0;0;7.0;40.4218428;-3.707738
108;Comunidad de Madrid;premise;Vacio;10000.0;15.0;0;0.0;40.3039655;-3.7380794
142;Comunidad de Madrid;premise;Vacio;14800.0;16.0;0;2.0;40.3057432;-3.7345643
148;Comunidad de Madrid;premise;Vacio;35000.0;16.0;0;2.0;40.3936156;-3.7118055
156;Comunidad de Madrid;premise;Vacio;55000.0;17.0;0;2.0;40.425671;-3.6770626
157;Comunidad de Madrid;premise;Vacio;11600.0;17.0;0;2.0;40.4771494;-3.8713597
164;Comunidad de Madrid;premise;Vacio;12800.0;17.0;0;2.0;40.4726973;-3.8755857
165;Comunidad de Madrid;premise;Vacio;11600.0;17.0;0;2.0;40.4743973;-3.8759857
179;Comunidad de Madrid;premise;Vacio;68000.0;18.0;0;2.0;40.4566947;-3.6969963
180;Comunidad de Madrid;premise;Vacio;24400.0;18.0;0;2.0;40.385238;-3.73128
185;Comunidad de Madrid;premise;Vacio;49500.0;18.0;0;2.0;40.4049928;-3.6965613
187;Comunidad de Madrid;premise;Vacio;29420.0;18.0;0;1.0;40.3855927;-3.744157
189;Comunidad de Madrid;premise;Vacio;11800.0;18.0;0;2.0;40.4774494;-3.8714597
195;Comunidad de Madrid;premise;Vacio;85000.0;18.0;0;2.0;40.46976;-3.6917826
201;Comunidad de Madrid;premise;Vacio;79000.0;18.0;0;1.0;40.4182433;-3.7069471
217;Comunidad de Madrid;premise;Vacio;13100.0;19.0;0;2.0;40.4765494;-3.8753597
220;Comunidad de Madrid;premise;Vacio;8200.0;19.0;0;3.0;40.4760494;-3.8713597
221;Comunidad de Madrid;premise;Vacio;14000.0;19.0;0;2.0;40.4730973;-3.8759857
223;Comunidad de Madrid;premise;Vacio;5000.0;19.0;0;1.0;40.3307111;-3.760541
229;Comunidad de Madrid;premise;Vacio;23000.0;20.0;0;2.0;40.388632;-3.4843831
252;Comunidad de Madrid;premise;Vacio;84000.0;20.0;0;2.0;40.4364383;-3.6816212
254;Comunidad de Madrid;premise;Vacio;70000.0;20.0;0;2.0;40.4728357;-3.8705121
259;Comunidad de Madrid;premise;Vacio;46000.0;20.0;0;2.0;40.4421316;-3.6966732
262;Comunidad de Madrid;premise;Vacio;42000.0;20.0;0;2.0;40.4378323;-3.6410293
276;Comunidad de Madrid;premise;Vacio;25000.0;20.0;0;2.0;40.3490303;-3.8211708
287;Comunidad de Madrid;premise;Vacio;80000.0;20.0;0;2.0;40.4255727;-3.7151027
290;Comunidad de Madrid;premise;Vacio;22500.0;20.0;0;2.0;40.3990044;-3.7000754
291;Comunidad de Madrid;premise;Vacio;46100.0;20.0;0;2.0;40.4580931;-3.6612192
304;Comunidad de Madrid;premise;Vacio;28000.0;20.0;0;2.0;40.4088613;-3.6999034
325;Comunidad de Madrid;premise;Vacio;79000.0;21.0;0;2.0;40.4350458;-3.6734746
356;Comunidad de Madrid;premise;Vacio;37000.0;22.0;0;2.0;40.388999;-3.6375784
358;Comunidad de Madrid;premise;Vacio;65000.0;23.0;0;2.0;40.3953531;-3.7673432
359;Comunidad de Madrid;premise;Vacio;120000.0;23.0;0;2.0;40.4156561;-3.712174
380;Comunidad de Madrid;premise;Vacio;110000.0;23.0;0;2.0;40.4312441;-3.7142493
438;Comunidad de Madrid;premise;Vacio;45400.0;24.0;0;2.0;40.3933025;-3.6941421
442;Comunidad de Madrid;premise;Vacio;40000.0;24.0;0;2.0;40.4636844;-3.7199536
444;Comunidad de Madrid;premise;Vacio;33000.0;24.0;0;2.0;40.3926717;-3.6698584
450;Comunidad de Madrid;premise;Vacio;53000.0;24.0;0;2.0;40.4460338;-3.6974516
451;Comunidad de Madrid;premise;Vacio;51500.0;24.0;0;2.0;40.4557304;-3.6986332
467;Comunidad de Madrid;premise;Vacio;40000.0;25.0;0;2.0;40.4409583;-3.9052443
481;Comunidad de Madrid;premise;Vacio;52000.0;25.0;0;2.0;40.4078857;-3.8829702
485;Comunidad de Madrid;premise;Vacio;63000.0;25.0;0;2.0;40.4567304;-3.6976332
497;Comunidad de Madrid;premise;Vacio;100000.0;25.0;0;2.0;40.4370147;-3.7031455
525;Comunidad de Madrid;premise;Vacio;66000.0;25.0;0;2.0;40.5457201;-3.6352187
528;Comunidad de Madrid;premise;Vacio;145000.0;25.0;0;2.0;40.4794022;-3.7125465
543;Comunidad de Madrid;premise;Vacio;50000.0;25.0;0;2.0;40.4116839;-3.7278879
576;Comunidad de Madrid;premise;Vacio;120000.0;25.0;0;2.0;40.4226435;-3.7058696
585;Comunidad de Madrid;premise;Vacio;25000.0;25.0;0;2.0;40.3764883;-3.7675092
606;Comunidad de Madrid;premise;Vacio;32000.0;26.0;0;3.0;40.3248649;-3.7691058
615;Comunidad de Madrid;premise;Vacio;70000.0;26.0;0;0.0;40.4018898;-3.6947608
652;Comunidad de Madrid;premise;Vacio;49900.0;27.0;0;2.0;40.4382003;-3.6668247
654;Comunidad de Madrid;premise;Vacio;89000.0;27.0;0;2.0;40.4469973;-3.7065771
655;Comunidad de Madrid;premise;Vacio;89000.0;27.0;0;2.0;40.4313261;-3.6536419
666;Comunidad de Madrid;premise;Vacio;120000.0;27.0;0;2.0;40.4732213;-3.5848784
749;Comunidad de Madrid;premise;Vacio;32600.0;28.0;0;2.0;40.4582122;-3.6471869
790;Comunidad de Madrid;premise;Vacio;38630.0;29.0;0;2.0;40.4419717;-3.6731076
791;Comunidad de Madrid;premise;Vacio;78000.0;29.0;0;2.0;40.4438498;-3.6698662
793;Comunidad de Madrid;premise;Vacio;32600.0;29.0;0;2.0;40.4589122;-3.6451869
826;Comunidad de Madrid;premise;Vacio;120000.0;30.0;0;2.0;40.4711496;-3.5830007
834;Comunidad de Madrid;premise;Vacio;35000.0;30.0;0;2.0;40.3747747;-3.7759481
845;Comunidad de Madrid;premise;Vacio;45000.0;30.0;0;2.0;40.3801764;-3.7715682
848;Comunidad de Madrid;premise;Vacio;11500.0;30.0;0;2.0;40.3329589;-3.8638484
869;Comunidad de Madrid;premise;Vacio;34000.0;30.0;0;2.0;40.1998041;-3.8476714
876;Comunidad de Madrid;premise;Vacio;23112.0;30.0;0;2.0;40.3200782;-3.8682426
911;Comunidad de Madrid;premise;Vacio;65000.0;30.0;0;2.0;40.4334815;-3.664615
962;Comunidad de Madrid;premise;Vacio;69000.0;30.0;0;2.0;40.4773441;-3.7048011
971;Comunidad de Madrid;premise;Vacio;104000.0;30.0;0;2.0;40.4348139;-3.7139432
1004;Comunidad de Madrid;premise;Vacio;28000.0;30.0;0;2.0;40.2385368;-3.7659501
1014;Comunidad de Madrid;premise;Vacio;78000.0;30.0;0;2.0;40.4908718;-3.8696448
1018;Comunidad de Madrid;premise;Vacio;105000.0;30.0;0;2.0;40.4243045;-3.6696886
