index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
65531;Extremadura;flat;penthouse;114000.0;45.0;1;4.0;38.9759087;-6.6725042
65533;Extremadura;flat;penthouse;139000.0;45.0;1;5.0;38.8794248;-6.9719159
68178;Extremadura;flat;penthouse;124000.0;50.0;1;7.0;40.0277091;-6.0911692
80357;Extremadura;flat;penthouse;69000.0;77.0;1;4.0;40.12048;-5.49468
86988;Extremadura;flat;penthouse;66050.0;52.0;2;5.0;38.8907973;-6.9809088
90182;Extremadura;flat;penthouse;112000.0;56.0;2;4.0;38.8837758;-6.9575748
95433;Extremadura;flat;penthouse;97000.0;60.0;2;4.0;38.8805758;-6.9579748
114300;Extremadura;flat;penthouse;50000.0;70.0;2;5.0;38.4262528;-6.4167665
121082;Extremadura;flat;penthouse;138000.0;75.0;2;6.0;40.0254668;-6.0950305
121924;Extremadura;flat;penthouse;66000.0;75.0;2;2.0;38.6918248;-6.407079
130254;Extremadura;flat;penthouse;99000.0;80.0;2;4.0;38.8777345;-6.9655715
130833;Extremadura;flat;penthouse;48000.0;80.0;2;6.0;38.9705789;-5.7906631
131044;Extremadura;flat;penthouse;90000.0;80.0;2;5.0;38.4209097;-6.4088872
132379;Extremadura;flat;penthouse;106000.0;80.0;2;6.0;38.8876453;-6.9783337
138927;Extremadura;flat;penthouse;97000.0;85.0;2;5.0;38.4198097;-6.4128872
143374;Extremadura;flat;penthouse;150000.0;89.0;2;4.0;38.8817095;-6.9668561
158102;Extremadura;flat;penthouse;200000.0;115.0;2;5.0;38.9546256;-5.8631336
161531;Extremadura;flat;penthouse;180000.0;130.0;2;6.0;38.8706372;-6.9695723
162525;Extremadura;flat;penthouse;180000.0;140.0;2;6.0;38.8719372;-6.9675723
187145;Extremadura;flat;penthouse;126050.0;78.0;3;5.0;38.8924031;-6.9832138
204829;Extremadura;flat;penthouse;92000.0;87.0;3;4.0;38.8580687;-6.9891706
214069;Extremadura;flat;penthouse;188712.0;90.0;3;5.0;38.8832679;-6.9977693
230367;Extremadura;flat;penthouse;144000.0;99.0;3;4.0;38.8807758;-6.9597247
232677;Extremadura;flat;penthouse;170000.0;100.0;3;7.0;40.04168;-6.09527
232842;Extremadura;flat;penthouse;142150.0;100.0;3;6.0;38.8764815;-6.9585991
233803;Extremadura;flat;penthouse;100000.0;100.0;3;7.0;39.4769642;-6.378883
235858;Extremadura;flat;penthouse;186000.0;100.0;3;6.0;38.8704057;-6.9657338
239386;Extremadura;flat;penthouse;165000.0;102.0;3;4.0;38.8821386;-6.971366
243323;Extremadura;flat;penthouse;152300.0;105.0;3;4.0;38.8800844;-6.9714205
246774;Extremadura;flat;penthouse;149000.0;107.0;3;7.0;38.860157;-6.9466688
249538;Extremadura;flat;penthouse;350000.0;110.0;3;9.0;39.4106679;-7.2432105
252583;Extremadura;flat;penthouse;124000.0;110.0;3;6.0;38.879702;-6.9605094
254721;Extremadura;flat;penthouse;99000.0;112.0;3;5.0;38.9521894;-5.8562456
261167;Extremadura;flat;penthouse;170000.0;118.0;3;5.0;38.8782856;-6.9600901
282823;Extremadura;flat;penthouse;300000.0;150.0;3;6.0;40.0312727;-6.0846863
309485;Extremadura;flat;penthouse;124000.0;90.0;4;3.0;38.8704985;-6.9681903
319232;Extremadura;flat;penthouse;166000.0;111.0;4;8.0;38.8736316;-6.9606849
325333;Extremadura;flat;penthouse;173000.0;121.0;4;5.0;38.8643685;-6.9680217
329554;Extremadura;flat;penthouse;245000.0;130.0;4;5.0;38.8704154;-6.9767059
331188;Extremadura;flat;penthouse;245000.0;135.0;4;5.0;38.8680154;-6.9751059
344181;Extremadura;flat;penthouse;600000.0;170.0;4;8.0;38.8737106;-6.9685578
345399;Extremadura;flat;penthouse;245000.0;175.0;4;5.0;38.8664154;-6.9756059
373279;Extremadura;flat;penthouse;106000.0;100.0;5;6.0;38.883497;-6.9831838
375779;Extremadura;flat;penthouse;220000.0;152.0;5;7.0;40.0340556;-6.0903843
375854;Extremadura;flat;penthouse;157260.0;154.0;5;5.0;38.8797394;-6.9589394
378270;Extremadura;flat;penthouse;301000.0;185.0;5;5.0;38.8846735;-6.9965948
379400;Extremadura;flat;penthouse;155000.0;200.0;5;5.0;40.0282116;-6.0927554
379499;Extremadura;flat;penthouse;330000.0;200.0;5;11.0;38.8731324;-6.977596
