index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
67607;Extremadura;house;independent;6612.0;50.0;1;3.0;39.2832118;-5.7027206
68036;Extremadura;house;independent;6612.0;50.0;1;2.0;39.2818118;-5.7007206
69707;Extremadura;house;independent;23100.0;51.0;1;2.0;38.51248;-6.8506535
71395;Extremadura;house;independent;15750.0;55.0;1;3.0;38.9263997;-6.3303376
71680;Extremadura;house;independent;15750.0;55.0;1;2.0;38.9253997;-6.3323376
74437;Extremadura;house;independent;56000.0;60.0;1;0.0;40.1206718;-5.5162447
81707;Extremadura;house;independent;130000.0;95.0;1;0.0;40.0277091;-6.0911692
83059;Extremadura;house;independent;12600.0;20.0;2;3.0;40.0598842;-5.7574771
85158;Extremadura;house;independent;18000.0;50.0;2;2.0;38.9074251;-6.6244138
86781;Extremadura;house;independent;99300.0;52.0;2;2.0;38.0233663;-6.0858405
90331;Extremadura;house;independent;13650.0;57.0;2;3.0;40.0598666;-5.7574649
90483;Extremadura;house;independent;13650.0;57.0;2;2.0;40.0583666;-5.7594649
94014;Extremadura;house;independent;105000.0;60.0;2;0.0;39.4843568;-6.5775345
101185;Extremadura;house;independent;20800.0;65.0;2;2.0;38.7232675;-5.5498676
109686;Extremadura;house;independent;37300.0;70.0;2;0.0;38.9240519;-6.3253288
110924;Extremadura;house;independent;99000.0;70.0;2;0.0;38.8649764;-6.9763959
118839;Extremadura;house;independent;51086.0;74.0;2;0.0;39.9730984;-6.0447437
120101;Extremadura;house;independent;36000.0;75.0;2;2.0;38.910171;-6.6163406
140447;Extremadura;house;independent;85000.0;86.0;2;0.0;38.871183;-6.9599458
141385;Extremadura;house;independent;45000.0;87.0;2;2.0;38.9353531;-6.6174234
144621;Extremadura;house;independent;188712.0;90.0;2;0.0;38.8254138;-6.9471351
152691;Extremadura;house;independent;250000.0;100.0;2;0.0;40.1072427;-5.9039092
155654;Extremadura;house;independent;18000.0;106.0;2;0.0;39.9828991;-6.0461072
155856;Extremadura;house;independent;160000.0;107.0;2;0.0;40.1248079;-5.4630194
156094;Extremadura;house;independent;41000.0;108.0;2;2.0;38.9153616;-6.6110142
156653;Extremadura;house;independent;475000.0;110.0;2;0.0;40.1248079;-5.4630194
157457;Extremadura;house;independent;65000.0;111.0;2;2.0;38.1248467;-5.6903701
157813;Extremadura;house;independent;67000.0;113.0;2;2.0;38.1211467;-5.6872701
157816;Extremadura;house;independent;67000.0;113.0;2;2.0;38.1245467;-5.6912701
157820;Extremadura;house;independent;67000.0;113.0;2;2.0;38.1223467;-5.6872701
157838;Extremadura;house;independent;90000.0;113.0;2;0.0;40.0361358;-6.0852934
158608;Extremadura;house;independent;46200.0;116.0;2;2.0;38.9097771;-6.6217755
158890;Extremadura;house;independent;66000.0;118.0;2;2.0;38.9136297;-6.6203383
159411;Extremadura;house;independent;118000.0;120.0;2;2.0;39.1126096;-6.6943186
159469;Extremadura;house;independent;73489.0;120.0;2;0.0;38.9161507;-6.3404494
160344;Extremadura;house;independent;240000.0;123.0;2;0.0;40.1243999;-5.6583826
161984;Extremadura;house;independent;85388.0;135.0;2;2.0;39.3436535;-7.1525884
163963;Extremadura;house;independent;160000.0;160.0;2;0.0;38.8876265;-6.3851122
165260;Extremadura;house;independent;103000.0;209.0;2;0.0;38.9388188;-6.3836833
165937;Extremadura;house;independent;215000.0;320.0;2;0.0;40.0465905;-6.0752
166034;Extremadura;house;independent;230000.0;395.0;2;0.0;40.0288091;-6.0931692
