index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
19542;Galicia;countryHouse;country house;79000.0;180.0;0;0.0;43.49127;-7.98546
19543;Galicia;countryHouse;country house;40000.0;180.0;0;2.0;43.66487;-7.81646
22138;Galicia;countryHouse;country house;29000.0;223.0;0;0.0;43.5616832;-7.6400856
24341;Galicia;countryHouse;country house;55000.0;288.0;0;0.0;43.44382;-7.84885
26263;Galicia;countryHouse;country house;39500.0;375.0;0;0.0;43.4054916;-7.7345511
28173;Galicia;countryHouse;country house;120000.0;540.0;0;0.0;43.52893;-7.65828
28174;Galicia;countryHouse;country house;180000.0;540.0;0;0.0;43.4525039;-8.0266329
30736;Galicia;countryHouse;country house;225000.0;1200.0;0;0.0;43.4690679;-7.7245089
81206;Galicia;countryHouse;country house;120000.0;85.0;1;0.0;42.6074133;-7.7698233
82561;Galicia;countryHouse;country house;23000.0;136.0;1;0.0;43.47758;-7.74096
82952;Galicia;countryHouse;country house;24000.0;364.0;1;0.0;42.5923231;-8.7428043
103131;Galicia;countryHouse;country house;70000.0;65.0;2;2.0;42.6918956;-8.489041
162883;Galicia;countryHouse;country house;59000.0;144.0;2;0.0;43.60551;-7.75442
235195;Galicia;countryHouse;country house;54000.0;100.0;3;2.0;42.6897701;-8.4931065
235196;Galicia;countryHouse;country house;30000.0;100.0;3;2.0;42.5735136;-8.5816443
235477;Galicia;countryHouse;country house;90000.0;100.0;3;0.0;42.4521323;-8.6391795
260954;Galicia;countryHouse;country house;77000.0;118.0;3;0.0;43.42627;-7.74394
268533;Galicia;countryHouse;country house;42000.0;125.0;3;0.0;43.4238504;-7.7637226
274255;Galicia;countryHouse;country house;70000.0;132.0;3;0.0;43.44782;-7.84795
277752;Galicia;countryHouse;country house;39000.0;140.0;3;2.0;43.4645977;-7.7308561
289719;Galicia;countryHouse;country house;59000.0;171.0;3;2.0;43.3523436;-7.8148124
294799;Galicia;countryHouse;country house;65000.0;199.0;3;0.0;43.4619166;-7.7243264
297668;Galicia;countryHouse;country house;89000.0;218.0;3;0.0;43.5515699;-7.93152
300630;Galicia;countryHouse;country house;149000.0;250.0;3;0.0;42.4300867;-8.7701232
302061;Galicia;countryHouse;country house;150000.0;267.0;3;2.0;42.5479251;-8.7081351
305541;Galicia;countryHouse;country house;45000.0;480.0;3;0.0;43.6840887;-7.853465
319320;Galicia;countryHouse;country house;52000.0;112.0;4;0.0;43.4533064;-7.8542474
338241;Galicia;countryHouse;country house;130000.0;150.0;4;2.0;42.7401172;-8.661973
341717;Galicia;countryHouse;country house;18000.0;160.0;4;0.0;42.83797;-7.57098
346306;Galicia;countryHouse;country house;145000.0;180.0;4;0.0;43.6956107;-7.4422547
347170;Galicia;countryHouse;country house;150000.0;180.0;4;2.0;42.8172482;-8.5541265
362293;Galicia;countryHouse;country house;400000.0;265.0;4;0.0;42.8548497;-8.595093
363321;Galicia;countryHouse;country house;263874.0;277.0;4;0.0;42.8380955;-8.3626131
364093;Galicia;countryHouse;country house;69000.0;284.0;4;0.0;43.4240271;-7.7945051
364393;Galicia;countryHouse;country house;196000.0;289.0;4;0.0;43.3987447;-7.7951658
366862;Galicia;countryHouse;country house;90000.0;320.0;4;0.0;43.3997482;-7.7980118
372279;Galicia;countryHouse;country house;450000.0;560.0;4;2.0;42.8409794;-8.9067997
377897;Galicia;countryHouse;country house;120000.0;180.0;5;2.0;42.7605384;-8.6907261
382285;Galicia;countryHouse;country house;39000.0;236.0;5;0.0;43.4241284;-7.7956196
389432;Galicia;countryHouse;country house;230000.0;350.0;5;2.0;42.7768108;-8.4807521
389840;Galicia;countryHouse;country house;470000.0;360.0;5;2.0;42.823106;-8.6121371
389865;Galicia;countryHouse;country house;470000.0;360.0;5;0.0;42.7920208;-8.5527778
397336;Galicia;countryHouse;country house;209000.0;240.0;6;2.0;42.7794297;-8.4369931
400330;Galicia;countryHouse;country house;1000000.0;400.0;6;2.0;42.7295712;-8.6513134
401290;Galicia;countryHouse;country house;290000.0;484.0;6;2.0;42.7777165;-8.4276757
402538;Galicia;countryHouse;country house;145000.0;659.0;6;0.0;43.465011;-7.7246941
403563;Galicia;countryHouse;country house;110000.0;184.0;7;2.0;42.7323292;-8.520916
404329;Galicia;countryHouse;country house;105000.0;334.0;7;0.0;43.4626166;-7.7272264
408861;Galicia;countryHouse;country house;495000.0;700.0;13;2.0;43.6037828;-7.9621393
