index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
8423;Galicia;flat;Vacio;75000.0;75.0;0;8.0;42.3348386;-7.8593575
9122;Galicia;flat;Vacio;66800.0;80.0;0;3.0;42.0028879;-8.7260927
12264;Galicia;flat;Vacio;115000.0;100.0;0;2.0;43.3363481;-8.3793418
17358;Galicia;flat;Vacio;300000.0;150.0;0;4.0;42.3978477;-8.8181582
23144;Galicia;flat;Vacio;70000.0;250.0;0;0.0;43.4851653;-8.2441268
60961;Galicia;flat;Vacio;52500.0;29.0;1;3.0;42.4577699;-8.92453
60979;Galicia;flat;Vacio;67000.0;30.0;1;0.0;42.5558871;-8.8639927
60980;Galicia;flat;Vacio;67000.0;30.0;1;0.0;42.5558871;-8.8639927
60989;Galicia;flat;Vacio;39000.0;30.0;1;3.0;42.649176;-8.8853538
61055;Galicia;flat;Vacio;96000.0;30.0;1;4.0;42.2263183;-8.733768
61056;Galicia;flat;Vacio;111700.0;30.0;1;2.0;42.2263638;-8.7337545
61057;Galicia;flat;Vacio;89000.0;30.0;1;6.0;42.22737;-8.7059223
61089;Galicia;flat;Vacio;68000.0;30.0;1;3.0;42.2274872;-8.7235504
61112;Galicia;flat;Vacio;85000.0;30.0;1;3.0;42.2477404;-8.6961406
61113;Galicia;flat;Vacio;95000.0;30.0;1;4.0;42.2374983;-8.7004072
61120;Galicia;flat;Vacio;105000.0;30.0;1;7.0;42.229162;-8.7179994
61125;Galicia;flat;Vacio;36900.0;31.0;1;0.0;42.4085455;-8.7470138
61126;Galicia;flat;Vacio;36900.0;31.0;1;0.0;42.4065455;-8.7470138
61131;Galicia;flat;Vacio;68000.0;31.0;1;0.0;42.5558871;-8.8639927
61132;Galicia;flat;Vacio;68000.0;31.0;1;0.0;42.5558871;-8.8639927
61133;Galicia;flat;Vacio;70000.0;31.0;1;0.0;42.5558871;-8.8639927
61134;Galicia;flat;Vacio;70000.0;31.0;1;0.0;42.5558871;-8.8639927
61180;Galicia;flat;Vacio;63600.0;32.0;1;0.0;43.6645992;-7.5958789
61181;Galicia;flat;Vacio;72000.0;32.0;1;0.0;42.5558871;-8.8639927
61182;Galicia;flat;Vacio;72000.0;32.0;1;0.0;42.5558871;-8.8639927
61183;Galicia;flat;Vacio;61075.0;32.0;1;0.0;42.23784;-8.70132
61184;Galicia;flat;Vacio;62342.0;32.0;1;0.0;42.23784;-8.70132
61185;Galicia;flat;Vacio;61100.0;32.0;1;0.0;42.23784;-8.70132
61244;Galicia;flat;Vacio;70000.0;32.0;1;6.0;43.3506964;-8.2547916
61268;Galicia;flat;Vacio;78000.0;33.0;1;0.0;43.6595299;-7.59543
61269;Galicia;flat;Vacio;90000.0;33.0;1;0.0;43.6595299;-7.59543
61270;Galicia;flat;Vacio;78000.0;33.0;1;0.0;43.6595299;-7.59543
61271;Galicia;flat;Vacio;69000.0;33.0;1;0.0;42.5558871;-8.8639927
61272;Galicia;flat;Vacio;69000.0;33.0;1;0.0;42.5558871;-8.8639927
61273;Galicia;flat;Vacio;69000.0;33.0;1;0.0;42.5558871;-8.8639927
61274;Galicia;flat;Vacio;76000.0;33.0;1;0.0;42.5558871;-8.8639927
61275;Galicia;flat;Vacio;69000.0;33.0;1;0.0;42.5558871;-8.8639927
61276;Galicia;flat;Vacio;73000.0;33.0;1;0.0;42.5558871;-8.8639927
61277;Galicia;flat;Vacio;63776.0;33.0;1;0.0;42.23784;-8.70132
61278;Galicia;flat;Vacio;61769.0;33.0;1;0.0;42.23784;-8.70132
61279;Galicia;flat;Vacio;61783.0;33.0;1;0.0;42.23784;-8.70132
61280;Galicia;flat;Vacio;63776.0;33.0;1;0.0;42.23784;-8.70132
61281;Galicia;flat;Vacio;63625.0;33.0;1;0.0;42.23784;-8.70132
61293;Galicia;flat;Vacio;45000.0;33.0;1;3.0;43.6960439;-7.4401545
61303;Galicia;flat;Vacio;51500.0;33.0;1;6.0;43.6602608;-8.0527766
