index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
60911;Galicia;flat;penthouse;30000.0;28.0;1;6.0;42.6463418;-8.8190119
61319;Galicia;flat;penthouse;95000.0;33.0;1;7.0;42.2239238;-8.723672
61572;Galicia;flat;penthouse;78000.0;35.0;1;8.0;42.2280018;-8.7355635
61648;Galicia;flat;penthouse;80000.0;35.0;1;5.0;42.8688968;-8.5389713
61870;Galicia;flat;penthouse;54000.0;36.0;1;5.0;43.3716418;-8.3902228
62167;Galicia;flat;penthouse;88000.0;38.0;1;5.0;43.3291207;-8.4088387
62183;Galicia;flat;penthouse;85000.0;38.0;1;6.0;42.2348171;-8.7299349
62353;Galicia;flat;penthouse;58000.0;39.0;1;7.0;43.34968;-8.25547
62912;Galicia;flat;penthouse;109000.0;40.0;1;8.0;42.2252489;-8.7243851
62915;Galicia;flat;penthouse;38000.0;40.0;1;4.0;42.5332884;-8.9974501
63047;Galicia;flat;penthouse;75000.0;40.0;1;4.0;42.8964686;-8.5441543
63167;Galicia;flat;penthouse;69500.0;40.0;1;8.0;43.379134;-8.4043622
63600;Galicia;flat;penthouse;78000.0;41.0;1;8.0;42.2287896;-8.731647
63614;Galicia;flat;penthouse;78000.0;41.0;1;8.0;42.2270928;-8.7351616
63925;Galicia;flat;penthouse;74000.0;42.0;1;5.0;42.8206166;-8.5453543
63927;Galicia;flat;penthouse;60000.0;42.0;1;5.0;42.64548;-8.883054
64006;Galicia;flat;penthouse;56900.0;42.0;1;8.0;42.2620806;-8.7855378
64007;Galicia;flat;penthouse;56100.0;42.0;1;6.0;42.1603635;-8.6192985
64148;Galicia;flat;penthouse;143000.0;43.0;1;8.0;42.2369253;-8.7195068
64156;Galicia;flat;penthouse;82701.0;43.0;1;8.0;43.3593208;-8.4153117
64462;Galicia;flat;penthouse;75000.0;44.0;1;4.0;43.5666958;-7.2339391
64538;Galicia;flat;penthouse;135000.0;44.0;1;10.0;42.8711251;-8.5483084
65112;Galicia;flat;penthouse;39000.0;45.0;1;5.0;43.5439735;-7.1769816
65381;Galicia;flat;penthouse;78000.0;45.0;1;8.0;42.2291018;-8.7356635
65436;Galicia;flat;penthouse;73000.0;45.0;1;6.0;42.735224;-8.6607093
65522;Galicia;flat;penthouse;45000.0;45.0;1;7.0;42.2230372;-8.7128081
65628;Galicia;flat;penthouse;45000.0;45.0;1;3.0;42.2291144;-8.7078195
65805;Galicia;flat;penthouse;69000.0;45.0;1;6.0;42.886584;-8.5436886
65835;Galicia;flat;penthouse;100000.0;45.0;1;9.0;42.2392235;-8.7014167
65929;Galicia;flat;penthouse;98300.0;46.0;1;6.0;42.2319289;-8.6999601
66598;Galicia;flat;penthouse;70000.0;47.0;1;8.0;43.3787959;-8.4037924
68315;Galicia;flat;penthouse;125000.0;50.0;1;7.0;42.2346478;-8.7180221
68555;Galicia;flat;penthouse;49900.0;50.0;1;4.0;42.5359448;-8.9991696
68847;Galicia;flat;penthouse;85000.0;50.0;1;8.0;42.84463;-8.57715
69194;Galicia;flat;penthouse;145000.0;50.0;1;7.0;42.2324399;-8.7083
69448;Galicia;flat;penthouse;62500.0;50.0;1;7.0;42.1647682;-8.6208989
69815;Galicia;flat;penthouse;78000.0;51.0;1;8.0;42.2288018;-8.7356635
70290;Galicia;flat;penthouse;90000.0;52.0;1;4.0;42.5743146;-9.0748023
70358;Galicia;flat;penthouse;75000.0;52.0;1;5.0;42.85211;-8.582285
70442;Galicia;flat;penthouse;70000.0;52.0;1;7.0;43.3529375;-8.2617032
70667;Galicia;flat;penthouse;116634.0;53.0;1;6.0;42.3939589;-8.8276743
70782;Galicia;flat;penthouse;140000.0;53.0;1;7.0;43.3728141;-8.3957502
71260;Galicia;flat;penthouse;149000.0;54.0;1;7.0;42.222546;-8.7515354
71302;Galicia;flat;penthouse;85000.0;54.0;1;4.0;43.3061559;-8.5178158
71310;Galicia;flat;penthouse;95600.0;54.0;1;5.0;42.256824;-8.7961808
71311;Galicia;flat;penthouse;117000.0;54.0;1;8.0;42.2175222;-8.7303827
71640;Galicia;flat;penthouse;50100.0;55.0;1;0.0;43.2662154;-8.9620049
72034;Galicia;flat;penthouse;100000.0;55.0;1;4.0;42.5610789;-8.9913425
72190;Galicia;flat;penthouse;110000.0;55.0;1;8.0;43.3587056;-8.418465
72229;Galicia;flat;penthouse;83000.0;55.0;1;4.0;42.86664;-8.680369
72364;Galicia;flat;penthouse;75000.0;55.0;1;12.0;43.374418;-8.4265364
72553;Galicia;flat;penthouse;85000.0;55.0;1;6.0;43.3480507;-8.205234
72931;Galicia;flat;penthouse;120000.0;56.0;1;6.0;43.3057994;-8.5134088
73860;Galicia;flat;penthouse;190000.0;58.0;1;7.0;42.2373783;-8.7164825
73923;Galicia;flat;penthouse;109300.0;58.0;1;6.0;42.402785;-8.8048786
74243;Galicia;flat;penthouse;75000.0;59.0;1;7.0;43.2768118;-8.2058436
75870;Galicia;flat;penthouse;57300.0;61.0;1;0.0;43.2662154;-8.9620049
76598;Galicia;flat;penthouse;225000.0;63.0;1;7.0;42.2390783;-8.7136825
76866;Galicia;flat;penthouse;160000.0;64.0;1;9.0;43.3335215;-8.3874193
76916;Galicia;flat;penthouse;57000.0;64.0;1;5.0;42.0996332;-8.5584319
77334;Galicia;flat;penthouse;55000.0;65.0;1;5.0;43.3271576;-8.385675
77684;Galicia;flat;penthouse;70000.0;65.0;1;5.0;43.3747164;-8.3948674
77915;Galicia;flat;penthouse;99000.0;66.0;1;6.0;43.3506971;-8.3440079
77930;Galicia;flat;penthouse;116000.0;66.0;1;6.0;42.2258036;-8.6993701
78273;Galicia;flat;penthouse;59300.0;68.0;1;0.0;43.2662154;-8.9620049
78370;Galicia;flat;penthouse;165000.0;68.0;1;8.0;42.2348582;-8.7209332
78582;Galicia;flat;penthouse;75000.0;69.0;1;5.0;43.3805749;-8.2938214
79249;Galicia;flat;penthouse;106000.0;70.0;1;7.0;42.1730716;-8.5072384
79285;Galicia;flat;penthouse;115000.0;70.0;1;7.0;42.2321917;-8.6904527
80186;Galicia;flat;penthouse;85000.0;75.0;1;10.0;43.3555567;-8.410788
80298;Galicia;flat;penthouse;155000.0;76.0;1;5.0;42.2647;-8.78284
80590;Galicia;flat;penthouse;137300.0;79.0;1;8.0;43.379236;-8.4034082
81292;Galicia;flat;penthouse;165000.0;85.0;1;5.0;42.2375312;-8.7304305
81422;Galicia;flat;penthouse;69000.0;89.0;1;0.0;42.5552816;-8.9915326
82001;Galicia;flat;penthouse;69000.0;103.0;1;0.0;42.5552816;-8.9915326
82190;Galicia;flat;penthouse;298000.0;110.0;1;8.0;43.36959;-8.3926129
82594;Galicia;flat;penthouse;240000.0;140.0;1;5.0;42.2641912;-8.7825066
83839;Galicia;flat;penthouse;126000.0;43.0;2;6.0;43.3058346;-8.505611
83840;Galicia;flat;penthouse;126000.0;43.0;2;6.0;43.3046346;-8.505611
85588;Galicia;flat;penthouse;62790.0;50.0;2;5.0;42.5684006;-8.9939942
85666;Galicia;flat;penthouse;110000.0;50.0;2;6.0;43.3133598;-8.3532019
85711;Galicia;flat;penthouse;78000.0;50.0;2;6.0;43.3058823;-8.5075757
85854;Galicia;flat;penthouse;125000.0;50.0;2;8.0;43.3786893;-8.3988772
86039;Galicia;flat;penthouse;40000.0;50.0;2;6.0;43.3770622;-8.39885
86089;Galicia;flat;penthouse;150000.0;50.0;2;0.0;43.3820986;-8.399036
86756;Galicia;flat;penthouse;75000.0;52.0;2;7.0;43.6604801;-7.5966885
87049;Galicia;flat;penthouse;89000.0;52.0;2;6.0;43.317525;-8.4839462
87867;Galicia;flat;penthouse;190000.0;54.0;2;8.0;43.3746406;-8.3972961
88243;Galicia;flat;penthouse;99100.0;55.0;2;5.0;42.2405989;-8.7207268
88288;Galicia;flat;penthouse;213000.0;55.0;2;8.0;43.3667042;-8.4247591
88875;Galicia;flat;penthouse;68775.0;55.0;2;4.0;42.5704006;-8.9941942
88876;Galicia;flat;penthouse;55000.0;55.0;2;4.0;42.5704006;-8.9926942
88991;Galicia;flat;penthouse;130000.0;55.0;2;8.0;42.2126701;-8.7375947
89140;Galicia;flat;penthouse;142000.0;55.0;2;6.0;42.2327688;-8.7070271
89428;Galicia;flat;penthouse;125000.0;55.0;2;0.0;43.352849;-8.40185
89435;Galicia;flat;penthouse;185000.0;55.0;2;7.0;42.2269238;-8.725272
89569;Galicia;flat;penthouse;60000.0;55.0;2;4.0;43.2790304;-8.2120192
