index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
283;Galicia;flat;studio;85000.0;20.0;0;2.0;42.8812046;-8.5430425
642;Galicia;flat;studio;86020.0;26.18;0;4.0;42.1114283;-8.8352174
643;Galicia;flat;studio;91080.0;26.24;0;5.0;42.1114283;-8.8352174
645;Galicia;flat;studio;83820.0;26.9;0;3.0;42.1114283;-8.8352174
646;Galicia;flat;studio;88990.0;27.0;0;4.0;42.1114283;-8.8352174
647;Galicia;flat;studio;94270.0;27.0;0;5.0;42.1114283;-8.8352174
678;Galicia;flat;studio;74000.0;27.0;0;8.0;42.2149156;-8.7373615
687;Galicia;flat;studio;60000.0;27.0;0;4.0;42.230787;-8.7110702
728;Galicia;flat;studio;45000.0;28.0;0;5.0;42.230349;-8.7088661
756;Galicia;flat;studio;55000.0;28.0;0;5.0;42.2352964;-8.7085892
816;Galicia;flat;studio;129910.0;30.0;0;6.0;42.1114283;-8.8352174
956;Galicia;flat;studio;37000.0;30.0;0;9.0;43.5339321;-7.0459252
987;Galicia;flat;studio;88000.0;30.0;0;4.0;42.2334396;-8.7138442
1009;Galicia;flat;studio;110000.0;30.0;0;4.0;42.2334226;-8.7234567
1010;Galicia;flat;studio;125000.0;30.0;0;4.0;42.235206;-8.7295537
1011;Galicia;flat;studio;70000.0;30.0;0;3.0;42.2309118;-8.7080927
1021;Galicia;flat;studio;72000.0;30.0;0;5.0;42.2390688;-8.7156692
1022;Galicia;flat;studio;69000.0;30.0;0;5.0;42.2339197;-8.7206577
1025;Galicia;flat;studio;78000.0;30.0;0;4.0;42.23534;-8.7231636
1039;Galicia;flat;studio;85000.0;30.0;0;5.0;42.2085755;-8.7294384
1080;Galicia;flat;studio;45000.0;30.0;0;5.0;42.2274952;-8.7141692
1141;Galicia;flat;studio;85000.0;31.0;0;3.0;42.240496;-8.7249822
1162;Galicia;flat;studio;80000.0;31.0;0;3.0;42.2472404;-8.6968406
1232;Galicia;flat;studio;115000.0;32.0;0;6.0;42.2399256;-8.7252715
1235;Galicia;flat;studio;110000.0;32.0;0;6.0;42.2382904;-8.722326
1260;Galicia;flat;studio;70000.0;32.0;0;5.0;42.2268688;-8.7166051
1272;Galicia;flat;studio;75000.0;32.0;0;5.0;43.3044178;-8.5099558
1275;Galicia;flat;studio;90000.0;32.0;0;7.0;42.23454;-8.72599
1363;Galicia;flat;studio;85000.0;33.0;0;3.0;42.2301743;-8.7160002
1386;Galicia;flat;studio;85000.0;33.0;0;8.0;42.2369688;-8.7126692
1392;Galicia;flat;studio;120000.0;33.0;0;8.0;42.3453117;-7.8535277
1394;Galicia;flat;studio;79000.0;33.0;0;3.0;42.2306316;-8.6909388
1466;Galicia;flat;studio;125000.0;34.0;0;5.0;42.2377031;-8.7186547
1477;Galicia;flat;studio;93000.0;34.0;0;3.0;42.3263524;-7.8493913
1478;Galicia;flat;studio;108182.0;34.0;0;5.0;42.33588;-7.83208
1670;Galicia;flat;studio;89000.0;35.0;0;7.0;42.2352121;-8.7224619
1681;Galicia;flat;studio;75000.0;35.0;0;5.0;42.2355265;-8.7240587
1698;Galicia;flat;studio;90000.0;35.0;0;4.0;42.2259926;-8.7199534
1699;Galicia;flat;studio;140000.0;35.0;0;6.0;42.2359256;-8.7233715
1701;Galicia;flat;studio;103000.0;35.0;0;3.0;42.2280192;-8.7568209
1702;Galicia;flat;studio;90000.0;35.0;0;3.0;42.2305808;-8.7137827
1703;Galicia;flat;studio;89000.0;35.0;0;7.0;42.2338424;-8.7207193
1704;Galicia;flat;studio;144000.0;35.0;0;6.0;42.2363899;-8.7178951
1707;Galicia;flat;studio;62000.0;35.0;0;8.0;42.2153324;-8.7402602
1772;Galicia;flat;studio;105000.0;35.0;0;11.0;42.2343809;-8.7251854
1829;Galicia;flat;studio;90000.0;36.0;0;3.0;42.8699793;-8.559847
1937;Galicia;flat;studio;65000.0;36.0;0;6.0;42.2480656;-8.6986304
1938;Galicia;flat;studio;75650.0;36.0;0;3.0;42.2297222;-8.7047149
1961;Galicia;flat;studio;70000.0;36.0;0;4.0;42.2310946;-8.7155321
1962;Galicia;flat;studio;59928.0;36.0;0;3.0;42.2075203;-8.7295733
1963;Galicia;flat;studio;100000.0;36.0;0;6.0;42.2049755;-8.7286384
1969;Galicia;flat;studio;63000.0;36.0;0;4.0;42.235035;-8.6993092
1971;Galicia;flat;studio;64581.0;36.0;0;3.0;42.2356556;-8.7028697
2097;Galicia;flat;studio;55000.0;38.0;0;3.0;42.2405989;-8.7207268
2188;Galicia;flat;studio;55000.0;38.0;0;5.0;42.2249849;-8.7453773
2189;Galicia;flat;studio;95000.0;38.0;0;Vacio;42.2471827;-8.6964573
2196;Galicia;flat;studio;88000.0;38.0;0;5.0;42.2312059;-8.7299532
2206;Galicia;flat;studio;99500.0;38.0;0;5.0;42.3246;-7.87717
2207;Galicia;flat;studio;102100.0;38.0;0;4.0;42.3504233;-7.862784
2284;Galicia;flat;studio;124000.0;39.0;0;5.0;42.8659276;-8.5481569
2285;Galicia;flat;studio;128500.0;39.0;0;5.0;42.8699276;-8.5461569
2447;Galicia;flat;studio;115000.0;40.0;0;8.0;42.2399478;-8.725202
2448;Galicia;flat;studio;73000.0;40.0;0;8.0;42.2298942;-8.7328974
2531;Galicia;flat;studio;54000.0;40.0;0;4.0;42.2374743;-8.7136773
2573;Galicia;flat;studio;90000.0;40.0;0;5.0;42.2328824;-8.7358362
2574;Galicia;flat;studio;143000.0;40.0;0;5.0;42.2280834;-8.7203982
2575;Galicia;flat;studio;120200.0;40.0;0;5.0;42.2295035;-8.733787
2576;Galicia;flat;studio;110000.0;40.0;0;3.0;42.2514587;-8.702697
2578;Galicia;flat;studio;98000.0;40.0;0;7.0;42.2358492;-8.7216799
2624;Galicia;flat;studio;87000.0;40.0;0;5.0;42.2349545;-8.724159
2641;Galicia;flat;studio;66950.0;40.0;0;5.0;42.1097538;-8.7668493
2660;Galicia;flat;studio;60000.0;40.0;0;3.0;42.2320035;-8.7331999
2669;Galicia;flat;studio;55000.0;40.0;0;3.0;42.2324657;-8.6966037
2670;Galicia;flat;studio;85000.0;40.0;0;4.0;42.2310946;-8.7151321
2753;Galicia;flat;studio;85000.0;40.0;0;6.0;42.34582;-7.86292
2754;Galicia;flat;studio;64999.0;40.0;0;2.0;42.3529086;-7.8650582
2755;Galicia;flat;studio;76739.0;40.0;0;9.0;42.3105949;-7.8884466
2756;Galicia;flat;studio;75000.0;40.0;0;2.0;42.3133497;-7.8811328
2760;Galicia;flat;studio;95000.0;40.0;0;3.0;43.2738656;-8.2043846
2875;Galicia;flat;studio;48000.0;41.0;0;5.0;42.6042186;-8.9412108
3104;Galicia;flat;studio;153100.0;43.0;0;3.0;42.2376284;-8.7213392
3118;Galicia;flat;studio;58000.0;43.0;0;3.0;43.4330278;-8.2381574
3193;Galicia;flat;studio;80000.0;43.0;0;6.0;42.313386;-7.8921792
3226;Galicia;flat;studio;32000.0;44.0;0;2.0;43.5688062;-7.2537881
3257;Galicia;flat;studio;32800.0;44.0;0;2.0;42.4740534;-8.9238322
3272;Galicia;flat;studio;50000.0;44.0;0;4.0;42.5996208;-8.9426697
3274;Galicia;flat;studio;88000.0;44.0;0;7.0;42.242998;-8.702753
3342;Galicia;flat;studio;65000.0;45.0;0;4.0;43.0173705;-7.5618559
3473;Galicia;flat;studio;63000.0;45.0;0;3.0;43.2902124;-8.3885118
3474;Galicia;flat;studio;88000.0;45.0;0;3.0;43.3160681;-8.368642
3499;Galicia;flat;studio;92900.0;45.0;0;8.0;43.358877;-8.4033898
3511;Galicia;flat;studio;187000.0;45.0;0;4.0;42.2293167;-8.7232721
3512;Galicia;flat;studio;125000.0;45.0;0;6.0;42.2295697;-8.7334878
3513;Galicia;flat;studio;80000.0;45.0;0;7.0;42.2359688;-8.7166692
3528;Galicia;flat;studio;65000.0;45.0;0;3.0;42.8486993;-8.5835926
3540;Galicia;flat;studio;85000.0;45.0;0;6.0;42.4298206;-8.6447064
3568;Galicia;flat;studio;70000.0;45.0;0;4.0;43.0217338;-7.5611495
3574;Galicia;flat;studio;60000.0;45.0;0;2.0;42.2298376;-8.7323179
3575;Galicia;flat;studio;60000.0;45.0;0;2.0;42.2298503;-8.7322412
3576;Galicia;flat;studio;60000.0;45.0;0;2.0;42.2359373;-8.728754
3594;Galicia;flat;studio;153100.0;45.0;0;3.0;42.2365818;-8.7194181
3604;Galicia;flat;studio;50000.0;45.0;0;4.0;42.233149;-8.7083661
3623;Galicia;flat;studio;110000.0;45.0;0;4.0;42.3263524;-7.8510913
3624;Galicia;flat;studio;151000.0;45.0;0;2.0;42.3411563;-7.8631232
3628;Galicia;flat;studio;85000.0;45.0;0;3.0;42.2433525;-8.6933946
3631;Galicia;flat;studio;85000.0;45.0;0;Vacio;43.3811749;-8.2957214
3668;Galicia;flat;studio;51000.0;46.0;0;0.0;42.8641995;-8.6777002
3669;Galicia;flat;studio;45000.0;46.0;0;0.0;42.8676995;-8.6805002
3670;Galicia;flat;studio;45000.0;46.0;0;0.0;42.8642995;-8.6805002
3671;Galicia;flat;studio;46000.0;46.0;0;0.0;42.8641995;-8.6798002
