index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
14333;Galicia;house;semi-detached;45000.0;120.0;0;0.0;43.2811476;-8.2103592
82043;Galicia;house;semi-detached;60000.0;104.0;1;0.0;43.3471356;-8.2577675
88174;Galicia;house;semi-detached;35000.0;55.0;2;0.0;42.3314337;-7.8685919
111158;Galicia;house;semi-detached;130000.0;70.0;2;0.0;43.3902114;-8.3033534
160660;Galicia;house;semi-detached;135000.0;125.0;2;0.0;43.4596171;-8.2176313
162081;Galicia;house;semi-detached;75000.0;135.0;2;0.0;43.2813729;-8.21495
163992;Galicia;house;semi-detached;200000.0;160.0;2;0.0;42.8634206;-8.552315
165509;Galicia;house;semi-detached;240000.0;230.0;2;0.0;43.53014;-8.272837
165850;Galicia;house;semi-detached;250000.0;290.0;2;0.0;42.9776999;-7.5176888
166080;Galicia;house;semi-detached;280000.0;500.0;2;0.0;43.3116169;-8.2341695
189433;Galicia;house;semi-detached;100000.0;80.0;3;0.0;42.2819043;-8.6109296
233424;Galicia;house;semi-detached;139000.0;100.0;3;0.0;43.54997;-7.2141043
235234;Galicia;house;semi-detached;190000.0;100.0;3;0.0;43.5017166;-8.2240378
253327;Galicia;house;semi-detached;200000.0;110.0;3;0.0;43.30602;-8.36178
253905;Galicia;house;semi-detached;245000.0;111.0;3;0.0;42.8818222;-8.5351252
254244;Galicia;house;semi-detached;57000.0;111.0;3;0.0;43.7431104;-7.8724875
261474;Galicia;house;semi-detached;70000.0;118.0;3;0.0;43.3467112;-8.200925
264283;Galicia;house;semi-detached;80000.0;120.0;3;0.0;42.5572312;-8.9994835
265947;Galicia;house;semi-detached;180000.0;120.0;3;0.0;43.3486;-8.2083889
265948;Galicia;house;semi-detached;210000.0;120.0;3;0.0;43.3000823;-8.2679651
266230;Galicia;house;semi-detached;240000.0;120.0;3;0.0;42.1928522;-8.7573122
267725;Galicia;house;semi-detached;240000.0;123.0;3;0.0;41.9372462;-8.836373
273793;Galicia;house;semi-detached;192000.0;130.0;3;0.0;42.0965017;-8.5485031
275738;Galicia;house;semi-detached;285000.0;135.0;3;0.0;43.2882124;-8.3897118
278378;Galicia;house;semi-detached;93000.0;140.0;3;0.0;43.0105325;-7.5674267
278703;Galicia;house;semi-detached;145000.0;140.0;3;0.0;42.1860239;-8.8099817
279015;Galicia;house;semi-detached;47000.0;140.0;3;0.0;43.6827887;-7.851465
281646;Galicia;house;semi-detached;170000.0;148.0;3;0.0;42.7979072;-8.4703445
283724;Galicia;house;semi-detached;40000.0;150.0;3;0.0;43.6590038;-8.05061
285937;Galicia;house;semi-detached;99000.0;159.0;3;0.0;42.2224955;-7.9079259
285938;Galicia;house;semi-detached;99000.0;159.0;3;0.0;42.2224955;-7.9079259
