index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
16354;Galicia;house;terraced house;29000.0;140.0;0;0.0;43.2805696;-8.2082004
18226;Galicia;house;terraced house;42000.0;160.0;0;0.0;43.4332938;-7.363842
78723;Galicia;house;terraced house;95000.0;70.0;1;0.0;42.2759917;-8.8128989
81495;Galicia;house;terraced house;60000.0;90.0;1;0.0;43.4455045;-7.1941959
82599;Galicia;house;terraced house;60000.0;140.0;1;2.0;43.2790631;-8.2111448
82643;Galicia;house;terraced house;110000.0;150.0;1;2.0;43.3208602;-8.2343689
82969;Galicia;house;terraced house;190000.0;400.0;1;0.0;42.8706214;-8.5685803
83608;Galicia;house;terraced house;79000.0;40.0;2;0.0;43.3316662;-8.3952551
96390;Galicia;house;terraced house;75000.0;60.0;2;0.0;42.2201448;-8.7609342
114296;Galicia;house;terraced house;110000.0;70.0;2;3.0;42.2380868;-8.6884901
128521;Galicia;house;terraced house;30000.0;79.0;2;0.0;43.2765118;-8.2098436
130631;Galicia;house;terraced house;60000.0;80.0;2;0.0;43.5509668;-7.1017146
131821;Galicia;house;terraced house;220000.0;80.0;2;0.0;43.3821225;-8.3989405
132335;Galicia;house;terraced house;36000.0;80.0;2;0.0;43.7208615;-7.8069054
135020;Galicia;house;terraced house;40000.0;82.0;2;0.0;43.5032736;-8.1558564
137838;Galicia;house;terraced house;189200.0;85.0;2;0.0;42.4852772;-8.8490013
139123;Galicia;house;terraced house;85000.0;85.0;2;0.0;42.26528;-8.78402
149582;Galicia;house;terraced house;90000.0;95.0;2;0.0;43.5384456;-7.0389432
150671;Galicia;house;terraced house;75000.0;96.0;2;0.0;43.2827198;-8.2083137
151506;Galicia;house;terraced house;63100.0;98.0;2;0.0;43.223824;-8.337826
155588;Galicia;house;terraced house;47920.0;106.0;2;3.0;43.2649601;-8.9656244
157181;Galicia;house;terraced house;60000.0;110.0;2;0.0;42.865893;-7.5983725
158370;Galicia;house;terraced house;170000.0;115.0;2;0.0;43.294004;-8.3456117
160150;Galicia;house;terraced house;410000.0;121.0;2;0.0;42.883324;-8.5557519
160248;Galicia;house;terraced house;417125.0;122.0;2;0.0;42.8834339;-8.555639
162028;Galicia;house;terraced house;456750.0;135.0;2;0.0;42.8822756;-8.5550931
162707;Galicia;house;terraced house;110000.0;140.0;2;2.0;43.1370956;-8.0356099
162859;Galicia;house;terraced house;344619.0;143.0;2;0.0;42.8808504;-8.5527501
163265;Galicia;house;terraced house;125000.0;150.0;2;0.0;42.9148684;-8.0124193
163511;Galicia;house;terraced house;117000.0;150.0;2;0.0;42.9971639;-7.5540387
163764;Galicia;house;terraced house;76500.0;155.0;2;0.0;42.1067362;-8.7624384
164793;Galicia;house;terraced house;39000.0;183.0;2;0.0;43.6827887;-7.851465
164948;Galicia;house;terraced house;115000.0;190.0;2;0.0;43.4587517;-8.2363012
168492;Galicia;house;terraced house;50000.0;60.0;3;0.0;42.6013302;-8.9375967
169041;Galicia;house;terraced house;30000.0;60.0;3;0.0;43.0382054;-8.0223502
188406;Galicia;house;terraced house;48000.0;80.0;3;0.0;42.3637128;-7.8675199
204144;Galicia;house;terraced house;85000.0;86.0;3;0.0;42.1566189;-8.6224931
215439;Galicia;house;terraced house;140000.0;90.0;3;0.0;43.3640056;-8.2526918
226912;Galicia;house;terraced house;75000.0;97.0;3;0.0;43.4974042;-8.2065157
230692;Galicia;house;terraced house;52200.0;100.0;3;3.0;42.5225;-7.51644
230693;Galicia;house;terraced house;65000.0;100.0;3;3.0;42.3951;-8.68862
232027;Galicia;house;terraced house;80000.0;100.0;3;0.0;42.2854146;-8.607487
233872;Galicia;house;terraced house;120000.0;100.0;3;0.0;43.3538142;-8.2575332
235194;Galicia;house;terraced house;83000.0;100.0;3;0.0;42.9990071;-7.544663
244170;Galicia;house;terraced house;100000.0;105.0;3;3.0;42.66561;-8.652031
