index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
96;Galicia;office;Vacio;13100.0;14.0;0;3.0;42.2272688;-8.7274726
126;Galicia;office;Vacio;13100.0;15.0;0;2.0;42.2256473;-8.7296513
284;Galicia;office;Vacio;35000.0;20.0;0;2.0;42.3279222;-7.8792931
337;Galicia;office;Vacio;28700.0;22.0;0;3.0;42.2241688;-8.7281726
349;Galicia;office;Vacio;50000.0;22.0;0;2.0;42.3412223;-7.8647782
366;Galicia;office;Vacio;17000.0;23.0;0;2.0;43.27633;-8.20672
421;Galicia;office;Vacio;20000.0;24.0;0;3.0;42.2241688;-8.7308726
2064;Galicia;office;Vacio;90000.0;37.0;0;0.0;43.3672957;-8.4049261
2581;Galicia;office;Vacio;32000.0;40.0;0;2.0;42.2110704;-8.755871
2759;Galicia;office;Vacio;125000.0;40.0;0;12.0;43.3703957;-8.4023261
3109;Galicia;office;Vacio;22900.0;43.0;0;0.0;43.0189578;-7.5609931
3207;Galicia;office;Vacio;20800.0;44.0;0;0.0;43.0189578;-7.5609931
3472;Galicia;office;Vacio;60000.0;45.0;0;2.0;42.2234548;-8.7347616
3522;Galicia;office;Vacio;65000.0;45.0;0;4.0;42.236308;-8.7106823
3767;Galicia;office;Vacio;34094.0;47.0;0;0.0;42.9049237;-8.3643901
3768;Galicia;office;Vacio;101725.0;47.0;0;0.0;42.2236807;-8.7264322
4416;Galicia;office;Vacio;93000.0;50.0;0;2.0;42.2368225;-8.7157069
4445;Galicia;office;Vacio;80000.0;50.0;0;2.0;43.2931877;-8.3444084
5111;Galicia;office;Vacio;40064.0;55.0;0;0.0;42.9049237;-8.3643901
5118;Galicia;office;Vacio;189000.0;55.0;0;11.0;43.3701971;-8.4028666
5352;Galicia;office;Vacio;89000.0;55.0;0;0.0;43.3576351;-8.4061029
5428;Galicia;office;Vacio;105000.0;56.0;0;0.0;42.4227107;-8.6392437
5786;Galicia;office;Vacio;150000.0;60.0;0;2.0;43.3604955;-8.4082588
6065;Galicia;office;Vacio;150000.0;60.0;0;2.0;43.3605752;-8.4067778
6083;Galicia;office;Vacio;70000.0;60.0;0;3.0;42.234637;-8.7310692
6191;Galicia;office;Vacio;100000.0;60.0;0;5.0;42.2365486;-8.719969
6230;Galicia;office;Vacio;90000.0;60.0;0;3.0;43.3756889;-8.4236317
6281;Galicia;office;Vacio;112000.0;61.0;0;7.0;43.3701622;-8.402814
6318;Galicia;office;Vacio;48500.0;61.0;0;3.0;43.45525;-8.14895
6446;Galicia;office;Vacio;51500.0;62.0;0;3.0;42.2333956;-8.7215729
6501;Galicia;office;Vacio;327942.0;63.0;0;9.0;42.2188027;-8.7352323
6677;Galicia;office;Vacio;28700.0;65.0;0;0.0;43.0189578;-7.5609931
6721;Galicia;office;Vacio;51500.0;65.0;0;2.0;42.2346956;-8.7195729
6969;Galicia;office;Vacio;33900.0;66.0;0;0.0;43.0189578;-7.5609931
7039;Galicia;office;Vacio;45000.0;66.0;0;2.0;43.4715732;-8.1692557
7062;Galicia;office;Vacio;60000.0;67.0;0;3.0;42.8819963;-8.5279413
7071;Galicia;office;Vacio;55694.0;67.0;0;0.0;42.9049237;-8.3643901
7073;Galicia;office;Vacio;82000.0;67.0;0;2.0;42.9974506;-7.547557
7302;Galicia;office;Vacio;75000.0;69.0;0;3.0;42.8846068;-8.5264454
7570;Galicia;office;Vacio;120000.0;70.0;0;2.0;42.2343357;-8.7253389
7704;Galicia;office;Vacio;160000.0;70.0;0;7.0;42.2348159;-8.7131681
7752;Galicia;office;Vacio;100000.0;70.0;0;6.0;42.2365604;-8.7223098
8212;Galicia;office;Vacio;129000.0;74.0;0;0.0;42.4227107;-8.6392437
8218;Galicia;office;Vacio;48100.0;74.0;0;2.0;43.024351;-7.5667573
8332;Galicia;office;Vacio;220000.0;74.0;0;0.0;43.3614601;-8.410351
8346;Galicia;office;Vacio;50000.0;75.0;0;0.0;42.1571106;-8.6196404
8355;Galicia;office;Vacio;54018.0;75.0;0;0.0;42.9049237;-8.3643901
8371;Galicia;office;Vacio;154000.0;75.0;0;5.0;43.3701971;-8.4028666
8478;Galicia;office;Vacio;77000.0;75.0;0;3.0;42.9047893;-8.6569189
8536;Galicia;office;Vacio;45000.0;75.0;0;3.0;42.2287945;-8.7307091
8757;Galicia;office;Vacio;46066.0;77.0;0;0.0;42.7784246;-7.4157556
8758;Galicia;office;Vacio;55831.0;77.0;0;0.0;42.9049237;-8.3643901
8924;Galicia;office;Vacio;96700.0;78.0;0;3.0;42.2251585;-8.7274433
9000;Galicia;office;Vacio;103000.0;79.0;0;2.0;42.9974506;-7.547557
9033;Galicia;office;Vacio;39000.0;79.0;0;3.0;42.4314595;-8.074267
9034;Galicia;office;Vacio;55000.0;79.0;0;2.0;42.5649278;-8.9926962
9068;Galicia;office;Vacio;75000.0;79.0;0;2.0;42.2355429;-8.7244239
9110;Galicia;office;Vacio;76600.0;80.0;0;2.0;43.0109326;-7.5666417
