index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
1817;Islas Baleares;flat;Vacio;59000.0;35.0;0;5.0;39.5557444;2.6089579
2093;Islas Baleares;flat;Vacio;110000.0;38.0;0;2.0;38.9724771;1.2805194
6557;Islas Baleares;flat;Vacio;127000.0;63.0;0;2.0;39.3161469;2.996784
22844;Islas Baleares;flat;Vacio;250000.0;240.0;0;2.0;39.4288107;3.0158577
60921;Islas Baleares;flat;Vacio;74000.0;28.0;1;2.0;39.592613;2.6504338
61045;Islas Baleares;flat;Vacio;89250.0;30.0;1;3.0;39.5720131;2.6645961
61119;Islas Baleares;flat;Vacio;39000.0;30.0;1;8.0;39.552109;2.6095493
61151;Islas Baleares;flat;Vacio;45260.0;31.0;1;12.0;39.5570995;2.6130442
61179;Islas Baleares;flat;Vacio;59182.0;32.0;1;5.0;38.9911104;1.2949617
61187;Islas Baleares;flat;Vacio;63900.0;32.0;1;0.0;39.8815763;4.2912777
61227;Islas Baleares;flat;Vacio;37000.0;32.0;1;12.0;39.5551978;2.6099443
61334;Islas Baleares;flat;Vacio;97500.0;33.0;1;0.0;39.6038849;3.382819
61338;Islas Baleares;flat;Vacio;61470.0;33.0;1;3.0;39.8552672;3.1250239
61354;Islas Baleares;flat;Vacio;60000.0;34.0;1;6.0;39.5210489;2.4863094
61417;Islas Baleares;flat;Vacio;85000.0;34.0;1;0.0;39.6039849;3.386319
61449;Islas Baleares;flat;Vacio;63000.0;35.0;1;6.0;39.6046357;3.382465
61490;Islas Baleares;flat;Vacio;180000.0;35.0;1;0.0;39.5007676;2.9658815
61508;Islas Baleares;flat;Vacio;130000.0;35.0;1;7.0;39.5210489;2.4863094
61577;Islas Baleares;flat;Vacio;53260.0;35.0;1;0.0;39.5534352;2.609899
61590;Islas Baleares;flat;Vacio;38500.0;35.0;1;10.0;39.4655162;3.2767112
61602;Islas Baleares;flat;Vacio;80000.0;35.0;1;2.0;38.9736739;1.5284662
61605;Islas Baleares;flat;Vacio;140000.0;35.0;1;5.0;39.5687417;2.631677
61611;Islas Baleares;flat;Vacio;115500.0;35.0;1;6.0;39.5674918;2.6525167
61626;Islas Baleares;flat;Vacio;54000.0;35.0;1;0.0;39.5569126;2.6049427
61673;Islas Baleares;flat;Vacio;69300.0;35.0;1;5.0;39.8375182;3.1181616
61705;Islas Baleares;flat;Vacio;96000.0;35.0;1;6.0;38.9089679;1.4322352
61718;Islas Baleares;flat;Vacio;105000.0;35.0;1;7.0;38.903855;1.4198076
61796;Islas Baleares;flat;Vacio;100000.0;36.0;1;6.0;39.5049445;2.4724422
61805;Islas Baleares;flat;Vacio;50000.0;36.0;1;2.0;39.5906849;2.6483674
61826;Islas Baleares;flat;Vacio;75000.0;36.0;1;3.0;40.0037005;3.8345342
61984;Islas Baleares;flat;Vacio;52710.0;37.0;1;4.0;39.5193937;2.4879357
61991;Islas Baleares;flat;Vacio;76000.0;37.0;1;0.0;39.6013849;3.382819
62028;Islas Baleares;flat;Vacio;126000.0;38.0;1;0.0;39.8487551;4.2307586
62038;Islas Baleares;flat;Vacio;48000.0;38.0;1;2.0;39.7037;3.10555
62042;Islas Baleares;flat;Vacio;65000.0;38.0;1;0.0;39.7140722;3.4664277
62043;Islas Baleares;flat;Vacio;65000.0;38.0;1;0.0;39.7140722;3.4646277
62044;Islas Baleares;flat;Vacio;70000.0;38.0;1;0.0;39.7150722;3.4665277
62045;Islas Baleares;flat;Vacio;70000.0;38.0;1;0.0;39.7140722;3.4628277
62046;Islas Baleares;flat;Vacio;70000.0;38.0;1;0.0;39.7180722;3.4646277
62114;Islas Baleares;flat;Vacio;115000.0;38.0;1;3.0;38.9826029;1.5168922
62166;Islas Baleares;flat;Vacio;99990.0;38.0;1;3.0;39.5720244;2.6645225
62233;Islas Baleares;flat;Vacio;92000.0;38.0;1;0.0;39.0174729;1.5926664
62278;Islas Baleares;flat;Vacio;56700.0;39.0;1;3.0;39.9989258;3.8324697
62515;Islas Baleares;flat;Vacio;106440.0;40.0;1;0.0;39.9267935;3.8276454
62829;Islas Baleares;flat;Vacio;160000.0;40.0;1;4.0;39.5683813;2.6371135
62830;Islas Baleares;flat;Vacio;120000.0;40.0;1;3.0;39.5723715;2.6387224
62842;Islas Baleares;flat;Vacio;155000.0;40.0;1;4.0;39.5697245;2.6549672
62898;Islas Baleares;flat;Vacio;150000.0;40.0;1;0.0;39.5694245;2.6509672
62920;Islas Baleares;flat;Vacio;131000.0;40.0;1;5.0;39.5624531;2.5039114
62949;Islas Baleares;flat;Vacio;116000.0;40.0;1;10.0;39.5538636;2.6004364
63053;Islas Baleares;flat;Vacio;126000.0;40.0;1;3.0;38.9867112;1.5400278
63054;Islas Baleares;flat;Vacio;98000.0;40.0;1;0.0;39.5511429;2.5988946
63055;Islas Baleares;flat;Vacio;115000.0;40.0;1;0.0;39.5577539;2.6233706
63065;Islas Baleares;flat;Vacio;90000.0;40.0;1;0.0;39.841086;3.1361934
63066;Islas Baleares;flat;Vacio;75000.0;40.0;1;0.0;39.6000376;3.3846618
63067;Islas Baleares;flat;Vacio;98000.0;40.0;1;0.0;39.6123652;3.3879689
63095;Islas Baleares;flat;Vacio;69000.0;40.0;1;5.0;39.5112103;2.484697
63140;Islas Baleares;flat;Vacio;96000.0;40.0;1;4.0;39.5678063;2.6521607
63246;Islas Baleares;flat;Vacio;51000.0;40.0;1;7.0;39.5530995;2.6131442
