index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
61520;Islas Baleares;flat;penthouse;85000.0;35.0;1;4.0;40.0026548;3.8296646
61772;Islas Baleares;flat;penthouse;125000.0;35.0;1;3.0;38.9769244;1.5245236
63629;Islas Baleares;flat;penthouse;158000.0;41.0;1;4.0;38.9859668;1.5423775
65243;Islas Baleares;flat;penthouse;200000.0;45.0;1;0.0;39.5571763;2.6789884
65782;Islas Baleares;flat;penthouse;130000.0;45.0;1;3.0;38.9847644;1.5160509
66617;Islas Baleares;flat;penthouse;236000.0;47.68;1;0.0;39.5838043;2.6292576
67482;Islas Baleares;flat;penthouse;129000.0;49.0;1;4.0;39.4432438;2.7553634
67690;Islas Baleares;flat;penthouse;152000.0;50.0;1;3.0;39.4716393;2.8496627
68633;Islas Baleares;flat;penthouse;170100.0;50.0;1;4.0;39.4434029;2.7557608
68644;Islas Baleares;flat;penthouse;101000.0;50.0;1;4.0;39.3667764;2.8768385
68951;Islas Baleares;flat;penthouse;125000.0;50.0;1;0.0;39.5057191;2.7509435
69180;Islas Baleares;flat;penthouse;100000.0;50.0;1;3.0;39.4203826;2.7509397
69430;Islas Baleares;flat;penthouse;165000.0;50.0;1;0.0;38.9933798;1.5699587
69861;Islas Baleares;flat;penthouse;97000.0;51.0;1;5.0;39.5732068;2.6672896
72121;Islas Baleares;flat;penthouse;240000.0;55.0;1;5.0;39.5740827;2.6414407
75135;Islas Baleares;flat;penthouse;290000.0;60.0;1;5.0;39.5506124;2.618885
75344;Islas Baleares;flat;penthouse;223000.0;60.0;1;5.0;39.5449329;2.5880173
75688;Islas Baleares;flat;penthouse;158000.0;60.0;1;2.0;39.0174729;1.5926664
76906;Islas Baleares;flat;penthouse;147000.0;64.0;1;6.0;39.5922865;2.6179045
76945;Islas Baleares;flat;penthouse;140000.0;65.0;1;5.0;39.4563111;2.7485681
77296;Islas Baleares;flat;penthouse;186000.0;65.0;1;5.0;39.5515766;2.6917793
77361;Islas Baleares;flat;penthouse;299000.0;65.0;1;8.0;38.9194927;1.4412422
77369;Islas Baleares;flat;penthouse;135000.0;65.0;1;3.0;39.5751656;2.4251391
78696;Islas Baleares;flat;penthouse;93000.0;70.0;1;2.0;39.9984092;3.8413961
79260;Islas Baleares;flat;penthouse;115000.0;70.0;1;9.0;39.5748824;2.6536108
79484;Islas Baleares;flat;penthouse;120000.0;72.0;1;4.0;40.0043523;3.8361658
79522;Islas Baleares;flat;penthouse;325500.0;72.0;1;6.0;39.5564387;2.6846684
79556;Islas Baleares;flat;penthouse;189000.0;72.0;1;5.0;39.5407472;2.3877096
80052;Islas Baleares;flat;penthouse;109500.0;75.0;1;4.0;39.4431381;2.7528532
80208;Islas Baleares;flat;penthouse;136000.0;75.0;1;5.0;39.4428311;2.7542935
80782;Islas Baleares;flat;penthouse;275000.0;80.0;1;5.0;39.5686922;2.6507996
80996;Islas Baleares;flat;penthouse;154990.0;82.0;1;4.0;39.567496;2.6639959
81107;Islas Baleares;flat;penthouse;152000.0;84.0;1;5.0;40.0022317;3.8483076
81352;Islas Baleares;flat;penthouse;150000.0;87.0;1;5.0;39.5856367;2.6795743
81496;Islas Baleares;flat;penthouse;772489.0;90.0;1;5.0;39.569284;2.6519866
81726;Islas Baleares;flat;penthouse;490000.0;95.0;1;5.0;39.5701881;2.6475483
82228;Islas Baleares;flat;penthouse;124000.0;111.0;1;4.0;39.8531978;3.1273763
82248;Islas Baleares;flat;penthouse;132000.0;112.0;1;0.0;39.5823353;2.6754037
82317;Islas Baleares;flat;penthouse;429000.0;116.0;1;6.0;38.9112078;1.4209607
82430;Islas Baleares;flat;penthouse;149990.0;122.0;1;5.0;39.4878849;2.8899596
82693;Islas Baleares;flat;penthouse;570000.0;160.0;1;0.0;39.5685582;2.6535651
83663;Islas Baleares;flat;penthouse;52500.0;41.0;2;0.0;39.57458;2.6661162
85059;Islas Baleares;flat;penthouse;115500.0;50.0;2;8.0;39.5748439;2.6645847
85861;Islas Baleares;flat;penthouse;75000.0;50.0;2;5.0;39.5733339;2.6530111
86860;Islas Baleares;flat;penthouse;79900.0;52.0;2;8.0;39.5733749;2.6646999
88505;Islas Baleares;flat;penthouse;185000.0;55.0;2;4.0;39.5706897;2.6564491
88513;Islas Baleares;flat;penthouse;140000.0;55.0;2;6.0;39.907816;3.0792561
89644;Islas Baleares;flat;penthouse;139000.0;55.0;2;3.0;39.5751479;2.6331397
89993;Islas Baleares;flat;penthouse;205000.0;56.0;2;4.0;39.5691812;2.6284648
91100;Islas Baleares;flat;penthouse;66000.0;58.0;2;8.0;39.5724947;2.6632929
92461;Islas Baleares;flat;penthouse;159000.0;60.0;2;9.0;39.5689327;2.6598222
94087;Islas Baleares;flat;penthouse;130000.0;60.0;2;4.0;39.31886;2.98823
